"DOY" "Depth" "POP"
140 28 0.0211
140 48.1 0.0205
140 48 0.0186
140 78.7 0.0205
140 77.8 0.0192
140 100.5 0.018
140 119.9 0.0154
140 138.9 0.0126
140 148.5 0.0123
140 174.5 0.0085
140 204.2 0.006
140 255.4 0.0044
257 6.9 0.0151
257 26.6 0.0186
257 26.7 0.0195
257 48.3 0.0186
257 76.8 0.0195
257 102.1 0.0142
257 102 0.0158
257 125 0.0164
257 148.6 0.0088
257 175.4 0.0057
257 252.7 0.0041
302 7.4 0.0161
302 26.3 0.0161
302 45.8 0.0195
302 65.8 0.0177
302 100.7 0.0129
302 105 0.0126
302 110 0.0104
302 120.7 0.0076
302 126.9 0.0095
302 152.7 0.0057
302 177.5 0.0044
302 252.9 0.0032
20 6.9 0.0085
20 12.6 0.0132
20 27.6 0.0129
20 46.4 0.0136
20 62.8 0.0098
20 72.9 0.0132
20 84.9 0.0126
20 99.3 0.0126
20 116.2 0.0082
20 125.2 0.0057
20 152.8 0.0047
20 175.9 0.005
20 248.7 0.0041
20 496.6 0.0025
48 5.5 0.0173
48 25.2 0.0189
48 44.8 0.0161
48 69.8 0.0139
48 75.2 0.0145
48 100.5 0.0136
48 125.9 0.0123
48 149.7 0.0095
48 175.7 0.0057
48 250.8 0.0035
68 5.6 0.0123
68 25.5 0.017
68 45.6 0.0148
68 75.3 0.0123
68 100.6 0.012
68 126.2 0.011
68 140.8 0.011
68 147.9 0.0088
68 175.2 0.0073
68 252.5 0.0038
170 4.8 0.0136
170 24.9 0.0132
170 44.9 0.0123
170 75.6 0.0107
170 99.4 0.0098
170 124.7 0.0095
170 150 0.006
170 175.5 0.006
170 249.2 0.0041
206 5.4 0.0079
206 25.1 0.0211
206 43.3 0.0221
206 74.7 0.0161
206 89.9 0.0158
206 98.9 0.0126
206 110.5 0.0117
206 125.9 0.0088
206 149.9 0.0129
206 176.5 0.0041
206 250.1 0.005
242 3.8 0.0161
242 25.4 0.017
242 45 0.0167
242 75 0.0164
242 89.8 0.0177
242 94.5 0.0167
242 99.6 0.0139
242 104.7 0.0113
242 110 0.0139
242 124.2 0.0107
242 149.5 0.0057
242 175 0.0032
242 250.2 0.0038
266 7.8 0.0155
266 25.5 0.017
266 45.8 0.0164
266 74.6 0.0132
266 99.8 0.0123
266 109.1 0.0129
266 114.9 0.0117
266 120 0.0107
266 124.8 0.0151
266 129.9 0.0136
266 150.3 0.0073
266 175.8 0.0041
266 250.8 0.0057
288 4.9 0.0142
288 25.1 0.0151
288 45 0.011
288 74.3 0.0167
288 100.5 0.0129
288 119.5 0.0104
288 124.5 0.0069
288 129.9 0.0066
288 135 0.0069
288 140.3 0.0076
288 150.5 0.006
288 175 0.0054
288 250.2 0.0041
288 499.8 0.0016
324 5.3 0.0142
324 18.1 0.0145
324 44.9 0.0126
324 75.6 0.0151
324 95.2 0.0117
324 109.6 0.011
324 124.7 0.0107
324 150 0.0069
324 177.5 0.0047
324 250.2 0.0035
38 5.7 0.0101
38 25 0.0142
38 45.5 0.017
38 74.9 0.0173
38 100.2 0.0151
38 120.1 0.0126
38 125.1 0.0117
38 130.4 0.0101
38 135.7 0.0107
38 140.2 0.0095
38 151.1 0.0082
38 173.9 0.0066
38 248.6 0.0041
63 5.4 0.0145
63 25 0.0142
63 45.4 0.0142
63 74.4 0.011
63 100.3 0.0093
63 125.6 0.006
63 150.2 0.0047
63 174.8 0.005
63 249.6 0.0038
63 499.9 0.0016
96 4.8 0.0117
96 24.5 0.0126
96 45.2 0.0129
96 74.4 0.0132
96 99.8 0.012
96 110.3 0.0132
96 124.2 0.0107
96 139.5 0.011
96 149.7 0.0095
96 159.4 0.0085
96 174.5 0.0063
96 249.6 0.0038
127 4.7 0.0199
127 25.1 0.0173
127 44.9 0.0186
127 101.1 0.0107
127 125.6 0.0069
127 159.2 0.0041
127 173.9 0.0054
127 250.8 0.0025
127 74.3 0.0101
127 5.4 0.0126
127 24.9 0.017
127 45.1 0.0117
127 74.5 0.0158
127 99.7 0.0167
127 124.7 0.0057
127 161.2 0.0028
127 177.3 0.0044
127 251.4 0.0025
211 4.7 0.0158
211 24.6 0.0132
211 45 0.011
211 75.9 0.0186
211 99.5 0.011
211 126.3 0.012
211 151.6 0.0044
211 174.2 0.0054
211 249.5 0.0035
211 499.7 0.0019
240 4.6 0.0177
240 9.9 0.0082
240 24.2 0.0183
240 44.1 0.0192
240 59.2 0.0202
240 74.5 0.0173
240 100.1 0.0164
240 109.1 0.0167
240 119.4 0.012
240 140.1 0.006
240 150.7 0.0063
240 175.9 0.0044
240 251.2 0.0035
270 4.2 0.0088
270 24.8 0.0114
270 45.2 0.0098
270 74 0.0132
270 100 0.011
270 124.6 0.0066
270 149.4 0.0038
270 174.5 0.0032
270 250.4 0.0035
299 4.6 0.0145
299 24.5 0.0114
299 44.8 0.0183
299 75.4 0.0189
299 89.9 0.0148
299 99.4 0.0104
299 105.6 0.0104
299 115.5 0.0088
299 124.4 0.0082
299 149.6 0.006
299 174.7 0.0032
299 200.1 0.0038
299 250.5 0.0035
299 499.1 0.0022
320 25.2 0.0114
320 44.8 0.0145
320 99.3 0.0047
320 5.1 0.0155
320 25.2 0.0177
320 44.6 0.0132
320 74.5 0.0129
320 95.1 0.0233
320 99.3 0.0164
320 109.7 0.0107
320 124.7 0.0123
320 150.1 0.0054
320 174.1 0.0044
16 4.1 0.0091
16 24.2 0.0136
16 43.9 0.018
16 74.3 0.018
16 94 0.0164
16 98.4 0.012
16 103.9 0.0142
16 113.9 0.0114
16 124.3 0.0104
16 147.8 0.0154
16 174.6 0.006
16 249.7 0.0035
16 499.9 0.0022
87 5.2 0.0145
87 24.7 0.0142
87 44.5 0.0139
87 75 0.0155
87 99 0.0126
87 124.1 0.011
87 149.7 0.0054
87 174.6 0.0041
87 250.9 0.0041
87 498.2 0.0019
115 4.3 0.0186
115 24.5 0.0145
115 45.2 0.0199
115 74.3 0.0132
115 100 0.0132
115 124 0.0132
115 135.3 0.012
115 150.4 0.0091
115 174.3 0.0047
115 248.2 0.0035
143 4.7 0.0155
143 25.2 0.0155
143 44.5 0.0151
143 74.4 0.0164
143 99.7 0.0073
143 125 0.017
143 150.6 0.0101
143 175.7 0.0044
144 248.8 0.0025
178 4.5 0.0192
178 24.4 0.0164
178 44.3 0.0145
178 74.4 0.0218
178 99 0.0192
178 124.8 0.0132
178 138.9 0.0139
178 149.5 0.0117
178 159.7 0.0057
178 175.2 0.0085
178 250.6 0.0047
178 486.1 0.0025
209 4.5 0.0132
209 24.8 0.0155
209 45.1 0.0145
209 75.3 0.0126
209 100 0.0114
209 119.4 0.0136
209 140 0.0079
209 150.2 0.0088
209 174.4 0.0035
209 249.1 0.0028
234 4.7 0.0214
234 24.5 0.0177
234 44.6 0.0208
234 74.3 0.0199
234 89.5 0.0164
234 99.3 0.0091
234 103.8 0.0132
234 109.6 0.0114
234 124.4 0.0088
234 129.5 0.0095
234 149.6 0.0073
234 249.8 0.0032
234 499.6 0.0022
276 4.4 0.0129
276 24.8 0.0173
276 44.3 0.0189
276 74.4 0.0183
276 99.4 0.0151
276 109 0.0139
276 124.4 0.0104
276 149.9 0.006
276 174.8 0.0063
276 249 0.0038
276 499.4 0.0025
304 3.7 0.0098
304 24.9 0.0151
304 44 0.0177
304 74.6 0.0186
304 99.2 0.0158
304 124.9 0.0101
304 149.6 0.0073
304 175.3 0.0063
304 250.7 0.0038
346 4.1 0.0123
346 24.2 0.0126
346 44.6 0.0104
346 74.7 0.0129
346 101.5 0.0132
346 126.2 0.0101
346 151.1 0.0073
346 176 0.0044
346 254.2 0.0025
8 5.1 0.0126
8 25.2 0.0129
8 44.8 0.0123
8 75.5 0.0082
8 99.8 0.0101
8 125.2 0.0047
8 150.4 0.0041
8 175.4 0.0041
8 250.1 0.0028
49 5.3 0.0126
49 24.8 0.0155
49 44.7 0.0155
49 74.6 0.0139
49 99.3 0.0126
49 115 0.0164
49 119.7 0.0142
49 124.6 0.0123
49 150.3 0.0073
49 175.4 0.0054
49 250 0.0038
71 4.3 0.0192
71 24.1 0.0189
71 45.2 0.018
71 75.2 0.0167
71 99.7 0.0192
71 109.3 0.0132
71 150 0.0054
71 174.8 0.0063
71 250.6 0.0038
99 4.2 0.0136
99 24.7 0.0123
99 45.2 0.017
99 74.2 0.0164
99 99.4 0.0066
99 124.4 0.0069
99 149.4 0.0044
99 175.5 0.0047
99 250.5 0.0025
99 498.9 0.0019
127 4.4 0.012
127 24.3 0.0126
127 44.2 0.0161
127 74.2 0.0126
127 99.9 0.0136
127 125.5 0.0104
127 150.3 0.0073
127 175.3 0.0063
127 251.3 0.0032
127 498.7 0.0016
155 5 0.0129
155 25.3 0.0167
155 45.1 0.0107
155 76 0.0095
155 98.4 0.0136
155 125.1 0.0091
155 139 0.0073
155 149.9 0.005
155 173.6 0.0041
155 249.2 0.0035
155 499.4 0.0016
190 4.8 0.0177
190 24 0.0151
190 44.8 0.0123
190 74.7 0.0117
190 99.8 0.0107
190 124.5 0.0057
190 174.5 0.0035
190 250.1 0.0032
215 4.8 0.0154
215 24.6 0.0142
215 44.1 0.0148
215 74.5 0.0129
215 99.9 0.0095
215 124.4 0.0076
215 150.1 0.0047
215 174.9 0.0047
215 249.4 0.0032
268 4.4 0.0151
268 24.3 0.0142
268 45.4 0.0148
268 73.6 0.0107
268 100.2 0.0101
268 123.5 0.0098
268 149.2 0.0069
268 174.9 0.0044
268 249.9 0.0028
268 498.9 0.0016
339 5.5 0.0167
339 25.9 0.0148
339 45.3 0.0126
339 74.9 0.0158
339 98.6 0.0145
339 125.9 0.0088
339 150.2 0.0069
339 176 0.0044
339 248.7 0.0025
11 5.3 0.0126
11 25.1 0.0088
11 46 0.0088
11 75.2 0.0139
11 101.3 0.0123
11 123.8 0.0117
11 151.3 0.0041
11 174.5 0.0035
11 248.8 0.0028
50 4.6 0.0145
50 24.5 0.0132
50 45.4 0.0098
50 74.2 0.0126
50 100 0.0129
50 124.1 0.012
50 149.3 0.0054
50 174.6 0.005
50 249.3 0.0035
77 4.9 0.0145
77 24.7 0.0123
77 45.5 0.0164
77 74.5 0.0136
77 100.2 0.011
77 124.7 0.0073
77 149.4 0.0079
77 175 0.0047
77 250.7 0.0032
77 499.9 0.0019
105 5.3 0.012
105 25 0.0085
105 45.4 0.0113
105 75 0.0104
105 99.1 0.0101
105 123.1 0.0069
105 148.9 0.0038
105 175.1 0.0025
105 249.1 0.0019
105 499.5 0.0016
133 5.3 0.0079
133 25.3 0.0076
133 44.5 0.0123
133 75.4 0.0123
133 100.1 0.0098
133 125.2 0.0085
133 150.8 0.006
133 175.9 0.0057
133 249 0.0028
169 4.8 0.0123
169 25 0.0117
169 45.4 0.0136
169 75.2 0.0139
169 109.7 0.0113
169 125 0.012
169 150.1 0.006
169 174.6 0.0044
169 499.9 0.0019
197 4.4 0.0154
197 25.2 0.0136
197 45.4 0.0151
197 99.5 0.0123
197 124.9 0.0117
197 149.6 0.0057
197 175.4 0.0041
197 250.7 0.0025
197 75.6 0.012
222 5.6 0.0167
222 25.2 0.0183
222 44.7 0.0183
222 75.1 0.0104
222 100.1 0.0088
222 124.7 0.0113
222 150.2 0.0063
222 173.6 0.006
222 250.6 0.0044
271 5.7 0.0136
271 25.1 0.0132
271 45 0.0139
271 75.6 0.0167
271 100.5 0.0129
271 125 0.0085
271 150.5 0.0041
271 175.4 0.0044
271 253.5 0.0025
271 499.8 0.0016
292 5.7 0.0164
292 25.6 0.0148
292 44.9 0.0136
292 75.5 0.0158
292 100.3 0.0145
292 125 0.0082
292 150 0.0088
292 174.7 0.0069
292 250.9 0.0041
315 5.9 0.0142
315 25.3 0.0148
315 45.6 0.0151
315 75.8 0.0139
315 100.5 0.0095
315 124.9 0.0091
315 150.6 0.0054
315 176 0.0032
315 251.4 0.0035
343 5.5 0.0148
343 26.1 0.0113
343 45.5 0.0129
343 75.9 0.018
343 100.6 0.0101
343 126.2 0.0073
343 152.3 0.0025
343 177.7 0.0035
343 249.3 0.0032
13 5.3 0.0183
13 26 0.0151
13 46.6 0.0132
13 75.8 0.0148
13 100.3 0.0129
13 126 0.0123
13 150.6 0.0091
13 175 0.0047
13 250.7 0.0025
49 6.4 0.0095
49 26.2 0.0113
49 45.7 0.0095
49 75.7 0.0073
49 100.8 0.0095
49 126.3 0.0091
49 149.8 0.0057
49 174.9 0.0032
49 250.1 0.0022
76 5.8 0.017
76 25.9 0.0142
76 46.4 0.0113
76 76 0.017
76 99.5 0.0161
76 125.8 0.0088
76 151.1 0.0088
76 176.6 0.0057
76 251.6 0.0035
76 499 0.0019
104 5.6 0.0142
104 24.2 0.0126
104 45.1 0.0136
104 75.7 0.0151
104 100.9 0.0132
104 123.9 0.0113
104 150.2 0.0063
104 175.4 0.0079
104 250.4 0.0047
195 5 0.0148
195 24.9 0.0132
195 44.8 0.0164
195 74.7 0.0192
195 99.9 0.0167
195 124.8 0.0142
195 150.3 0.0095
195 174.7 0.0104
195 249.9 0.0044
226 4.7 0.0129
226 24.9 0.0123
226 44.4 0.018
226 75.4 0.0151
226 100.3 0.0136
226 124.8 0.0088
226 150.4 0.0066
226 176.9 0.005
226 250.7 0.0025
226 499.9 0.0019
288 5.1 0.0158
288 24.9 0.0167
288 45 0.0139
288 74.5 0.0142
288 100.3 0.0126
288 125.4 0.0101
288 149.8 0.005
288 175 0.0047
288 250.7 0.005
288 499.8 0.0028
313 5.1 0.0154
313 24.6 0.0151
313 45 0.0136
313 75.2 0.0098
313 100.7 0.0095
313 126 0.006
313 149.8 0.005
313 175.1 0.0047
313 252 0.0028
349 4.6 0.0113
349 24.7 0.0139
349 44.7 0.011
349 75.4 0.0104
349 100 0.0069
349 124.5 0.0063
349 150.1 0.0019
349 174.4 0.0019
349 251.5 0.0019
349 498.7 0.0019
34 4.9 0.0132
34 24.9 0.0132
34 45.8 0.0113
34 75 0.0139
34 100.1 0.0129
34 125.3 0.0095
34 150 0.0047
34 175.4 0.0041
34 249.1 0.0032
34 499.6 0.0016
60 4.5 0.0142
60 25.5 0.0151
60 44.6 0.0145
60 76.2 0.0154
60 98.8 0.0113
60 124.2 0.0104
60 149.8 0.0076
60 175.3 0.0057
60 250.4 0.0038
60 499.2 0.0019
89 4.7 0.0136
89 25.1 0.0151
89 44.7 0.0148
89 75.3 0.0132
89 98.8 0.0091
89 126 0.0066
89 149.8 0.0054
89 175.2 0.0041
89 249 0.0035
89 499.8 0.0019
117 4.8 0.0142
117 24.7 0.0142
117 45 0.0158
117 76 0.0136
117 99.8 0.011
117 124.3 0.0076
117 149.8 0.0054
117 174.8 0.0041
117 249.6 0.0032
145 4.7 0.0114
145 24.3 0.0114
145 45.5 0.0114
145 74.1 0.0088
145 99 0.0101
145 125.3 0.0057
145 149.1 0.0032
145 174 0.0032
145 249.3 0.0028
172 29.6 0.0098
173 4.9 0.0095
173 24.6 0.0154
173 45 0.0189
173 74.9 0.0123
173 100.2 0.0076
173 125.4 0.0054
173 150.6 0.0028
173 175.3 0.0028
173 250.9 0.0025
173 498.5 0.0016
208 4.5 0.0208
208 25.4 0.0233
208 44 0.0164
208 75.2 0.0142
208 100 0.0132
208 125.2 0.0088
208 149.1 0.0057
208 175 0.005
208 253.4 0.0028
236 4.3 0.017
236 25.3 0.011
236 46.1 0.0069
236 74.3 0.0076
236 99.5 0.012
236 126.2 0.0082
236 149.5 0.0044
236 174.4 0.0035
236 251.2 0.0032
292 4.7 0.017
292 24.8 0.0113
292 44.6 0.0113
292 75.3 0.0126
292 99.7 0.0082
292 126.9 0.005
292 148.9 0.0041
292 173.8 0.0028
292 249.3 0.0022
335 5.1 0.0079
335 24 0.0158
335 44.7 0.0095
335 73.7 0.0107
335 99.5 0.0079
335 124 0.0044
335 150.1 0.0069
335 175.2 0.0032
335 198.8 0.0032
335 250.1 0.0016
335 350.7 0.0019
335 350.6 0.0022
355 4.3 0.0155
355 23.9 0.0123
355 44.4 0.0136
355 73.9 0.0095
355 99.1 0.011
355 124.4 0.0104
355 148.9 0.0032
355 173.2 0.0047
355 199.2 0.0041
355 249.1 0.0032
355 349.2 0.0016
355 349.1 0.0022
355 148.6 0.0069
17 3.9 0.0104
17 24.3 0.0107
17 43.5 0.0126
17 74.5 0.012
17 99.4 0.0079
17 124.2 0.0095
17 148.9 0.0095
17 174.7 0.0063
17 198.5 0.0047
17 248.7 0.0028
17 348.7 0.0019
17 348.6 0.0022
46 4.9 0.0142
46 23.9 0.0113
46 44.9 0.0136
46 75.2 0.0082
46 98.5 0.0076
46 125.8 0.0063
46 151.1 0.0041
46 174.4 0.0022
46 204.7 0.0028
46 252.8 0.0022
46 338.7 0.0016
46 339.4 0.0016
80 4.4 0.0095
80 25.2 0.0129
80 45.5 0.0173
80 75.4 0.012
80 99.8 0.0091
80 124.9 0.0123
80 149.9 0.0088
80 175.7 0.0057
80 198.9 0.0032
80 249.9 0.0032
80 350.5 0.0025
80 350.3 0.0022
108 3.5 0.0145
108 25.1 0.0123
108 45.1 0.0101
108 74.8 0.0091
108 98.9 0.012
108 123.2 0.0101
108 147.9 0.0101
108 173.4 0.0079
108 199.1 0.005
108 249 0.0025
108 349.3 0.0032
108 349.4 0.0032
137 4.5 0.0205
137 25.4 0.0177
137 44 0.0161
137 74.4 0.0142
137 99.4 0.0076
137 124.6 0.0104
137 149.7 0.005
137 175.1 0.0041
137 199.7 0.0022
137 249.3 0.0022
137 349.7 0.0019
137 349.7 0.0016
165 23.9 0.0095
165 44 0.012
165 73.9 0.0117
165 100 0.0113
165 124 0.0076
165 148 0.0028
165 173.3 0.0032
165 198.8 0.0028
165 250.5 0.0032
165 352.3 6e-04
165 352.2 0.0013
192 24.3 0.0148
192 44.2 0.0164
192 74.1 0.0129
192 99 0.0151
192 124.4 0.0085
192 150.3 0.0035
192 174 0.0054
192 198.6 0.0032
192 252.4 0.0022
192 355.1 0.0016
192 354.4 0.0028
221 4 0.0202
221 24.1 0.0205
221 44.6 0.0132
221 74.3 0.0158
221 99.4 0.0154
221 124.4 0.0076
221 149.2 0.0066
221 174.4 0.0035
221 200.5 0.0038
221 248.8 0.0038
221 349.9 0.0013
221 349.6 0.0022
275 5.1 0.0192
275 24.4 0.0177
275 45 0.0205
275 76.3 0.018
275 101.1 0.0154
275 124.8 0.0095
275 148.2 0.0069
275 171.8 0.005
275 198.7 0.0044
275 251 0.0032
275 348.4 0.0025
275 348.5 0.0028
296 5.7 0.0214
296 26.4 0.023
296 46.5 0.0243
296 75.2 0.0195
296 99.8 0.0142
296 125.8 0.0095
296 150.1 0.006
296 175.4 0.0038
296 202.9 0.0022
296 251.3 0.0038
296 353.1 0.0035
296 352.4 0.0038
321 4.1 0.0214
321 25.8 0.0221
321 45.2 0.0205
321 73.6 0.0167
321 100.7 0.0113
321 124 0.0088
321 148.9 0.0063
321 174.7 0.0054
321 201.8 0.0054
321 250.2 0.0038
321 351.9 0.0035
321 351.2 0.0028
349 4.3 0.0145
349 26.1 0.0142
349 44.6 0.0142
349 75.7 0.0145
349 99.7 0.0136
349 125.7 0.0054
349 148.8 0.0054
349 176.3 0.0041
349 199.4 0.0032
349 250.9 0.0035
349 350.1 0.0028
349 350.2 0.0022
16 4.5 0.0113
16 24.7 0.0151
16 44 0.0167
16 99.4 0.0085
16 125.3 0.0091
16 149.9 0.0057
16 173.8 0.0054
16 197.4 0.0041
16 249.8 0.0019
16 349.8 0.0025
16 350 0.0032
52 5.4 0.0142
52 24.8 0.0117
52 44.2 0.012
52 75.2 0.012
52 100.7 0.0123
52 124.6 0.0091
52 149.9 0.006
52 174 0.0047
52 200.3 0.0038
52 250.6 0.0028
52 351 0.0019
52 350.3 0.0028
72 4.1 0.012
72 25.4 0.0132
72 45.2 0.0139
72 74.5 0.011
72 99.4 0.011
72 124.3 0.0104
72 149.6 0.0076
72 174 0.0054
72 200.4 0.0038
72 249.8 0.0035
72 350.6 0.0022
72 350.3 0.0032
141 4.6 0.0069
141 24.7 0.0095
141 44.4 0.012
141 74.3 0.0082
141 99.9 0.0091
141 124.2 0.0101
141 144.6 0.0069
141 175.6 0.0041
141 201.6 0.0032
141 247.6 0.0022
141 350.6 0.0013
141 350 0.0022
181 3.8 0.011
181 24.1 0.0107
181 44.9 0.0123
181 73.6 0.0085
181 99.6 0.0066
181 123.9 0.0047
181 148.9 0.0032
181 174 0.0054
181 199.9 0.0025
180 250.6 0.0019
180 349.7 0.0013
180 349.6 0.0019
240 4.2 0.012
240 25.7 0.0126
240 44.1 0.0082
240 74.7 0.011
240 100 0.0107
240 126 0.0082
240 150.1 0.0038
240 175.4 0.0032
240 200.5 0.0041
240 249.8 0.0019
240 350.1 0.0016
240 350.2 0.0022
280 5.5 0.012
280 25.2 0.0132
280 44.9 0.0104
280 74.7 0.0085
280 99.1 0.0079
280 126.1 0.0057
280 149.8 0.0044
280 176 0.0019
280 199.6 0.0047
280 248.9 0.0025
280 350.1 0.0016
280 350.1 0.0013
308 4.5 0.0142
308 24.9 0.0189
308 45.1 0.0161
308 75.2 0.0091
308 99.9 0.0107
308 124.5 0.0069
308 149.7 0.006
308 175.3 0.0032
308 200.1 0.0038
308 249.6 0.0035
308 350.5 0.0019
308 350.3 0.0022
329 8.8 0.012
329 44.2 0.0139
329 74.5 0.0129
329 99.3 0.0079
329 124.1 0.0057
329 149.7 0.0035
329 174 0.0038
329 199.3 0.0032
329 250 0.0022
329 352.4 0.0019
