"DOY" "Depth" "NPP"
40 120 0.12
40 140 0.08
56 1 14.31
56 20 12.73
56 40 7.86
56 60 3.02
56 80 1.07
56 100 0.41
56 120 0.13
56 140 0.01
69 1 11.59
69 20 13.74
69 40 13.27
69 60 7.47
69 80 2.9
69 100 0.93
69 120 0.21
69 140 0.03
89 1 4.53
89 20 1.16
89 40 2.11
89 60 4.06
89 80 6.66
89 100 1.26
89 120 1.15
89 140 0.24
104 1 2.87
104 20 4.46
104 40 3.84
104 60 3.87
104 80 4.19
104 100 5.08
104 120 1.38
104 140 0.65
117 1 4.26
117 20 3.17
117 40 1.69
117 60 4.15
117 80 0.95
117 100 0.22
117 120 0.06
117 140 0.05
129 1 4.73
129 20 7.63
129 40 8.39
129 60 18.38
129 80 3.1
129 100 0.31
129 120 0.09
165 1 2.69
165 20 2.56
165 40 2.13
165 60 1.31
165 80 1.04
165 100 0.83
165 120 0.39
165 140 0.13
194 1 3.29
194 20 2.83
194 40 2.97
194 60 3.11
194 80 2.21
194 100 1.33
194 120 1.36
194 140 0.46
230 1 2.16
230 20 1.19
230 40 0.62
230 60 1.2
230 80 0.6
230 100 0.38
230 120 0.2
230 140 0.16
257 1 4.94
257 20 4.43
257 40 4.67
257 60 4.64
257 80 6.12
257 100 1.27
257 120 0.37
257 140 0.07
285 1 4.29
285 20 4.21
285 40 5.16
285 60 2.37
285 80 1.32
285 100 0.81
285 120 0.19
285 140 0.04
313 1 3.24
313 20 4.29
313 40 3.82
313 60 3.19
313 80 2.07
313 100 1.1
313 120 0.46
313 140 0.17
341 1 4.52
341 20 4.23
341 40 3
341 60 3.48
341 80 1.43
341 100 0.44
341 120 0.23
341 140 0.04
12 1 0.88
12 20 3.45
12 40 0.71
12 60 1.43
12 80 0.69
12 100 0.26
12 120 0.23
12 140 0.04
49 1 5.53
49 20 5.51
49 40 4.71
49 60 3.27
49 80 1.12
49 100 0.39
49 120 0.1
49 140 0.05
58 1 12.36
58 20 4.43
58 40 5.45
58 60 2.49
58 80 0.34
58 100 0.1
58 120 0.07
58 140 0.06
74 1 11.4
74 20 5.22
74 40 6.86
74 60 2.68
74 80 0.83
74 100 0.19
74 120 0.05
74 140 0.06
96 1 3.88
96 20 4.09
96 40 5.61
96 60 4.33
96 80 3.05
96 100 1.33
96 120 0.48
96 140 0.18
109 1 1.6
109 20 2.45
109 40 2.72
109 60 2.91
109 80 1.65
109 100 2.92
109 120 1
109 140 0.18
123 1 5.57
123 20 2.79
123 40 4.03
123 60 7.21
123 80 4.07
123 100 0.25
123 120 0.09
123 140 0.01
137 1 3.59
137 20 2.82
137 40 3.06
137 60 3.05
137 80 2.8
137 100 2.33
137 120 0.06
137 140 0.2
165 1 3.19
165 20 4.02
165 40 3.71
165 60 3.04
165 80 2.71
165 100 1.57
165 120 0.43
165 140 0.06
200 1 3.39
200 20 3.81
200 40 4.75
200 60 3.52
