"DOY" "Depth" "NPP"
67 80 2.26
67 100 0.87
67 120 0.25
67 140 0.02
80 1 14.18
80 20 15.64
80 40 10.44
80 60 5.38
80 80 1.95
80 100 0.67
80 120 0.23
80 140 0.16
96 1 7.15
96 20 8.25
96 40 6.47
96 60 5.71
96 80 2.63
96 100 1.01
96 120 0.22
96 140 0.26
109 1 16.09
109 20 14.12
109 40 8.9
109 60 7.65
109 80 4.51
109 100 1
109 120 0.21
109 140 0.08
137 1 7.57
137 20 7.81
137 40 5.79
137 60 6.26
137 80 0.97
137 100 0.22
137 120 0.16
137 140 0.18
165 1 0.55
165 20 0.96
165 40 1.19
165 60 4.63
165 80 5.05
165 100 4.26
165 120 1.01
165 140 0.34
200 1 0.56
200 20 1.72
200 40 1.58
200 60 3.13
200 80 3.74
200 100 2.79
200 120 1.34
200 140 0.51
221 1 1.01
221 20 1.86
221 40 1.77
221 60 3.5
221 80 3.13
221 100 3.94
221 120 0.95
221 140 0.44
249 1 7.05
249 20 4.94
249 40 6.03
249 60 4.09
249 80 3.05
249 100 1.14
249 120 0.43
249 140 0.26
284 1 4.53
284 20 4.17
284 40 4.67
284 60 3.06
284 80 1.12
284 100 1.02
284 120 0.14
284 140 0.09
314 1 4.86
314 20 4.79
314 40 4.26
314 60 3.77
314 80 2.52
314 100 0.78
314 120 0.27
314 140 0.04
342 1 4.72
342 20 4.31
342 40 3.6
342 60 2.34
342 80 0.79
342 100 0.81
342 120 0.35
342 140 0.12
29 1 9.61
29 20 10.14
29 40 8.45
29 60 3.38
29 80 1.08
29 100 0.45
29 120 0.08
29 140 0.05
39 1 13.39
39 20 11.14
39 40 5.03
39 60 1.35
39 80 0.21
39 100 0.12
53 1 16.45
53 20 17.31
53 40 9.6
53 60 3.84
53 80 1.21
53 100 0.26
53 140 0.06
95 1 22.8
95 20 12.62
95 40 6.02
95 60 2.51
95 80 0.49
95 100 0.09
130 1 4.95
130 20 3.06
130 40 2.96
130 60 2.69
130 80 1.83
130 100 0.99
130 120 0.63
130 140 0.25
178 1 7.45
178 20 5.08
178 40 5.08
178 60 6.18
178 80 4.16
178 100 2.39
178 120 0.61
178 140 0.17
200 1 3
200 20 3.71
200 40 3.36
200 60 2.8
200 80 1.94
200 100 1.33
200 120 0.64
200 140 0.11
221 1 5.54
221 20 5.36
221 40 5.57
221 60 5.07
221 80 10.08
221 100 1.29
221 120 0.37
221 140 0.04
249 1 5.02
249 20 5.15
249 40 5.18
249 60 5.62
249 80 4.03
249 100 1.94
249 120 0.38
249 140 0.02
286 1 3.22
286 20 3.25
286 40 2.83
286 60 2.62
286 80 2.37
286 100 1.36
286 120 0.33
286 140 0.07
312 1 5.55
312 20 5.53
312 40 3.6
312 60 1.89
312 80 3.32
312 100 0.55
312 120 0.23
312 140 0.02
339 1 0.01
339 20 5.34
339 40 3.13
339 60 1.4
339 80 0.68
339 100 0.02
339 120 0.22
32 1 20.79
32 20 20.72
32 40 10.43
32 60 3.77
32 80 1.02
32 100 0.33
32 120 0.06
53 1 2.17
53 20 3.48
53 40 2.07
53 60 1.34
53 80 0.47
53 100 0.05
53 140 0.01
66 1 0.75
66 20 3.46
66 40 3.43
66 60 2.17
66 80 0.86
66 100 0.46
66 120 0.14
80 1 2.84
80 20 3.14
80 40 5.21
80 60 2.47
80 80 1.23
80 100 0.19
80 120 0.28
80 140 0.07
93 1 19.8
93 20 20.39
93 40 13.29
93 60 10.16
93 80 1.73
93 100 0.55
93 120 0.33
93 140 0.01
105 1 6.43
105 20 5.99
105 40 6.07
105 60 4.39
105 80 3.64
105 100 1.58
105 120 0.24
105 140 0.2
136 80 0.92
136 100 0.27
136 120 0.04
137 0 6.26
137 20 6.21
137 40 0.07
137 60 3.81
172 1 5.31
172 20 4.35
172 40 5.41
172 60 3.76
172 80 2.2
172 100 1.73
172 120 1.79
172 140 0.56
200 0 5.85
200 20 6.61
200 40 5.98
200 60 4.06
200 80 2.56
200 100 0.6
200 120 0.69
200 140 0.01
229 1 4.28
229 20 5.32
229 40 3.38
229 60 3.21
229 80 2.41
229 100 0.79
229 120 1.15
229 140 0.09
251 1 7.09
251 20 6.77
251 40 8.18
251 60 6.74
251 80 2.67
251 100 1.37
251 120 0.3
251 140 0.12
279 1 5.63
279 40 5.08
279 60 6.06
279 80 0.6
279 100 0.46
279 120 0.39
279 140 0.12
318 1 5.13
318 20 5.6
318 40 4.15
318 60 2.2
318 80 1.96
318 100 0.3
318 120 0.06
318 140 0.06
339 4.7 4.82
339 4.4 4.68
339 8.4 3.37
339 8.1 1.75
339 4.7 0.65
339 4.4 0.2
339 8.4 0.02
339 8.1 0.14
17 4.2 13.61
17 19.9 11.45
17 40 5.86
17 61.3 2.09
17 79.9 0.42
17 102.2 0.1
43 5.5 5.18
43 19.7 5.99
43 39.4 4.83
43 60.1 2.58
43 80.4 1.45
43 99.2 0.72
43 119.5 0.32
73 4.7 4.19
73 19.9 4.81
73 39.8 3.35
73 59.7 2.65
73 81.1 1.41
73 99.1 3.35
73 121.5 0.25
73 139.4 0.14
106 4.9 2.61
106 19.9 1.84
106 36.9 0.61
106 60.9 1.12
106 78.8 0.66
106 98.4 0.55
106 119.7 0.4
151 1 9.46
151 21.8 6.73
151 41.1 4.17
151 60.6 5.45
151 80.8 3.07
151 100.9 0.86
151 119.9 0.19
174 4.6 6.65
174 20.5 7.19
174 40.1 4.91
174 61 4.42
174 79.7 3.43
174 100.8 2.22
174 120.5 1.38
174 139.9 0.69
227 3.4 4.31
227 19 5.22
227 39.9 4.66
227 59.5 6.13
227 79.4 4.07
227 100.2 0.83
227 119.3 0.15
227 140.7 0.04
256 3.5 3.9
256 19.7 3.59
256 40 4.17
256 58.9 2.95
256 79.7 4.18
256 100.1 2.06
256 119.4 0.52
283 4.2 3.2
283 18.7 2.93
283 40.1 3.14
283 58.5 3.12
283 76.7 4.31
283 95.8 1.22
283 117.6 0.21
283 138.3 0.02
315 3.3 3.14
315 19.5 3.51
315 40 3.09
315 58.1 2.26
315 79.8 1.97
315 100.2 1.36
315 120.1 0.3
315 139.7 0.06
40 20.3 15.79
40 40.9 11.07
40 60.8 4.49
40 81.2 2.2
40 98.7 0.81
40 119.8 0.07
40 140.1 0.06
53 3.2 16.4
53 18.9 11.81
53 41.1 5.73
53 60.2 1.59
53 79 0.57
53 100.6 0.1
53 120.2 0.02
53 139.6 0.02
65 5.4 5.13
65 20.1 11.66
65 39.9 10.32
65 59.7 5.25
65 80.7 1.53
65 100.5 0.34
65 120.4 0.16
65 141.3 0.1
105 3.9 3.32
105 19.6 4.26
105 40.2 3.59
105 60.2 2.95
105 80.2 2.32
105 100.9 1.88
105 119.6 0.58
136 3.8 3.34
136 20 3.99
136 39.2 3.69
136 38.1 2.97
136 39.3 3.58
136 39 3.53
136 38.8 2.44
136 60.3 0.41
162 8.7 4.32
162 19.7 4.83
162 41 5
162 59.7 4
162 80.1 3.83
162 98 1.92
162 120.5 0.03
196 4.7 4.53
196 20 4.98
196 39.9 4.15
196 59.9 15.83
196 79.9 2.54
196 100.6 0.92
196 120.2 0.35
227 3.8 5.64
227 20.3 3.67
227 39.5 4.19
227 61.5 4.53
227 80 4.4
227 101.4 1.71
227 120.2 0.31
227 141.3 0.05
255 4.6 5.61
255 20 5.95
255 40.8 6.62
255 60.5 4.44
255 80.9 3.11
255 100.6 1.17
255 120.7 0.35
255 139 0.07
283 4.2 3.73
283 20.1 3
283 39.6 1.95
283 59.9 3.29
283 80.2 7.94
283 99 1.41
283 119.6 0.15
312 5.2 1.95
312 19.6 2.38
312 39.5 2.74
312 60.3 1.47
312 78.9 1.76
312 100.5 1.15
312 121 0.15
343 4.6 4.32
343 20.1 5.61
343 39.7 4.28
343 60.2 2.53
343 80.9 0.49
343 99.3 0.52
55 4.1 20.41
55 21 17.72
55 39.9 17.02
55 79.6 3.29
55 119.9 0.44
55 139.8 0.06
84 4.5 27.93
84 20.1 15.75
84 40.6 8.59
84 60.2 2.12
84 80.2 0.75
84 100.9 1.51
84 119.9 0.09
84 140.8 0.42
97 3.2 34.74
97 19.7 27.3
97 39.8 13.1
97 59.9 2
97 100.1 0.17
97 140 0.09
112 4 2.45
112 21 2.83
112 40.3 4.06
112 59.6 3.77
112 79.8 6.21
112 101.4 0.97
112 121 0.24
112 139.1 0.07
134 4.9 9.73
134 20.2 9.39
134 40.8 5.84
134 60.4 3.29
134 79.9 2.74
134 100.5 0.36
134 140.7 0.01
174 2.4 9.17
174 19.9 7.78
174 39.8 6.42
174 59.8 5.23
174 79.7 4.79
174 99.9 0.75
174 120 0.06
205 5.1 3.9
205 21.6 4.06
205 39.8 4.21
205 60.7 3.79
205 81.1 2.66
205 100.4 2.09
205 120.2 0.59
205 140.1 0.12
233 4.6 4.92
233 19.7 6.22
233 39.4 4.96
233 60 4.62
233 79.3 5.72
233 99.7 1.39
233 120.1 0.23
233 140.5 0.14
249 20.8 4.73
249 39.8 2.94
249 59.7 6.33
249 79.9 4.02
249 98.2 0.48
249 120 0.06
249 140.4 0.06
280 4.9 2.37
280 19.9 2.08
280 39.9 0.46
280 59.4 4.3
280 79.4 4.7
280 100.5 1.36
280 120.7 0.22
280 137.7 0.13
315 9.2 4.62
315 20 2.45
315 40.1 2.22
315 60.6 1.92
315 78.6 0.43
315 98.2 4.39
315 118 0.01
315 140.3 0.09
343 3.8 4.36
343 17.7 5.93
343 38.3 3.12
343 60 1.85
343 97.1 0.06
343 120.9 0.95
343 139.5 1.27
65 4.9 15.71
65 19.1 13.58
65 40.3 6.03
65 58.8 4.12
65 79.6 1.31
65 100.1 0.44
65 119.1 0.13
86 4.2 16.25
86 19 15.49
86 39.1 16.41
86 59.7 6.08
86 79.7 2.01
86 99.2 0.17
86 120 0.08
86 140 0.08
97 5.4 9.2
97 20 19.5
97 38.5 12.14
97 60.7 4.52
97 80.2 0.85
97 100.7 0.03
97 118.7 0.01
117 5.1 5.54
117 20.2 4.02
117 40.5 3.92
117 60.8 8.04
117 79.1 4.05
117 99.3 4.1
117 120.2 0.06
117 140.6 0.04
138 3.5 2.83
138 20.9 6.25
138 39.1 4.61
138 60.1 8.06
138 79.7 1.64
138 101.1 0.41
167 4.3 4.66
167 19.3 4.56
167 41.1 6.86
167 58.7 9.06
167 80.4 2.73
167 99.9 1.2
167 119.3 0.18
167 141 0.06
188 4.9 1.97
188 19.6 3.06
188 40.3 4.88
188 60.9 4.18
188 80 2.35
188 99.3 1.54
188 120.8 0.31
231 5.4 2.59
231 20 3.13
231 40.6 3.48
231 60.2 3.46
231 80.7 2.23
231 100.4 1.03
231 119.7 0.37
256 5.6 2.01
256 19.6 1.98
256 39.3 2.11
256 59.5 1.14
256 99.5 0.76
256 119.8 0.31
256 139 0.05
305 5.2 5.84
305 18.6 6.95
305 41.1 4.87
305 59.9 3.43
305 81.5 2.08
305 98.7 0.74
305 119 0.15
305 139.5 0
322 4 4.31
322 19.8 4.54
322 40.2 2.45
322 60.3 0.96
322 80.2 0.55
322 99.3 0.2
322 119.9 0.01
343 4.7 5.55
343 19.7 4.72
343 39.7 4.18
343 60.3 1.85
343 81.2 0.65
343 100.4 0.36
343 120.6 0.09
30 5.8 12.82
30 11.1 11.95
30 18.5 4.53
30 40.4 0.36
30 60.6 0.23
30 81 0.21
30 99.3 0.01
41 4.4 5.25
41 19.2 3.94
41 39.5 2.85
41 59.6 1.4
41 79.4 0.25
41 100.1 0.86
41 119.7 0.08
69 4.6 1.02
69 20.7 5.04
69 38.7 4.02
69 60.7 2.61
69 80.6 1.44
69 99.3 0.48
69 120.3 0.07
69 138.6 0.09
89 5.7 2.17
89 20 3.96
89 5.4 3.87
89 38.4 2.8
89 38.5 1.06
89 57.4 0.75
89 77.6 0.19
103 5.5 2.23
103 19.4 3.21
103 39.4 3.26
103 60.3 3.02
103 78.8 1.77
103 100.1 0.94
103 120.2 0.35
103 139.2 0.13
117 5.1 1.33
117 20.2 1.87
117 39.7 1.88
117 59.9 1.4
117 80.8 1.15
117 103.5 1.5
117 120.2 0.57
117 139.5 0.21
141 6 3.45
141 21.2 6.25
141 38.9 4.94
141 61 8.77
141 80.3 3.03
141 100 0.38
141 119.8 0
141 139.3 0.08
171 4.4 5.51
171 21.1 3.7
171 40.4 2.6
171 60.5 5.14
171 78.7 3.75
171 100.3 0.99
171 119.9 0.13
171 140.8 0.01
195 4.3 5.63
195 19.7 2.31
195 39.2 5.33
195 60 4.32
195 81.6 4.99
195 98.6 1.52
195 119.2 0.13
234 4.5 4.74
234 18.1 3.58
234 38.4 2.18
234 60.2 2.78
234 78.4 2.67
234 99.3 2.12
234 120.2 0.43
234 139.3 0.1
257 7.1 4.17
257 20.4 3.33
257 40.7 2.08
257 60.1 1.55
257 80.5 1.01
257 99.8 0.68
257 121.2 0.29
257 140.6 0.43
294 5.8 3.52
294 20.8 2.66
294 39.7 3.2
294 60.5 3.24
294 79.9 1.75
294 100.5 0.6
294 120.2 0.23
294 140.7 0.18
320 6.1 6.33
320 19.9 7.7
320 39 5.58
320 60.7 1.59
320 80.2 0.47
320 99.2 0.18
347 5.3 3.5
347 19.9 4.38
347 40.2 3.69
347 59.5 3.12
347 80.7 1.24
347 140.7 0.17
23 6.6 10.34
23 21 9.24
23 41.2 5.5
23 60 2.26
23 80.7 0.83
23 99.8 0.17
23 119.8 0.11
23 140.8 0.01
44 6.5 15.11
44 20.6 14.9
44 39.9 10.05
44 59.9 4.13
44 79.6 1.48
44 99.5 0.32
44 120.5 0.1
44 139.4 0.39
57 4.7 19.61
57 20.4 20.87
57 40.8 13.05
57 60.8 4.62
57 80.8 1.72
57 99.4 0.41
97 6.6 9.74
97 20.6 9.95
97 40.6 7.8
97 60.6 4.5
97 79.9 1.22
97 99.6 0.24
97 120.9 0.15
97 140.6 0.03
114 5.5 2.74
114 20 2.6
114 39.9 1.92
114 59.1 1.62
114 81 1.53
114 100 1.22
114 120.8 0.25
114 140.3 0.1
136 6.1 3.87
136 19.9 4.26
136 40 4.27
136 59.4 4.54
136 80.1 6.33
136 100.6 2.25
136 120.9 0.51
136 138.9 0.15
167 4.6 4.47
167 20.4 4.55
167 39.4 5.88
167 58.8 2.54
167 78.3 4.23
167 100 2.72
167 120.1 0.52
167 140.1 0.11
187 4.5 2.2
187 20.7 2.26
187 41.1 2.15
187 59.8 2.03
187 79.7 1.66
187 100 0.84
187 119.7 0.33
187 140.4 0.08
215 3.6 5.15
215 18.8 4.18
215 39.4 3.33
215 59.2 3.56
215 80.3 3.07
215 100 1.62
215 119.2 1.1
215 141.3 0.14
261 3.7 1.35
261 20 1.83
261 40.2 2.05
261 59.6 3.16
261 79.7 1.99
261 99.5 0.76
261 119.8 0.29
261 140.2 0.12
293 3.7 1.71
293 19.4 2.1
293 39.7 1.73
293 60 3.16
293 79.5 2.27
293 99.8 1.02
293 119.9 0.23
319 2.9 3.84
319 20.3 4.77
319 40.8 2.32
319 59.7 4.25
319 80.2 1.02
319 99.1 2.72
319 120.8 0.19
344 3.6 4.16
344 20.2 4.76
344 40.1 2.23
344 61.4 2.47
344 81.1 1.75
344 101.1 2.71
344 160.6 0.51
65 1 11.47
65 20 7.14
65 40 5.01
65 60 4.92
65 80 3.58
65 100 1.38
65 120 0
102 4.3 5.11
102 19.7 6.17
102 41.1 4.07
102 59.8 7.33
102 79.6 2.52
102 100 2.25
102 119.8 1.53
102 140.4 0.54
120 3.8 7.18
120 19.5 14.09
120 39.4 8.34
120 60.8 12.82
120 79.8 7.42
120 100.8 4.02
120 121.2 0.76
164 3.7 7.5
164 19.1 4.83
164 39.3 3.55
164 58.9 3.47
164 79.9 4.73
164 98.9 1.65
164 119.5 0.38
164 139.5 0.07
192 3.1 6.89
192 20.9 6.28
192 40 4.5
192 60 4.43
192 80.5 6.37
192 99.9 2.11
192 120.1 0.5
234 2.5 4.18
234 18.9 2.73
234 39.8 3.93
234 60.5 2.9
234 79.2 2.39
234 100 1.25
234 120.1 0.71
234 140.5 0.21
257 3.4 3.45
257 19.8 1.7
257 38.8 5.27
257 59.4 3.16
257 79.7 2.46
257 99.7 1.77
257 118.9 0.91
257 140.7 0.05
302 4 2.81
302 20.7 4.21
302 40.7 2.46
302 60.9 2.62
302 80 1.81
302 99 0.8
302 139.3 0.03
325 3.9 4.55
325 20.3 3.49
325 41.7 2.82
325 61.3 1.06
325 79.7 0.39
325 100.8 0.2
325 120.2 0.21
325 140.5 0.14
345 1 3.57
345 20 3.97
345 40 3
345 60 2.21
345 80 0.86
345 100 1.04
345 120 0.25
345 140 0.08
35 4.3 7.76
35 20.8 9.19
35 40 5.34
35 60.7 2.44
35 81.2 1.15
35 99.9 0.16
35 122.1 0.11
35 141.6 0.02
51 5.7 11.9
51 40.7 6.13
51 61.4 2.58
51 79.3 1.08
51 101.8 0.51
51 140.9 1.21
72 5.1 8.25
72 19.7 9.51
72 41.4 14.59
72 60.1 5.24
72 80.1 1.42
72 100.3 1.19
72 120.3 0.27
99 3.3 6.26
99 20.2 4.68
99 40.1 4.2
99 60.3 5.23
99 79.7 7.06
99 99.9 2.44
99 119.5 0.35
114 5.2 0.59
114 20.8 3.05
114 40.2 2.37
114 61.6 4.01
114 80.4 1.58
114 98.9 1.38
114 119.5 0.78
114 140.5 0.06
133 3.2 9.74
133 21 7.4
133 40.6 6.9
133 60.1 6.76
133 79.3 10.03
133 139.8 0.66
148 4.2 11.92
148 20.6 12.43
148 39.6 13.37
148 61.6 9.76
148 80.6 6.02
148 100.3 1.51
148 119 0.15
148 140.5 0.03
175 4.5 0.94
175 19.2 3.81
175 39.8 4.09
175 59.3 2.71
175 80.1 1.74
175 100 2.68
175 119.7 0.61
198 4.2 3.98
198 19.8 3.21
198 40.4 2.94
198 59.7 2.86
198 79.2 2
198 142.8 0.11
232 6 8.06
232 20.2 3.57
232 40.6 8.02
232 60 5.5
232 80.8 5.45
232 101.6 1.44
232 122.7 0.25
232 139.9 0.25
256 4.2 2.34
256 21.2 2.2
256 40.1 3.31
256 61.2 3.21
256 80.4 2.89
256 101.5 1.79
256 120.6 0.62
256 140.4 0.21
333 4 1.35
333 19.3 1.22
333 39.9 0.85
333 60.4 1.15
333 79.6 0.82
333 99.7 0.19
333 120.4 0.28
347 3 3.03
347 19.7 3.89
347 40.8 2.38
347 61.3 1.85
347 80.8 1.13
347 99.8 0.86
347 119.8 0.31
347 142 0.02
69 5.4 2.91
69 19.8 2.45
69 38.9 1.9
69 59.4 2.75
69 80 0.91
69 100.5 0.87
69 123.3 0.08
84 5.4 3.22
84 18.6 2.32
84 38.7 3.01
84 60.8 2.52
84 80.7 3.19
84 100.3 1.72
84 120.7 0.1
84 140.5 0.43
96 5.2 2.83
96 19.7 1.66
96 41 1.23
96 59.4 1.3
96 80.3 1.59
96 98.3 0.43
96 118.5 0.46
107 4.3 2.87
107 20.2 1.72
107 39.7 2.38
107 59.4 2.11
107 79.5 1.67
107 99.2 1.39
107 119.2 1.02
107 141.9 0.51
126 5 4.08
126 19.6 3.03
126 40.2 2.5
126 60.4 3.23
126 80.7 2.05
126 99.5 2.46
126 121 0.96
126 143.4 0.13
167 4.2 4.75
167 20.5 2.56
167 39.7 2.23
167 60.2 1.43
167 78.8 2.97
167 101 2.2
167 119.1 1.57
167 140.8 0.92
205 3.2 5.91
205 20.4 3.47
205 40 0.01
205 60 3.85
205 80.7 2.63
205 100.3 1.5
205 120.4 1.18
205 142.3 0.4
232 4.8 3.6
232 20.3 2.45
232 39.6 2.66
232 59.8 3.39
232 79.7 2.89
232 99.3 1.83
232 120.8 1.15
232 143.1 0.42
265 4.5 3.02
265 20.3 3.3
265 39.5 2.32
265 59.7 2.18
265 80.3 1.74
265 99.7 1.94
265 120.5 0.9
265 141.5 0.42
293 5.4 4.44
293 20.5 3.98
293 39.7 2.48
293 58.4 1.97
293 81.1 3.02
293 102.1 2.37
293 121.3 1.35
293 145.5 0.63
325 5.5 4.7
325 18.9 5.28
325 41.5 4.84
325 59.6 3.02
325 78.2 1.52
325 99.6 1.48
325 121.7 0.34
325 141.2 1
349 3.7 1.7
349 19.8 1.42
349 40.5 0.94
349 59.1 0.6
349 80.7 0.65
349 100.3 0.51
349 120.8 0.08
