"DOY" "Depth" "PON"
301 0 0.67
301 10 1.18
301 20 1.08
301 30 0.94
301 50 0.49
301 100 0.2
301 150 0.14
301 200 0.17
56 0 0.29
56 10 0.54
56 30 0.46
56 50 0.45
56 100 0.38
56 150 0.15
56 200 0.12
110 10 0.84
110 20 0.79
110 50 0.65
110 75 0.26
110 100 0.19
110 150 0.17
110 200 0.1
185 10 2.18
185 30 1.51
185 50 0.6
185 75 0.32
185 100 0.16
185 150 0.21
185 200 0.15
