"DOY" "Depth" "Chl"
44 74.5 0.54
44 98.6 0.44
44 124.1 0.13
44 149.9 0.13
44 174.2 0.07
44 200 0.04
45 0 0.85
45 5.7 0.84
45 15.3 0.82
45 25.2 0.9
45 34.4 0.8
45 45.2 0.83
45 49.8 0.66
45 60.2 0.525
45 75.5 0.49
45 80.2 0.45
45 90.2 0.37
45 99.5 0.37
45 124.7 0.17
45 150.2 0.11
45 175.5 0.07
45 200 0.04
48 0 0.75
48 5.5 0.795
48 15.1 0.79
48 20.7 0.82
48 30.9 0.8
48 40 0.83
48 54.9 0.98
48 60.1 1
48 70.3 1.04
48 84.5 1.02
48 89.8 0.97
48 100.9 0.85
48 125.4 0.38
48 150.3 0.04
48 175.8 0.04
48 200 0.02
310 0 0.11
310 4.4 0.11
310 10.1 0.12
310 24.4 0.11
310 49.6 0.2
310 74.7 0.32
310 99.4 0.03
310 123.8 0.01
310 149.6 0
311 0 0.11
311 9.6 0.11
311 19.7 0.105
311 29.8 0.11
311 39.9 0.1
311 50.4 0.11
311 65 0.21
311 75.7 0.29
311 91 0.36
311 95.5 0.33
311 105.8 0.25
311 105.9 0.25
311 125.3 0.14
311 150.4 0
311 175.4 0
313 0 0.11
313 5.7 0.11
313 10 0.1
313 19.6 0.1
313 34.5 0.1
313 40.2 0.11
313 54.4 0.215
313 65.3 0.22
313 70 0.27
313 79.8 0.3
313 94.9 0.3
313 110.1 0.3
313 125.4 0.19
313 149.8 0.06
313 174.4 0
31 0 0.37
31 9.6 0.37
31 20.1 0.4
31 29.8 0.44
31 50 0.535
31 74.8 0.19
31 99.1 0.19
31 124 0.14
31 148.3 0.06
31 173.8 0.02
31 200 0.01
31 0 0.47
31 4.8 0.45
31 15.1 0.46
31 24.7 0.47
31 34.7 0.48
31 45 0.46
31 49.9 0.425
31 64.2 0.32
31 69.8 0.34
31 80.1 0.34
31 90.4 0.28
31 100.1 0.23
31 125 0.13
31 150.3 0.02
31 174.9 0.01
31 200 0
33 0 0.4
33 5 0.41
33 14.7 0.4
33 19.7 0.42
33 30.4 0.4
33 39.3 0.45
33 50.5 0.415
33 60.4 0.42
33 70.3 0.41
33 85.4 0.35
33 91.2 0.32
33 99 0.23
33 124 0.15
33 150.9 0.13
33 175.4 0.03
33 200 0.01
39 0 0.45
39 5.6 0.47
39 15.6 0.47
39 19.7 0.47
39 30.9 0.49
39 40.7 0.47
39 50.3 0.465
39 59.7 0.46
39 70.4 0.46
39 84.4 0.35
39 89.8 0.3
39 100.4 0.04
39 125.9 0.02
39 149.9 0.01
39 175.1 0.01
39 200 0.01
40 0 0.36
40 5.1 0.34
40 10.4 0.345
40 19.9 0.34
40 30.3 0.34
40 39.9 0.32
40 49.9 0.33
40 60.5 0.32
40 70.2 0.31
40 80.9 0.29
40 89.5 0.29
40 100.3 0.3
40 125.3 0.33
40 150.3 0.27
40 175 0.02
40 200 0.01
41 0 0.38
41 9.9 0.395
41 20 0.39
41 30.1 0.38
41 49 0.385
41 74.3 0.3
41 99 0.33
41 124.4 0.34
41 148.5 0.19
41 173.8 0.12
41 200 0.01
41 0 0.57
41 5.7 0.57
41 10.1 0.575
41 20.2 0.58
41 34.8 0.57
41 40 0.53
41 50 0.43
41 60.1 0.47
41 70.8 0.31
41 80 0.17
41 94.9 0.04
41 100.9 0.03
41 125.3 0.02
41 150.3 0.01
41 175 0.01
41 200 0
195 0 0.09
195 10.1 0.06
195 20.2 0.06
195 29.8 0.09
195 49.6 0.135
195 74.8 0.19
195 99.3 0.34
195 123.8 0.25
195 149.3 0.16
195 174.1 0.08
195 200 0.03
195 0 0.08
195 7.9 0.095
195 21 0.09
195 34.8 0.11
195 39.9 0.12
195 45.2 0.12
195 55.1 0.15
195 60.4 0.16
195 64.8 0.22
195 71 0.34
195 81.2 0.43
195 99.9 0.4
195 125 0.1
195 150.9 0.1
195 175.4 0.07
195 200 0
197 0 0.09
197 6.3 0.08
197 10.7 0.08
197 19.9 0.08
197 40.2 0.12
197 59.7 0.15
197 79.5 0.2
197 99.6 0.435
197 120.3 0.29
197 139.4 0.12
197 159.8 0.04
197 179.7 0.03
197 200 0.01
