"DOY" "Depth" "SIZE10"
31 4.8 0.111111111111111
31 15.1 0.105263157894737
31 24.8 0.0731707317073171
31 34.6 0.108108108108108
31 45 0.0952380952380952
31 64.3 0.111111111111111
31 80.1 0.0967741935483871
31 100.1 0.15
31 125 0.181818181818182
33 5 0.0645161290322581
33 14.7 0.0540540540540541
33 30.4 0.0606060606060606
33 50.5 0.0606060606060606
33 60.4 0.0645161290322581
33 70.3 0.0645161290322581
33 85.4 0.0714285714285714
33 99 0.0909090909090909
33 124 0.142857142857143
39 5.5 0.0638297872340425
39 15.6 0.104166666666667
39 30.9 0.106382978723404
39 50.4 0.0869565217391304
39 59.6 0.0930232558139535
39 70.4 0.0888888888888889
39 84.4 0.09375
39 100.4 0.2
39 125.9 0
40 5.1 0.0625
41 5.7 0.1
41 20.2 0.0833333333333333
41 34.8 0.0833333333333333
41 50.1 0.075
41 60 0.0714285714285714
41 80 0.0625
41 94.9 0.2
41 100.9 0
41 125.3 0
41 5.9 0.08
313 70 0
313 125.4 0.0555555555555556
313 149.8 0
313 9.8 0
313 34.8 0
313 54.2 0.0588235294117647
313 65.3 0.05
313 79 0.0434782608695652
313 94.8 0.04
313 109.8 0.037037037037037
311 89.8 0.0625
311 49.4 0.0769230769230769
311 10 0.0833333333333333
311 90.9 0.0294117647058824
311 125.3 0.0769230769230769
311 9.6 0.111111111111111
311 29.8 0
311 50.4 0
311 65.1 0.0476190476190476
311 75.8 0.0434782608695652
311 91.1 0.0294117647058824
311 105.7 0.0434782608695652
48 100.9 0.552631578947368
48 125.4 0.538461538461539
48 150.3 0
48 5.2 0.452054794520548
48 15.5 0.529411764705882
48 30.4 0.533333333333333
48 40.2 0.527027027027027
48 54.7 0.556818181818182
48 69.7 0.65625
48 84.5 0.522222222222222
45 75.2 0.142857142857143
45 35.4 0.433333333333333
45 5.2 0.46031746031746
45 99.4 0.388888888888889
45 124.7 0.2
45 150.2 0.111111111111111
45 5.2 0.408450704225352
45 15.2 0.528089887640449
45 25.1 0.5
45 33.8 0.493506493506494
45 45.3 0.484848484848485
45 60.2 0.386363636363636
45 75.2 0.363636363636364
120 19.5 0.0909090909090909
120 40.2 0.116279069767442
120 74.6 0.25
120 100 0.272727272727273
120 124.5 0.25
120 4.7 0.105263157894737
120 9.5 0.0952380952380952
120 24.5 0.0909090909090909
120 29.6 0.0967741935483871
120 34.5 0.0769230769230769
120 44.9 0.0985915492957747
120 54.6 0.205882352941176
118 54.8 0.269230769230769
118 29.9 0.127272727272727
118 5.1 0.131578947368421
118 20.2 0.12280701754386
118 69.1 0.138461538461538
118 84.8 0.175
118 100.9 0.107142857142857
118 125 0.2
118 5 0.108695652173913
118 9.7 0.130434782608696
118 25.3 0.113207547169811
118 29.9 0.142857142857143
118 35 0.166666666666667
118 39.8 0.12
118 55.1 0.102040816326531
208 70.1 0.180555555555556
208 45 0.133333333333333
208 6.1 0.111111111111111
208 15.3 0.2
208 36.5 0.111111111111111
208 80.7 0.130434782608696
208 100.8 0.135135135135135
208 130.4 0.0714285714285714
208 150.3 0.166666666666667
208 5.9 0
208 20.3 0.142857142857143
208 44.6 0.0909090909090909
208 55.9 0.0714285714285714
208 65.4 0.111111111111111
208 70.5 0.131578947368421
208 85.4 0.113207547169811
205 19.6 0.166666666666667
205 41.4 0.222222222222222
205 85.5 0.0677966101694915
205 105.6 0.161290322580645
205 124.9 0.2
205 139.9 0.125
205 6.4 0.166666666666667
205 24.6 0
205 47.6 0.0833333333333333
205 60 0.0666666666666667
205 70.1 0.0666666666666667
205 77.9 0.0555555555555556
205 94.1 0.15
179 26.8 0
179 48.1 0.0625
179 76.2 0.0612244897959184
179 90.5 0.0526315789473684
179 107.5 0.166666666666667
179 3.8 0
179 11.8 0
179 33 0
179 40 0.0833333333333333
179 53 0.0625
179 57.2 0.037037037037037
179 66.6 0.0576923076923077
182 31.1 0.0833333333333333
182 50 0.0588235294117647
182 84.7 0.0689655172413793
182 99.9 0.1
182 120.1 0
182 7.1 0
182 17.8 0
182 36.2 0
182 43 0.1
182 55.6 0.0526315789473684
182 60 0.0789473684210526
182 73.8 0.0789473684210526
182 84.7 0.173913043478261
182 59.5 0.0833333333333333
182 6.6 0
