"DOY" "Depth" "SIZE1"
31 4.8 0.472222222222222
31 15.1 0.447368421052632
31 24.8 0.48780487804878
31 34.6 0.378378378378378
31 45 0.5
31 64.3 0.518518518518518
31 80.1 0.516129032258065
31 100.1 0.5
31 125 0.454545454545455
33 5 0.387096774193548
33 14.7 0.486486486486486
33 30.4 0.424242424242424
33 50.5 0.424242424242424
33 60.4 0.419354838709677
33 70.3 0.483870967741935
33 85.4 0.428571428571428
33 99 0.545454545454545
33 124 0.5
39 5.5 0.425531914893617
39 15.6 0.375
39 30.9 0.382978723404255
39 50.4 0.347826086956522
39 59.6 0.441860465116279
39 70.4 0.4
39 84.4 0.4375
39 100.4 0.4
39 125.9 0.5
40 5.1 0.46875
41 5.7 0.4
41 20.2 0.4375
41 34.8 0.416666666666667
41 50.1 0.5
41 60 0.476190476190476
41 80 0.4375
41 94.9 0.4
41 100.9 0.5
41 125.3 1
41 5.9 0.46
313 70 0.285714285714286
313 125.4 0.5
313 149.8 0.75
313 9.8 0.25
313 34.8 0.25
313 54.2 0.294117647058824
313 65.3 0.25
313 79 0.434782608695652
313 94.8 0.4
313 109.8 0.37037037037037
311 89.8 0.5
311 49.4 0.307692307692308
311 10 0.25
311 90.9 0.294117647058824
311 125.3 0.461538461538462
311 9.6 0.333333333333333
311 29.8 0.285714285714286
311 50.4 0.363636363636364
311 65.1 0.333333333333333
311 75.8 0.434782608695652
311 91.1 0.411764705882353
311 105.7 0.434782608695652
48 100.9 0.184210526315789
48 125.4 0.230769230769231
48 150.3 1
48 5.2 0.246575342465753
48 15.5 0.220588235294118
48 30.4 0.253333333333333
48 40.2 0.243243243243243
48 54.7 0.215909090909091
48 69.7 0.1875
48 84.5 0.233333333333333
45 75.2 0.428571428571428
45 35.4 0.216666666666667
45 5.2 0.174603174603175
45 99.4 0.25
45 124.7 0.4
45 150.2 0.444444444444444
45 5.2 0.23943661971831
45 15.2 0.224719101123596
45 25.1 0.225
45 33.8 0.233766233766234
45 45.3 0.212121212121212
45 60.2 0.25
45 75.2 0.340909090909091
120 19.5 0.409090909090909
120 40.2 0.325581395348837
120 74.6 0.583333333333333
120 100 0.454545454545455
120 124.5 0.5
120 4.7 0.368421052631579
120 9.5 0.380952380952381
120 24.5 0.363636363636364
120 29.6 0.32258064516129
120 34.5 0.384615384615385
120 44.9 0.47887323943662
120 54.6 0.470588235294118
118 54.8 0.423076923076923
118 29.9 0.363636363636364
118 5.1 0.263157894736842
118 20.2 0.385964912280702
118 69.1 0.446153846153846
118 84.8 0.475
118 100.9 0.678571428571428
118 125 0.6
118 5 0.369565217391304
118 9.7 0.41304347826087
118 25.3 0.490566037735849
118 29.9 0.36734693877551
118 35 0.395833333333333
118 39.8 0.44
118 55.1 0.489795918367347
208 70.1 0.333333333333333
208 45 0.4
208 6.1 0.333333333333333
208 15.3 0.2
208 36.5 0.333333333333333
208 80.7 0.326086956521739
208 100.8 0.378378378378378
208 130.4 0.428571428571428
208 150.3 0.5
208 5.9 0.2
208 20.3 0.285714285714286
208 44.6 0.272727272727273
208 55.9 0.285714285714286
208 65.4 0.333333333333333
208 70.5 0.342105263157895
208 85.4 0.415094339622641
205 19.6 0.333333333333333
205 41.4 0.222222222222222
205 85.5 0.35593220338983
205 105.6 0.32258064516129
205 124.9 0.35
205 139.9 0.5
205 6.4 0.166666666666667
205 24.6 0.285714285714286
205 47.6 0.25
205 60 0.266666666666667
205 70.1 0.266666666666667
205 77.9 0.25
205 94.1 0.275
179 26.8 0.181818181818182
179 48.1 0.1875
179 76.2 0.326530612244898
179 90.5 0.368421052631579
179 107.5 0.5
179 3.8 0.444444444444444
179 11.8 0.375
179 33 0.363636363636364
179 40 0.25
179 53 0.0625
179 57.2 0.259259259259259
179 66.6 0.288461538461538
182 31.1 0.166666666666667
182 50 0.352941176470588
182 84.7 0.448275862068966
182 99.9 0.5
182 120.1 0.333333333333333
182 7.1 0.375
182 17.8 0.142857142857143
182 36.2 0.142857142857143
182 43 0.2
182 55.6 0.289473684210526
182 60 0.236842105263158
182 73.8 0.315789473684211
182 84.7 0.217391304347826
182 59.5 0.25
182 6.6 0.166666666666667
