"DOY" "Depth" "C2N"
314 0 7
314 20 8.7
314 50 7.5
314 70 7
314 80 6.5
314 90 7.6
314 100 9.6
314 150 8.9
314 200 9.7
47 0 7.2
47 20 6.1
47 50 6.5
47 75 5.2
47 100 8.7
47 150 7.6
47 200 9.8
120 10 7.2
120 20 7.2
120 30 6.7
120 50 6.5
120 75 7.6
120 150 9.9
120 200 10.6
210 0 9.4
210 10 11.9
210 20 8.8
210 30 8.3
210 50 8.2
210 75 7.8
210 100 6.7
210 150 10.5
210 200 10.4
