"DOY" "Depth" "C2N"
301 0 6.1
301 10 5.4
301 20 5.2
301 30 5.8
301 50 5.8
301 100 8.1
301 150 6.7
301 200 7.3
56 0 6.6
56 10 5.4
56 30 6.2
56 50 6.1
56 100 6
56 150 7.2
56 200 7.7
110 10 5.8
110 20 6.3
110 50 5.8
110 75 6.9
110 100 7.9
110 150 6.8
110 200 9.5
185 10 5.7
185 30 6
185 50 6.5
185 75 6.2
185 100 7.1
185 150 7.2
185 200 6.8
