"DOY" "Depth" "SIZE10" "SIZE3" "SIZE1" "SIZE_L1"
48 125.4 0.538461538461539 0.102564102564103 0.230769230769231 0.128205128205128
48 150.3 0 0 1 0
48 5.2 0.452054794520548 0.123287671232877 0.246575342465753 0.178082191780822
48 15.5 0.529411764705882 0.117647058823529 0.220588235294118 0.132352941176471
48 30.4 0.533333333333333 0.08 0.253333333333333 0.133333333333333
48 40.2 0.527027027027027 0.108108108108108 0.243243243243243 0.121621621621622
48 54.7 0.556818181818182 0.102272727272727 0.215909090909091 0.125
48 69.7 0.65625 0.0625 0.1875 0.09375
48 84.5 0.522222222222222 0.133333333333333 0.233333333333333 0.111111111111111
45 75.2 0.142857142857143 0.142857142857143 0.428571428571428 0.285714285714286
45 35.4 0.433333333333333 0.116666666666667 0.216666666666667 0.233333333333333
45 5.2 0.46031746031746 0.126984126984127 0.174603174603175 0.238095238095238
45 99.4 0.388888888888889 0.138888888888889 0.25 0.222222222222222
45 124.7 0.2 0.133333333333333 0.4 0.266666666666667
45 150.2 0.111111111111111 0.222222222222222 0.444444444444444 0.222222222222222
45 5.2 0.408450704225352 0.169014084507042 0.23943661971831 0.183098591549296
45 15.2 0.528089887640449 0.0786516853932584 0.224719101123596 0.168539325842697
45 25.1 0.5 0.1 0.225 0.175
45 33.8 0.493506493506494 0.0909090909090909 0.233766233766234 0.181818181818182
45 45.3 0.484848484848485 0.136363636363636 0.212121212121212 0.166666666666667
45 60.2 0.386363636363636 0.181818181818182 0.25 0.181818181818182
45 75.2 0.363636363636364 0.113636363636364 0.340909090909091 0.181818181818182
120 19.5 0.0909090909090909 0.136363636363636 0.409090909090909 0.363636363636364
120 40.2 0.116279069767442 0.116279069767442 0.325581395348837 0.441860465116279
120 74.6 0.25 0.0833333333333333 0.583333333333333 0.0833333333333333
120 100 0.272727272727273 0.0909090909090909 0.454545454545455 0.181818181818182
120 124.5 0.25 0.25 0.5 0
120 4.7 0.105263157894737 0.105263157894737 0.368421052631579 0.421052631578947
120 9.5 0.0952380952380952 0.142857142857143 0.380952380952381 0.380952380952381
120 24.5 0.0909090909090909 0.136363636363636 0.363636363636364 0.409090909090909
120 29.6 0.0967741935483871 0.193548387096774 0.32258064516129 0.387096774193548
120 34.5 0.0769230769230769 0.115384615384615 0.384615384615385 0.423076923076923
120 44.9 0.0985915492957747 0.126760563380282 0.47887323943662 0.295774647887324
120 54.6 0.205882352941176 0.117647058823529 0.470588235294118 0.205882352941176
118 54.8 0.269230769230769 0.153846153846154 0.423076923076923 0.153846153846154
