"DOY" "Depth" "PRO"
230 8.3 1.778
230 24.5 1.575
230 46.1 2.287
230 75 1.503
230 100.7 1.49
230 124.4 0.503
230 151.3 0.194
230 176 0.082
267 5.4 2.461
267 25.1 2.781
267 44.6 2.667
267 74.7 2.461
267 99.8 0.805
267 125.2 0.31
267 150.2 0.038
267 176.7 0.04
307 4.6 2.124
307 24 2.224
307 44.7 2.116
307 75.2 2.679
307 99.4 1.061
307 127 0.378
307 149.6 0.059
307 171.4 0.029
343 4.7 2.777
343 24.4 2.822
343 44.3 2.711
343 75 2.058
343 99.9 0.789
343 126.5 0.304
343 151.6 0.107
343 175.5 0.031
69 4.7 2.003
69 25.5 1.989
69 45.6 1.914
69 75.3 1.878
69 101.3 1.457
69 125.4 0.273
69 150.8 0.083
69 172.8 0.021
96 4.7 1.643
96 25.3 1.672
96 44.1 1.703
96 77.4 1.853
96 98.5 1.94
96 123.3 0.53
96 150 0.108
96 174.2 0.026
138 5 1.526
138 23.1 1.538
138 44.4 1.796
138 74.4 2.251
138 100.4 1.385
138 125.1 0.43
138 150.2 0.17
138 176.4 0.085
159 5.5 1.602
159 25.1 1.504
159 44.6 1.838
159 75.4 1.943
159 100.1 1.004
159 127.3 0.69
159 147.8 0.437
159 180 0.054
189 5.8 1.769
189 25.7 1.584
189 46.2 1.8
189 75.4 2.147
189 100.5 1.76
189 125.7 0.901
189 150.6 0.379
189 175 0.063
219 6 1.607
219 24.9 1.621
219 45.1 1.725
219 75.4 2.176
219 100.2 2.133
219 125.1 1.273
219 151.2 0.405
219 176.2 0.202
246 6.6 1.832
246 25 1.847
246 45 1.997
246 75.3 2.411
246 100.3 1.585
246 124.5 0.487
246 149.9 0.177
246 176.9 0.011
276 5.7 1.752
276 24.5 2.14
276 45.5 2.148
276 76 2.704
276 100.8 1.611
276 126 0.368
276 150.2 0.118
276 175.3 0.026
325 5.7 2.028
325 25.2 2.2
325 45 2.244
325 75.2 2.321
325 100.3 1.751
325 125.6 0.602
325 150.2 0.12
325 175.3 0.035
9 6.7 1.676
9 26.6 1.745
9 46.2 1.703
9 76.6 1.734
9 101.6 1.551
9 125.5 0.418
9 149.6 0.044
9 175.1 0.015
29 6.7 1.687
29 24.9 1.653
29 45.8 1.598
29 74.9 2.021
29 100 1.633
29 124.5 0.489
29 150.4 0.094
29 176.1 0.006
59 6.8 1.526
59 24.8 1.458
59 46.3 1.574
59 100.7 2.116
59 125.7 0.733
59 150.4 0.127
59 175.1 0.032
101 4.6 1.709
101 25.4 1.574
101 45.5 1.731
101 75 1.997
101 102.5 2.267
101 125.1 2.272
101 150.3 0.171
101 175.9 0.054
129 5.9 1.829
129 24.1 1.83
129 44 1.828
129 74.2 1.703
129 99.4 1.041
129 123.9 0.395
129 149.6 0.22
129 175.5 0.126
200 5.7 1.735
200 24.5 1.649
200 44.6 1.758
200 74.7 1.922
200 99.8 1.857
200 124.1 1.084
200 149.5 0.447
200 174.7 0.118
243 5.6 1.56
243 25.7 2.052
243 45.6 2.736
243 74.8 2.016
243 99.7 0.911
243 124.9 0.308
243 149.6 0.129
243 173.7 0.061
270 5.8 2.305
270 25.7 2.55
270 45.3 2.536
270 75.9 2.562
270 100.9 1.706
270 125.5 0.709
270 150.4 0.188
270 175.9 0.079
308 5.7 2.348
308 26 2.409
308 47.1 2.309
308 78.5 1.391
308 99.9 0.698
308 126.7 0.237
308 152.8 0.085
308 181 0.02
333 5.6 1.532
333 24.8 1.546
333 45.5 1.512
333 74.2 1.553
333 99.6 1.433
333 124.1 0.353
333 149.4 0.208
333 175.6 0.038
354 5.6 2.17
354 24.9 2.143
354 44.8 2.207
354 73.8 1.664
354 99.4 0.728
354 124 0.125
354 149.8 0.077
354 174.1 0.024
18 5.6 1.639
18 25.8 1.734
18 44.4 1.742
18 75.7 1.548
18 100.2 1.194
18 127.5 0.418
18 151.8 0.098
18 175.2 0.046
122 5.7 1.798
122 23.9 2.04
122 46.1 2.05
122 78.2 2.445
122 101.1 1.815
122 125.5 0.41
122 148.8 0.275
122 172.8 0.197
151 4.5 1.283
151 24.4 1.297
151 45.6 1.987
151 73.8 2.131
151 100.9 1.616
151 123.9 1.652
151 148.9 0.603
151 177.2 0.151
178 5 1.719
178 24.8 1.706
178 45.4 1.642
178 75.1 2.272
178 99.5 1.322
178 125.2 0.412
178 149.6 0.177
178 174.7 0.111
213 6.7 2.24
213 24.4 2.224
213 45.4 2.63
213 75.7 2.62
213 100.3 1.533
213 124.6 0.448
213 150.3 0.157
213 175.8 0.051
230 5.2 2.281
230 24.7 2.393
230 45.4 2.341
230 75.3 2.634
230 100.3 1.397
230 126.3 0.703
230 150.4 0.23
230 175.7 0.078
258 5.5 1.53
258 24.6 1.307
258 45.5 1.779
258 75.3 1.898
258 100.5 1.119
258 124.5 0.581
258 149.9 0.255
258 174.9 0.155
281 5.6 1.593
281 25.2 1.745
281 45.3 1.958
281 75.4 2.081
281 100.2 1.512
281 125.5 0.482
281 150.1 0.177
281 174.6 0.055
338 5.9 2.34
338 25.5 2.364
338 44.3 2.333
338 75.4 2.18
338 100.1 1.098
338 124.8 0.368
338 150.9 0.027
338 176.2 0.006
43 7.9 2.246
43 25.4 2.219
43 45.6 2.304
43 75.1 2.357
43 100 2.424
43 124.3 1.142
43 150 0.433
43 175.2 0.045
65 6.4 2.176
65 25.2 2.267
65 45.2 2.414
65 76.4 1.889
65 99.5 1.102
65 124.9 0.669
65 176.5 0.185
95 5.3 2.192
95 25.4 2.084
95 45.9 2.612
95 75.7 2.627
95 100 2.175
95 125.2 0.729
95 149 0.347
95 174.2 0.07
137 7.3 1.794
137 25 1.886
137 45.3 2.321
137 75.5 2.618
137 100.4 3.363
137 124.8 0.571
137 149.8 0.186
137 175.6 0.12
176 8 2.13
176 25.9 2.169
176 45.1 3.532
176 76.1 2.3
176 101.8 0.806
176 125.7 0.241
176 149.9 0.164
176 175.5 0.05
254 6.8 2.294
254 25.4 2.197
254 45.2 2.272
254 75.6 2.45
254 101.3 1.32
254 125.8 0.538
254 151.2 0.048
254 175.5 0.006
300 7.7 2.615
300 25.4 2.597
300 45.7 2.575
300 75.5 2.809
300 100.2 1.039
300 124.8 0.315
300 151 0.089
300 175.6 0.034
330 7.6 2.384
330 25.2 2.512
330 45.7 2.66
330 74.3 3.047
330 100.7 1.049
330 126.3 0.367
330 150.6 0.127
330 175.6 0.018
354 7.5 2.414
354 25.2 2.287
354 45.6 2.339
354 74.8 2.082
354 100.5 1.048
354 125.6 0.302
354 149.5 0.02
354 174.3 0.002
15 6.3 2.089
15 23.8 2.141
15 45.9 2.227
15 75.9 2.243
15 101.1 2.428
15 126.2 0.921
15 150.8 0.113
15 175.4 0.007
45 7.8 2.02
45 26.2 2.024
45 44.2 1.931
45 74.9 1.642
45 100.4 0.794
45 125.4 0.374
45 151.1 0.189
45 174.7 0.008
64 7 2.375
64 24.8 2.359
64 46.4 2.404
64 75.5 2.542
64 100.5 0.795
64 124.2 0.272
64 150.7 0.114
64 174.5 0.011
100 4.5 1.516
100 23.9 1.551
100 45 1.532
100 72.8 2.253
100 99.2 2.19
100 124.8 0.928
100 149.1 0.644
100 175 0.326
152 5.4 1.662
152 24.7 1.979
152 44.8 2.116
152 75.4 2.261
152 100.2 0.961
152 125.6 0.523
152 149.4 0.166
152 174.4 0.01
181 5.1 1.831
181 24.9 2.042
181 45.2 2.317
181 75.7 2.43
181 100 1.97
181 124.4 0.736
181 150.1 0.147
181 175 0.051
257 7.7 2.25
257 25.6 2.675
257 45.1 3.049
257 75.3 3.555
257 100.2 0.95
257 125.1 0.373
257 150.1 0.195
257 174.5 0.049
286 8 2.245
286 24.9 2.557
286 45.8 2.728
286 74.1 3.001
286 100.3 0.829
286 124.6 0.191
286 150.8 0.074
286 175.5 0.02
325 6.9 2.568
325 25.4 2.798
325 44.7 2.615
325 74.4 1.596
325 100.4 0.802
325 125.4 0.234
325 150.3 0.084
325 175.9 0.035
350 7.4 1.896
350 25.1 2.057
350 44.5 1.93
350 75.3 1.952
350 100.6 1.023
350 125.5 0.254
350 149.2 0.07
350 175.5 0.013
