"DOY" "Depth" "PRO"
212 39.9 2.738
212 59.6 1.982
212 79.1 1.142
212 89.9 0.586
212 99.4 0.075
212 150.1 0.212
241 5 2.071
241 25 2.216
241 45 2.147
241 100 1.079
241 125 0.341
241 150 0.025
271 4.9 2.238
271 16 2.317
271 24.8 2.298
271 34.9 2.599
271 44.2 2.646
271 54.7 2.947
271 64.5 2.856
271 74.6 1.853
271 94.1 1.645
271 99.3 1.603
271 110.7 0.553
271 124.9 0.259
271 149.7 0.039
271 174.3 0.014
300 5 2.641
300 25 2.532
300 45 2.695
300 75 2.74
300 100 0.622
300 125 0.283
300 150 0.115
300 175 0.046
321 5 2.823
321 25 2.818
321 45 2.766
321 75 1.965
321 100 0.831
321 125 0.168
321 150 0.027
17 5 2.457
17 25 2.475
17 45 2.419
17 75 2.868
17 100 1.939
17 125 0.193
17 150 0.067
87 5 3.399
87 25 3.36
87 45 3.587
87 75 3.293
87 100 2.655
87 125 0.948
87 175 0.09
115 5 2.513
115 25 2.453
115 45 2.473
115 75 3.193
115 100 3.608
115 125 1.358
143 5 1.989
143 25 1.996
143 45 2.248
143 75 2.984
143 100 1.81
143 125 0.389
143 150 0.18
178 5 1.905
178 25 2.007
178 45 2.358
178 75 2.492
178 100 3.067
178 125 1.485
178 150 0.562
209 5 1.735
209 25 1.713
209 45 1.752
209 75 2.6
209 100 1.704
209 125 0.659
209 150 0.195
234 5 2.62
234 25 2.669
234 45 3.694
234 75 3
234 100 2.246
234 125 0.704
234 150 0.109
234 175 0.098
276 5 2.511
276 25 2.686
276 45 2.818
276 75 1.703
276 125 0.166
276 150 0.066
304 5 2.014
304 25 2.131
304 45 2.02
304 75 1.961
304 100 0.625
304 125 0.231
304 150 0.202
304 175 0.05
346 5 2.347
346 25 2.425
346 45 2.389
346 75 2.244
346 100 1.349
346 125 0.341
346 150 0.28
8 5 2.557
8 25 2.567
8 45 2.417
8 75 1.741
8 100 0.665
8 125 0.385
8 150 0.498
8 175 0.053
49 5 2.331
49 25 2.258
49 45 2.384
49 75 2.582
49 100 1.796
49 125 0.873
49 175 0.211
71 5 2.582
71 25 2.708
71 45 3.116
71 75 1.994
71 100 1.391
71 125 0.396
71 150 0.11
99 5 1.893
99 25 2.229
99 45 2.246
99 75 0.637
99 100 0.333
99 125 0.026
99 150 0.001
99 175 0.036
127 5 2.111
127 25 2.204
127 45 2.164
127 75 2.475
127 100 1.352
127 125 0.428
127 150 0.115
127 175 0.026
155 5 1.462
155 25 1.476
155 45 1.944
155 75 1.805
155 100 1.88
155 125 0.924
155 150 0.155
155 175 0.01
190 5 2.182
190 25 2.199
190 45 2.172
190 75 2.651
190 100 2.104
190 125 0.672
190 150 0.146
214 5 2.865
214 25 2.891
214 45 3.553
214 75 3.475
214 100 3.066
214 125 0.541
214 150 0.2
214 175 0.219
268 5 2.528
268 25 2.533
268 45 2.184
268 75 3.147
268 100 2.938
268 125 0.924
268 150 0.254
11 5 2.154
11 25 1.895
11 45 2.007
11 75 0.952
11 100 0.759
11 125 0.401
11 150 0.032
11 175 0.065
50 5 1.861
50 25 2.185
50 45 2.142
50 75 2.419
50 100 0.957
