"DOY" "Depth" "Data"
50 71.8 0.139884393063584
50 126.4 0.0542986425339367
50 148.4 0.0779310344827586
50 177.6 0.0835616438356164
50 247.7 0.064
139 1.3 0.165853658536585
139 20.8 0.136986301369863
139 40.9 0.149489795918367
139 73.5 0.13680981595092
139 98.2 0.147027027027027
139 125.2 0.181739130434783
139 149.8 0.181481481481481
139 174.6 0.154
200 7.6 0.136279069767442
200 27.8 0.132599118942731
200 47.4 0.125868725868726
200 76.2 0.103809523809524
200 105 0.148427672955975
200 129.8 0.189814814814815
200 154.2 0.130357142857143
200 180.7 0.11830985915493
231 6.1 0.161734693877551
231 26.3 0.165714285714286
231 46.9 0.174157303370787
231 77.2 0.175308641975309
231 103.2 0.176
231 130.1 0.216831683168317
231 156.9 0.160526315789474
231 183.6 0.17962962962963
263 78 0.16864406779661
263 104.1 0.130939226519337
263 155.7 0.156756756756757
263 181 0.110975609756098
293 25.1 0.102253521126761
293 45.3 0.111347517730496
293 75.7 0.115668202764977
293 101.3 0.110175438596491
293 128.2 0.0937219730941704
293 155.6 0.0945945945945946
293 183.2 0.113333333333333
19 4.9 0.104624277456647
19 25.5 0.10625
19 25.4 0.0925925925925926
19 25.6 0.107407407407407
19 46.1 0.116129032258065
19 75.6 0.122292993630573
19 102.1 0.0908333333333333
19 102 0.0834782608695652
19 126.7 0.084
19 154 0.1078125
19 179.5 0.107017543859649
50 6.4 0.148275862068966
50 25.6 0.134224598930481
50 45.9 0.14468085106383
50 76.1 0.150810810810811
50 125.9 0.11953125
50 153.3 0.106329113924051
50 178.8 0.080327868852459
78 4.7 0.154594594594595
78 24.6 0.15
78 44.2 0.149738219895288
78 73.7 0.217391304347826
78 104.3 0.157225433526012
78 128.9 0.18
78 152.2 0.167088607594937
78 176 0.205172413793103
109 6.4 0.148514851485149
109 6.3 0.15273631840796
110 6.3 0.14537037037037
110 31.1 0.146190476190476
110 31 0.142727272727273
110 45.6 0.155026455026455
110 75.7 0.137724550898204
110 101.5 0.142105263157895
110 143.2 0.174
110 152.8 0.18433734939759
110 177.2 0.173684210526316
139 8.2 0.162121212121212
139 28 0.16017316017316
139 48.8 0.146929824561404
139 79.6 0.157352941176471
139 105.3 0.159574468085106
139 130.7 0.159047619047619
139 155.6 0.150632911392405
139 181.6 0.171929824561404
170 11.5 0.133928571428571
170 27.3 0.130290456431535
170 47.4 0.136254980079681
170 78.1 0.137053571428571
170 104 0.137790697674419
170 129.4 0.153571428571429
170 154.7 0.15
170 180.2 0.153424657534247
200 6 0.187317073170732
200 27 0.183168316831683
200 46.3 0.158636363636364
200 102.3 0.171345029239766
200 130.5 0.17
200 154.7 0.167469879518072
200 185.6 0.178181818181818
353 6.6 0.15
353 28.5 0.158441558441558
353 45.7 0.156953642384106
353 76.5 0.165734265734266
353 102 0.151470588235294
353 128.3 0.182894736842105
353 154.1 0.178181818181818
353 177.3 0.175
50 6.9 0.11875
50 26.6 0.104444444444444
50 26.6 0.122297297297297
50 46.5 0.124203821656051
50 76.2 0.123684210526316
50 105.7 0.139166666666667
50 105.7 0.132824427480916
50 129.7 0.143478260869565
50 157.4 0.135087719298246
50 179.3 0.137254901960784
78 14.9 0.159428571428571
78 30.8 0.150568181818182
78 48 0.159722222222222
78 77.9 0.163758389261745
78 106.7 0.163120567375887
78 127.4 0.14375
78 155.2 0.155294117647059
78 175.6 0.159090909090909
109 7.6 0.147619047619048
109 28.8 0.143718592964824
109 47.9 0.13953488372093
109 77.3 0.160606060606061
109 101.6 0.151813471502591
109 111.4 0.130593607305936
109 118.7 0.205737704918033
109 129.2 0.148125
109 156 0.18030303030303
109 182.4 0.211320754716981
109 13 0.165745856353591
109 13.1 0.142408376963351
109 13.1 0.146842105263158
109 12.9 0.146408839779006
140 79 0.217460317460317
140 105.2 0.18010752688172
140 129.9 0.161855670103093
140 156.7 0.161627906976744
140 182.4 0.150632911392405
140 182.4 0.18030303030303
171 26.2 0.113733905579399
171 48.5 0.111475409836066
171 78.5 0.19695652173913
171 103.3 0.114835164835165
171 119.1 0.162874251497006
171 128.7 0.0705035971223022
171 140.9 0.0853658536585366
171 155.2 0.109375
171 182.3 0.112345679012346
200 6.1 0.164092664092664
200 27.1 0.178810408921933
200 49.1 0.165934065934066
200 78.1 0.233505154639175
200 106.1 0.166871165644172
200 128.9 0.154716981132075
200 155.4 0.201869158878505
200 181.5 0.209638554216867
231 8.3 0.115720524017467
231 24 0.148
231 44.6 0.11259842519685
231 62.7 0.155984555984556
231 80.1 0.1256
231 102.6 0.102
231 144.4 0.127522935779817
231 156 0.0875
231 179.6 0.115189873417722
262 27 0.124842767295597
292 6.7 0.0596846846846847
292 26.2 0.141350210970464
292 46.2 0.186259541984733
292 76.9 0.156632653061224
292 101.5 0.19025974025974
292 122 0.207207207207207
292 127.1 0.223300970873786
292 150.8 0.175
292 175.9 0.146913580246914
353 6.8 0.119166666666667
353 151.1 0.167816091954023
353 176.2 0.0909090909090909
50 27.2 0.1535
50 47.4 0.174603174603175
50 78.1 0.157391304347826
50 83.5 0.174074074074074
50 124.3 0.0383561643835616
50 134.2 0.0545454545454545
50 154.6 0.131764705882353
50 184.8 0.141891891891892
170 8.6 0.114772727272727
170 28.5 0.120618556701031
170 47.5 0.11039603960396
170 77.4 0.118617021276596
170 103.7 0.120915032679739
170 129 0.126315789473684
170 154.4 0.107058823529412
201 25.5 0.111406844106464
201 25.6 0.106083650190114
201 73.2 0.134948096885813
201 101.1 0.127916666666667
201 124.5 0.108542713567839
201 129.4 0.13
201 134.3 0.0984848484848485
201 140.2 0.0926666666666667
201 150.3 0.111864406779661
201 177.2 0.109638554216867
201 248.8 0.101315789473684
200 50.9 0.138327526132404
200 50.8 0.14672131147541
200 50.7 0.145173745173745
200 135.8 0.114705882352941
200 135.8 0.0987096774193548
200 135.8 0.097093023255814
231 29.6 0.185714285714286
231 49.1 0.176394849785408
231 79.3 0.189673913043478
231 104.4 0.195161290322581
231 128.6 0.133333333333333
231 155.4 0.162337662337662
231 179.6 0.136111111111111
19 4.3 0.182352941176471
19 25 0.180459770114943
19 45.1 0.183832335329341
19 72.6 0.214
19 99.8 0.2144
19 120.6 0.215929203539823
19 145.5 0.169767441860465
19 177.2 0.188461538461538
19 239.7 0.159649122807018
50 6.8 0.223899371069182
50 24.6 0.20561797752809
50 44.8 0.186384976525822
50 60.3 0.21195652173913
50 65 0.192626728110599
50 71 0.217613636363636
50 80.3 0.133333333333333
50 95.2 0.1504
50 100.5 0.171153846153846
50 105.4 0.164545454545455
50 125.2 0.227868852459016
50 150.6 0.155555555555556
50 169.9 0.148076923076923
109 5.5 0.2
109 28.6 0.196410256410256
109 28 0.206703910614525
109 44.8 0.209815950920245
109 74.6 0.229452054794521
109 89.7 0.2
109 99.8 0.188151658767773
109 99.8 0.217877094972067
109 109 0.19478672985782
109 126 0.215068493150685
109 140.5 0.263157894736842
109 148.2 0.177358490566038
109 174.1 0.247457627118644
109 243.2 0.32
140 7.2 0.0821917808219178
140 27.5 0.147596153846154
140 48.2 0.178195488721804
140 48.2 0.166279069767442
140 78.7 0.158730158730159
140 78.8 0.165536723163842
140 103.8 0.162433862433862
140 121.3 0.176666666666667
140 174.8 0.145121951219512
140 212.6 0.147368421052632
262 7 0.155440414507772
262 25.5 0.153921568627451
262 25.2 0.150239234449761
262 47 0.154679802955665
262 76.8 0.15981308411215
262 98.7 0.155440414507772
262 98.8 0.181081081081081
262 122.5 0.182089552238806
262 149.4 0.173958333333333
262 177.4 0.14
292 7.3 0.266935483870968
292 27.4 0.170222222222222
292 50.1 0.208366533864542
292 55.9 0.175688073394495
292 74 0.216
292 90.6 0.211057692307692
292 100.4 0.224074074074074
292 104.8 0.342780748663102
292 109.5 0.306382978723404
292 113.9 0.248901098901099
292 125.2 0.33314606741573
292 150.8 0.198809523809524
292 174.5 0.269354838709677
19 6.9 0.137724550898204
19 12.6 0.13021978021978
19 27.6 0.152739726027397
19 46.4 0.132608695652174
19 62.8 0.135
19 72.9 0.146710526315789
19 84.9 0.116666666666667
19 99.3 0.161224489795918
19 116.2 0.148148148148148
19 175.9 0.154237288135593
19 246.6 0.13695652173913
19 6.8 0.136507936507937
19 25.5 0.145631067961165
19 53.4 0.121538461538462
19 76.9 0.155900621118012
19 101.1 0.154545454545455
19 101.8 0.1625
19 101.9 0.136885245901639
19 127.1 0.16025641025641
19 150.6 0.167532467532468
