"DOY" "Depth" "DOC"
96 124 83.41
96 134.9 77.93
96 149.2 76.56
96 160.2 70.02
96 173.8 66.01
97 4.7 87.93
97 24.5 92.03
97 44.4 89.1
97 74.2 88.6
97 100.6 83.7
97 125.8 81.45
97 134.3 78.42
97 137.5 76.56
97 145.4 78.22
97 149.5 77.15
97 174.6 66.5
127 5 86.64
127 9.7 88.01
127 24.7 85.37
127 45 85.96
127 59.5 84.87
127 84.3 79.39
127 104.8 75.58
127 124.3 72.26
127 149.8 69.53
127 174.7 65.43
211 5 112.61
211 14.7 115.64
211 24.4 110.36
211 35 107.43
211 45.1 101.72
211 60.1 92.49
211 74.9 90.92
211 85 87.3
211 95.6 84.96
211 104.7 84.08
211 114.6 82.22
211 124.5 77.97
211 133.8 73.63
211 149.5 68.35
211 174.3 65.82
240 4.7 88
240 14.3 86.63
240 25 84.38
240 44.3 81.55
240 60.3 82.52
240 74.4 80.08
240 84.3 78.8
240 94.7 85.88
240 105.2 81.05
240 114.8 80.46
240 124.8 78.12
240 135.4 76.85
240 149.6 73.24
240 160 68.55
240 173.3 66.8
270 5 83.41
270 14.1 81.26
270 24.8 84
270 35 79.31
270 45.5 76.43
270 60.4 78.52
270 74.5 74.9
270 85 72.85
270 93.9 73.53
270 104.1 69.14
270 114.4 68.16
270 124 65.33
270 134.1 64.16
270 149.1 64.26
270 174.4 65.82
300 199.4 56.65
300 4.6 95.22
300 13.6 91.8
300 24.4 93.46
300 44.3 91.21
300 59.4 88.87
300 75 88.67
300 84.9 84.38
300 104.1 78.22
300 114.9 73.82
300 124.8 75
300 134.7 69.82
300 149.1 65.82
300 158.3 61.04
300 174.3 58.79
321 5 105.58
321 14.1 102.06
321 24 101.38
321 34.5 98.15
321 44.3 99.81
321 60.9 94.15
321 74.5 95.12
321 85.5 93.16
321 94.1 96.38
321 104.3 91.4
321 114.3 88.57
321 125 86.33
321 134.5 83.3
321 149.9 79.3
321 175.1 74.23
17 4.6 101.09
17 14.5 97.28
17 24.9 96.79
17 34.8 95.62
17 44.8 91.08
17 59.6 85.36
17 74.6 82.92
17 84.3 76.96
17 94.4 71.29
17 104.4 69.87
17 114.4 67.77
17 124.8 63.47
17 134.9 57.91
17 149.5 56.05
17 174.4 57.33
87 4.8 115.25
87 13.1 107.93
87 24.4 110.86
87 34 103.34
87 44.3 103.49
87 58.8 105
87 72.8 103.33
87 84.4 98.83
87 95.2 95.51
87 104.6 96.53
87 114.7 87.6
87 123.7 85.5
87 134 82.13
87 148.7 84.48
87 173 79.59
87 199.6 74.52
115 4.6 118.88
115 14.9 125.03
115 23.6 116.24
115 34.3 115.26
115 44.1 100.02
115 59 91.23
115 74.1 84.78
115 84.4 84.48
115 94.2 85.16
115 104.1 77.2
115 114.8 74.81
115 123.9 61.91
115 134.5 61.33
115 150.5 62.99
115 174.5 60.84
143 5.1 109.98
143 15.3 106.36
143 24.6 100.69
143 35.1 113
143 44.5 108.26
143 61.1 89.26
143 75.1 85.06
143 85 90.23
143 94.3 82.13
143 105.1 83.45
143 116.3 80.96
143 125 77
143 134.8 71.39
143 149 67.09
143 175.1 67.77
178 4 91.06
178 14.7 94.48
178 24.6 92.91
178 35.2 93.6
178 45 81.02
178 74.4 74.22
178 84.5 78.61
178 94.9 86.42
178 104.7 86.62
178 114.5 80.56
178 124.1 76.61
178 134 77.15
178 150 82.71
178 159 77.63
178 174.6 75.39
178 184.6 72.56
209 4.5 93.88
209 14.4 88.02
209 24.3 84.6
209 33.9 87.04
209 44.6 81.33
209 58.9 78.05
209 74.8 71.59
209 84.5 66.9
209 95.1 71.88
209 103.8 69.19
209 113.7 70.31
209 124.2 69.09
209 134.2 63.86
209 150.2 60.15
209 174.3 60.65
209 199.9 58.69
234 5.2 102.66
234 14.8 97.98
234 25.2 94.26
234 34.6 92.21
234 44.9 87.23
234 59.8 80.68
234 74.5 76.57
234 84.6 75.29
234 95 71.78
234 104.4 69.09
234 114.2 72.46
234 125.3 69.04
234 135.7 68.46
234 150.4 66.89
234 176 62.99
234 199.8 61.53
276 3.8 103.24
276 14.2 102.94
276 24.2 99.72
276 34.9 106.46
276 43.6 102.94
276 59.6 99.81
276 73.8 95.11
276 84.6 95.6
276 94.5 95.02
276 103.7 90.28
276 115.3 86.91
276 124.3 83.01
276 134.8 75.68
276 148.7 75.59
276 159.4 71.49
276 175.1 68.95
276 183.8 64.26
276 199.9 63.19
304 4.3 100.78
304 14.7 101.27
304 24.2 98.83
304 34.9 102.74
304 43.7 101.91
304 59.6 95.51
304 74.1 97.56
304 84.4 94.33
304 95.4 95.41
304 104.4 92.87
304 114.2 88.77
304 123.8 82.03
304 135.2 78.71
304 149.7 75.1
304 175.2 76.76
346 4.3 120.32
346 14.6 116.42
346 24.2 115.34
346 35 111.63
346 44.5 108.07
346 59.5 104.31
346 74.2 101.96
346 83.9 100.99
346 95.7 96.79
346 105.1 92.14
346 114.6 88.87
346 125 84.33
346 135.4 77.83
346 149.4 73.63
346 174.7 72.27
346 199.9 69.55
8 4.3 104.31
8 14.2 108.6
8 24.3 111.14
8 34.4 108.21
8 44.2 98.4
8 59.3 95.9
8 75 99.42
8 84.8 97.17
8 94.4 92.97
8 104.5 87.5
8 114.1 78.91
8 124.9 77.73
8 134.9 75.1
8 149.9 76.27
8 175 75.3
8 199.8 68.76
49 4.5 94.93
49 15.2 95.42
49 24.5 98.16
49 33.9 97.47
49 44.4 94.35
49 60.1 91.81
49 74.5 86.24
49 84.4 82.82
49 94.2 87.61
49 104.7 85.8
49 114.4 86.73
49 124.5 81.7
49 135.8 83.01
49 150 78.91
49 174.1 76.95
71 4.5 101.18
71 14.5 100.88
71 24.8 99.12
71 35.5 94.73
71 44.6 98.54
