"DOY" "Depth" "DOC"
288 25.2 72.92
288 34.7 74.82
288 59.7 75.18
288 74.2 71.83
288 100.5 70.89
288 125.5 65.07
288 150.1 61.22
288 174.9 56.8
314 4.8 79.69
314 24.2 79.12
314 36.6 80.07
314 43.5 78.35
314 59.9 76.8
314 99.4 62.97
314 124.5 58.61
314 151.8 56.92
314 175.2 54.84
354 6.5 74.74
354 14.9 74.42
354 24.1 74.82
354 36.5 75.59
354 59.7 75.99
354 75.4 73.44
354 100.5 65.28
354 124.8 61.24
354 149.6 61.64
354 181 55.66
354 199.8 53.31
22 3.6 74.91
22 12.9 73.62
22 24.7 75.56
22 34 72.67
22 43.2 72.77
22 59.8 72.25
22 73.5 71.88
22 99.1 72.11
22 123.2 73.36
22 148.7 61.03
22 175.4 56.39
56 4.7 73.81
56 14 76.33
56 23.8 75.83
56 33.6 72.07
56 45.1 74.19
56 59.5 72.94
56 72.9 72.66
56 99.4 72.67
56 124.7 67.7
56 148.7 63.23
56 177.5 54.24
80 8 67.33
80 14.8 65.9
80 24.7 67.83
80 34.6 66.93
80 46.3 63.41
80 58.9 63.23
80 73.6 62.98
80 99.6 60.64
80 124.5 55.47
80 149.5 48.83
80 174.3 46.1
80 199.8 52.18
112 4.7 72.38
112 14.4 73.15
112 24.9 72.96
112 35 73.82
112 44.4 71.83
112 60.9 72.26
112 75.1 71.83
112 99.9 69.49
112 125.2 67.01
112 149.4 63.55
112 173.8 70.08
112 199.3 53.33
140 14.2 71.47
140 24.2 70.64
140 34.1 69.73
140 43.9 67.79
140 59.5 68.63
140 73.9 65.14
140 98.3 59.84
140 123.8 55.16
140 149.2 50.91
140 174.4 49.23
140 198.3 48.29
168 3.8 74.04
168 13.6 74.75
168 24 71.41
168 32.9 73.58
168 44.6 78.96
168 59.4 73.2
168 74 69.57
168 99 67.95
168 123 68.1
168 149.2 64.18
168 173.7 53.66
168 198.5 62.84
196 4.9 77.89
196 25.1 74.03
196 43.4 76.25
196 60 72.54
196 74.4 73.21
196 99.7 72.28
196 125.1 66.84
196 149.8 63.05
196 174.8 59.3
196 200 56.3
230 4.2 77.42
230 13.8 78.92
230 24.8 78.11
230 34.5 80.92
230 44.8 78.81
230 59.9 76.6
230 74.5 71.05
230 99.9 66.36
230 124.6 60.44
230 149.6 60.63
230 175 55.82
230 199.2 53.43
273 4.9 79.2
273 14.5 78.81
273 24.4 73.05
273 34.5 73.51
273 44.7 73.13
273 59.3 70.53
273 73.1 68.04
273 99.3 64.67
273 124.4 64.15
273 149.5 57.74
273 174.9 54.68
273 199.5 50.82
305 5 78.33
305 14.7 78.55
305 24.5 78.19
305 34.6 79.21
305 44.7 78.38
305 60.1 75.4
305 75.2 71.41
305 99.4 64.35
305 124.2 61.02
305 149.7 59.22
305 175.8 54.51
333 24.4 74.01
333 24.4 74.8
333 44.9 71.82
333 59.3 76.39
333 74.9 71.89
333 84.2 69.95
333 84.3 68.26
333 98.7 64.63
333 126.8 60
333 148.1 54.5
333 174.3 51.23
356 5.1 73.06
356 14.6 71.21
356 25.1 70.15
356 34.9 68.11
356 44.5 68.59
356 60.6 68.2
356 74.9 67.99
356 100.5 67.13
356 125.6 58.29
356 149.4 55.85
356 174.1 54.6
356 199.6 51.09
33 4.7 70.64
33 15.4 67.88
33 25.6 71.18
33 35.5 69.03
33 45.3 69.75
33 60.6 69.34
33 75.3 66.91
33 100.1 62.58
33 126.1 57.36
33 151.4 52.76
33 174.3 51.76
33 199.6 49.98
64 4.8 69.65
64 15.1 71.61
64 25.5 69.1
64 34.1 69.4
64 45 67.9
64 60.6 68.85
64 75.5 70.5
64 99.7 60.18
64 125.3 62.76
64 150.8 57.72
64 174.9 53.31
64 199.7 52.49
138 10.2 77.22
138 15 81.61
138 24.7 75.79
138 34.9 78.3
138 44.5 76.03
138 59.9 82.71
138 74.4 77.16
138 100.2 74.63
138 125.2 79.27
138 150 69.08
138 174.5 68.47
138 199.9 62.55
166 13.4 73.42
166 25 76.45
166 34.9 77.12
166 45.9 76.29
166 59.8 72.86
166 75.3 72.88
166 99.7 68.77
166 123.9 59.7
166 150.8 54.07
166 174.8 56.11
198 5.1 76.91
198 14.8 80.37
198 24.7 76.83
198 34.4 77.77
198 44.8 77.18
198 59.4 80.41
198 75 74.7
198 99.6 75.5
198 124.7 73.05
198 150.1 63.02
198 174.6 60.96
226 4.9 74.82
226 13 73.34
226 25 73.87
226 45.1 72.89
226 60.4 74.49
226 75.8 71.13
226 101.1 69.18
226 124.7 65.91
226 151 57.61
226 175.7 55.83
253 5.9 74.46
253 14.4 74.32
253 24 74.94
253 44.7 75.39
253 59.6 73.67
253 74.9 71.6
253 99.9 68.39
253 124.4 65.92
253 151 63.41
283 6.5 78.35
283 14.9 77.64
283 26.1 76.58
283 34.9 75.87
283 45.2 76.86
283 61.5 76.59
283 75.1 78.3
283 99.9 68.09
283 124.9 61.56
283 151 55.19
283 175.5 53.43
283 199.1 53.29
316 4.8 73.7
316 12.9 73.88
316 23.8 70.61
316 33.2 72.59
316 43 74
316 58.1 73.35
316 73.1 71.02
316 98.8 65.8
316 123.8 62.6
316 149.2 58.64
316 173.8 57.23
316 199.6 55.45
347 5.8 75.4
347 15.3 75.65
347 25.1 73.43
347 34.8 74.47
347 45.7 72.76
347 59.8 74.08
347 74.8 74.61
347 98.8 71.88
347 124.9 62.9
347 152.6 59.63
347 175.2 54.17
347 200 51.78
26 6.6 72.03
26 16.5 70.81
26 24.8 74.25
26 36.4 70.52
26 46.3 67.16
26 59.8 68.6
26 75.6 70.51
26 98.1 69.72
26 125 68.03
26 150 64.81
26 172.8 56.53
26 198.6 53.34
26 115.3 66.35
46 7.2 69.24
46 15 70.45
46 25.1 73.62
46 35.2 72.13
46 45.4 69.27
46 58.4 71.54
46 76 70.05
46 99.3 62.77
46 124.5 56.98
46 150.9 51.8
46 200 46.32
69 7.5 69.45
69 15.1 68.52
69 24.3 67.37
69 36.4 70.17
69 46.4 71.68
69 60.2 70.14
69 75.2 69.39
69 101.5 68.55
69 124.2 69.15
69 148.6 64.23
69 174.9 54.24
69 199.8 52.35
92 9.1 71.48
92 15.2 74.01
92 24.2 74.03
92 35.7 69.16
92 46 73.19
92 59.1 70.17
92 74.8 70.44
92 99.7 67.65
92 124.5 67.99
92 149.6 69.82
92 175.2 62.74
92 198.7 56.39
147 9.3 73.55
147 15.1 73.73
147 35.8 70.94
147 44.9 67.62
147 75 66.83
147 125.2 62.56
147 150.4 69.07
147 175.8 52.34
147 199.9 47.9
165 7.8 69.22
165 15.3 70.36
165 25.5 72.15
165 35.7 70.06
165 45.3 70.44
165 60.7 69.33
165 75.5 68.16
165 100.2 64.96
165 125.4 55.64
165 150.5 52.8
165 174.9 51.79
194 9.1 74.85
194 15.7 78.8
194 26 69.97
194 35.9 72.23
194 45.9 79.09
194 60.5 75.86
194 76.3 74.81
194 100.6 67.5
194 125.8 63.91
194 151.2 61.1
194 175.9 56.14
221 7.5 69.08
221 15.4 69.31
221 25.8 75.2
221 34.7 71.33
221 44.8 69.28
221 60 72.03
221 74.6 64.88
221 100.9 62.8
221 125.9 59.18
221 150.5 50.92
221 174.8 53.78
259 5.6 76.85
259 15.2 81.6
259 25.6 81.18
259 35.1 80.87
259 45.7 77.31
259 60.6 80.39
259 76.2 75.95
259 100.6 73.97
259 125.5 67.3
259 151 59.7
259 177.5 63.77
294 8.1 75.76
294 18.1 79.84
294 25.3 75.85
294 35.9 77.24
294 45.8 77.22
294 61.6 79.39
294 74.7 80.85
294 97.3 74.14
294 125.3 66.04
294 151.8 60.41
294 172.6 60.6
313 8.8 79.54
313 15.6 78.9
313 25.8 78.96
313 35.2 79.81
313 45 77
313 61 78.39
313 75.2 81.83
313 100.5 74.21
313 125.2 67.9
313 151.5 62.58
313 176.3 59.84
344 7.7 72.95
344 17.3 74.46
344 24.7 73.39
344 36.2 73.93
344 46.7 73.99
344 61.3 74.49
344 75.7 75.95
344 101.2 62.08
344 126.6 62.01
344 152 57.99
344 176.9 52.28
38 4.7 73.9
38 15 73.72
38 24.9 76.25
38 34.6 74.02
38 44.7 74.72
38 58.8 73.69
38 75.2 73.15
38 100 70.53
38 125.2 63.34
38 150.1 58.54
38 174.2 56.96
80 4.4 74.47
80 14.8 70.54
80 25.1 69.57
80 35.7 71.87
80 45.1 69.9
80 60.2 70.32
80 74.6 66.54
80 100.3 64.35
80 124.8 57.03
80 149 60.22
80 174.2 53.38
124 7.5 77.73
125 7.3 78.97
125 15.3 79.73
125 24.5 73.61
125 35.4 76.02
125 44.9 80.78
125 60.3 73.98
125 74.5 72.82
125 100.2 75.2
125 125.1 64.44
125 149.9 61.79
125 174.1 57.17
189 6.3 77.07
189 14.6 78.15
189 24.9 76.09
189 35 76.06
189 45 78.04
189 59.9 76.02
189 74.8 74.79
189 100.5 71.35
189 125.2 69.11
189 149.7 63.51
189 175.6 60.36
189 199.7 60.66
216 6.7 79.39
216 16.1 77.73
216 24.8 80.18
216 35.6 78.69
216 45.2 79.39
216 60.2 78.89
216 75.4 78.93
216 100.4 77.34
216 124.4 68.87
216 150 63.86
216 175.8 58.48
216 199.8 53.33
246 6.9 79.63
246 16.4 80.4
246 25.8 80.49
246 36 79.92
246 45.7 81.39
246 60.9 77.86
246 75.8 77.97
246 100.4 69.41
246 126.1 65.49
246 150.6 60.32
246 175.4 59.5
276 5 78.79
276 14.4 79.13
276 23.7 79.88
276 34.1 80.38
276 44.9 78.84
276 60.8 81.09
276 76.6 78.83
276 99.5 75.56
276 124.7 69.88
276 149.8 65.18
276 176.7 60.02
276 197.5 58.63
336 5.8 73.04
336 14.5 77.21
336 24.8 76.75
336 35.4 76.62
336 44.5 76.97
336 60.4 76.13
336 74.7 79.46
336 100.2 71.46
336 124.9 62.78
336 150.9 60.33
336 175.8 54.92
355 7.5 74.31
355 15.2 72.89
355 25.4 74.1
355 34.7 73.6
355 46.5 72.23
355 61.3 71.99
355 76.1 72.45
355 98.9 72.75
355 125.9 64.95
355 149.4 62.65
355 174.7 59.47
30 6.9 69.79
30 13.5 69.76
30 25.8 68.88
30 33.8 74.67
30 44.8 69.59
30 58.8 68.1
30 75.8 70.52
30 100.2 71.86
30 124 61.78
30 148.6 55.87
30 173.9 54.52
30 199.9 51.9
55 7.7 69.96
55 15.9 71.11
55 26.5 70.95
55 35.5 72.06
55 44.4 76.44
55 60.4 76.38
55 74.9 72.88
55 100.1 71.83
55 124.1 62.9
55 150.3 56.48
55 175.7 55.2
149 8.1 74.64
149 18.1 78.6
149 25.9 75.5
149 36.5 80.57
149 45.6 78.58
149 60.9 82.32
149 75.9 79.6
149 100.3 78.35
149 126.2 78.16
149 150.4 70.55
149 175.3 65.94
178 7.8 80.99
178 15.4 77.45
178 25.1 76.79
178 35.2 77
178 45.3 76.52
178 60.1 77.23
178 73.6 76.69
178 99.5 71.8
178 124.3 67.38
178 150.6 58.72
178 175.1 56.15
208 198.3 57.53
209 6.1 78.59
209 24.4 78.23
209 34.5 76.28
209 45 78.53
209 59.6 76.11
209 74.4 74.93
209 99.7 71.86
209 125.5 72.5
209 149.6 67.34
209 173.9 62.11
230 7.7 77.92
230 18.1 73.61
230 24.6 76.77
230 35.8 77.63
230 45.9 77.18
230 59.7 76.28
230 76.2 76.6
230 100.8 70.12
230 124.8 65.46
230 149.7 64.9
230 174.1 59.93
285 6.3 76.51
285 16 78.34
285 25.1 77.73
285 34.9 79.82
285 45.8 77.2
285 60.5 76.66
285 75.4 72.28
285 100.1 67.45
285 124.8 61.27
285 149.5 59.63
285 175 54.15
336 7.1 77.86
336 13.9 79.13
336 23.3 80.56
336 35.1 80.03
336 43.7 76.03
336 58.6 78.73
336 74.5 73.01
336 98.8 64.77
336 123.6 61.78
336 150.6 59.23
336 175.1 56.12
336 200 53.52
21 7.4 76.81
21 15.2 75.83
21 24.1 76.71
21 35 76.46
21 44.8 75.4
21 60.2 75.05
21 74 75.63
21 100.4 74.74
21 124.4 72.36
21 149.6 67.17
21 175.1 60.3
49 8.9 65.98
49 18.1 68.82
49 24.4 72.45
49 35.4 70.1
49 44.4 68.5
49 59.2 70.4
49 75.6 68.41
49 98.9 68.21
49 125.7 55.48
49 149.3 55.24
49 174.4 55.79
49 199.5 53.25
119 5.3 71.68
119 14.6 74.85
119 24.8 75.3
119 34.9 72.61
119 45.4 73.68
119 59.3 72.69
119 74.4 74.46
119 99.9 69.22
119 125.6 67.54
119 149.9 67.53
119 176 64.12
119 199.5 62.08
148 4.7 79.35
148 15.4 75.24
148 25.2 77.22
148 35.5 74.56
148 45.5 71.33
148 60 84.65
148 75.7 73.88
148 100.3 69.96
148 124.6 71.29
148 149.8 64.82
148 175.4 60.38
185 5.4 74.67
185 15.3 74.42
185 24.3 74.44
185 35.1 74.92
185 44.3 74.65
185 60.2 73.07
185 74.5 70.73
185 100.3 65.78
185 124.6 65.67
185 150.3 61.74
185 174.8 59.42
207 5.7 75.74
207 15.2 75.32
207 25.3 76.97
207 35.3 76.55
207 45.2 76.65
207 59.9 76.35
207 74.8 74.09
207 100.2 71.98
207 124.7 68.7
207 149.6 66.33
207 174.6 62.64
231 6 81.23
231 14.4 78.42
231 24.3 80.9
231 35.6 76.25
231 45.6 71.77
231 58.7 73.92
231 73.7 75.64
231 98.9 73.06
231 124.7 69.91
231 153.1 64.98
231 174.6 64.62
268 5.3 77.64
268 15 77.88
268 24.9 77.6
268 35.6 77.02
268 44.5 77.63
268 61.6 75.39
268 69.1 73.75
268 99.7 70.55
268 123.9 66.72
268 149.4 59.56
268 175.2 58.44
308 4.8 76.13
308 17 75.38
308 23.5 74.9
308 34.2 77.79
308 45.4 73.09
308 58.7 78.69
308 75.3 75.33
308 100 71.86
308 125.3 61.84
308 150.1 60.22
308 174.9 58.26
344 4.8 76.79
344 14.2 75.08
344 24.7 76.35
344 34.9 76.18
344 59.3 75.17
344 75 73.09
344 100.5 68.99
344 125.8 65.44
344 149.9 61.31
344 174.5 58
344 200 56.02
69 4.7 73.98
69 15.6 71.87
69 25.5 73.99
69 36.1 75.47
69 45.6 74.56
69 59.9 75.14
69 75.3 74.12
69 101.3 69.68
69 125.4 62.63
69 150.8 59.76
69 172.8 55.51
97 4.8 74.72
97 15.2 71.89
97 25.6 72.95
97 35.3 73.53
97 45.4 72.83
97 59.7 74
97 76.6 75.9
97 99.8 70.35
97 124.6 65.94
97 151.1 60.72
97 175.6 59.69
139 4.2 76.07
139 14.8 74.72
139 24.7 78.34
139 35.3 75.25
139 45.4 76.81
139 60.4 73.88
139 74.5 76
139 100 65.05
139 125.5 71.74
139 150.4 65.44
139 175.3 64.21
160 5.6 78.01
160 15.3 77.84
160 25 74.03
160 36 75.16
160 45.7 74.01
160 61.5 72.32
160 74.1 57.98
160 98.2 65.53
160 124.8 60.43
160 146.6 61.12
160 175.8 57.9
190 5.7 72.75
190 15 77.02
190 25 74.36
190 35.1 71.76
190 44.3 70.02
190 59.5 68.33
190 74.4 70.61
190 99.3 67.38
190 125.1 59.08
190 149.1 58.64
190 174.9 55.41
220 5.7 70.43
220 15.2 71.79
220 25.3 75.37
220 35.6 73.46
220 45.2 56.43
220 60.6 64.4
220 75.5 70.74
220 100.2 69.73
220 125.2 61.49
220 150.3 62.98
220 175.1 59.61
247 5.4 75.69
247 14.9 72.7
247 25.6 74.74
247 35.2 78.26
247 45.5 71.84
247 60.2 77.55
247 76 76.81
247 100.5 60.95
247 125.5 66.34
247 150.2 64.12
247 175.4 62.73
277 7.5 73.14
277 16.1 76.38
277 26 79.49
277 35 80.44
277 45.9 79
277 61.1 73.65
277 75.3 73.66
277 100.6 67.41
277 125.5 67.24
277 150.4 63.48
277 174.9 61.86
277 199.8 59.9
325 5.2 80.46
325 24.8 75.97
325 35.5 76.88
325 44.9 79.07
325 59.3 76.25
325 74.8 79.58
325 100.4 70.6
325 124.7 66.36
325 150 61.36
325 174.7 59.15
