"DOY" "Depth" "EUK"
271 54.7 0.005
271 64.5 0.006
271 74.6 0.011
271 94.1 0.013
271 99.3 0.009
271 110.7 0.012
271 124.9 0.004
271 149.7 0.001
271 174.3 0.001
300 5 0.004
300 25 0.006
300 45 0.003
300 75 0.008
300 100 0.015
300 125 0.006
300 150 0.001
300 175 0.001
321 5 0.007
321 25 0.006
321 45 0.008
321 75 0.01
321 100 0.027
321 125 0.003
321 150 0.001
17 5 0.009
17 25 0.01
17 45 0.009
17 75 0.01
17 100 0.011
17 125 0.001
17 150 0.001
87 5 0.014
87 25 0.004
87 45 0.005
87 75 0.007
87 100 0.002
87 125 0.002
115 5 0.01
115 25 0.009
115 45 0.008
115 75 0.008
115 100 0.003
115 125 0.012
143 5 0.012
143 25 0.013
143 45 0.015
143 75 0.014
143 100 0.008
143 125 0.005
143 150 0.003
178 5 0.012
178 25 0.01
178 45 0.008
178 75 0.013
178 100 0.008
178 125 0.001
178 150 0.008
209 5 0.014
209 25 0.012
209 45 0.015
209 75 0.014
209 100 0.008
209 125 0.003
209 150 0.003
234 5 0.002
234 25 0.004
234 45 0.002
234 75 0.002
234 100 0.01
234 125 0.018
234 150 0.004
234 175 0.002
276 5 0.001
276 25 0.003
276 45 0.003
276 75 0.002
276 125 0.001
276 150 0.001
304 5 0.005
304 25 0.005
304 45 0.004
304 75 0.008
304 100 0.013
304 125 0.01
304 150 0.003
304 175 0.001
346 5 0.013
346 25 0.011
346 45 0.014
346 75 0.008
346 100 0.013
346 125 0.008
346 150 0.003
8 5 0.018
8 25 0.017
8 45 0.026
8 75 0.041
8 100 0.019
8 125 0.01
8 150 0.006
8 175 0.002
49 5 0.008
49 25 0.008
49 45 0.008
49 75 0.007
49 100 0.018
49 125 0.014
49 175 0.004
71 5 0.038
71 25 0.039
71 45 0.037
71 75 0.012
71 100 0.031
71 125 0.005
71 150 0.003
99 5 0.012
99 25 0.015
99 45 0.026
99 75 0.018
99 100 0.014
99 125 0.002
99 175 0.001
127 5 0.009
127 25 0.009
127 45 0.006
127 75 0.006
127 100 0.012
127 125 0.013
127 150 0.003
127 175 0.001
155 5 0.004
155 25 0.009
155 45 0.011
155 75 0.012
155 100 0.012
155 125 0.02
155 150 0.006
190 5 0.008
190 25 0.006
190 45 0.003
190 75 0.008
190 100 0.009
190 125 0.01
190 150 0.003
214 5 0.011
214 25 0.001
214 45 0.01
214 75 0.011
214 100 0.012
214 125 0.013
214 150 0.008
214 175 0.003
268 5 0.007
268 25 0.007
268 45 0.008
268 75 0.01
268 100 0.008
268 125 0.016
268 150 0.007
11 5 0.008
11 25 0.012
11 45 0.011
11 75 0.005
11 100 0.011
11 125 0.007
11 150 0.001
11 175 0.002
50 5 0.011
50 25 0.011
50 45 0.009
50 75 0.011
50 100 0.024
50 125 0.006
77 5 0.005
77 25 0.009
77 45 0.009
77 75 0.012
77 100 0.024
77 125 0.018
77 150 0.012
77 175 0.008
105 5 0.011
105 25 0.005
105 45 0.006
105 75 0.008
105 100 0.023
105 125 0.013
105 150 0.004
133 5 0.006
133 25 0.007
133 45 0.005
133 75 0.004
133 100 0.001
133 125 0.007
133 150 0.003
133 175 0.002
168 5 0.007
168 25 0.007
168 45 0.009
168 75 0.005
168 100 0.004
168 125 0.009
168 150 0.002
168 175 0.001
196 5 0.012
196 25 0.012
196 45 0.012
196 75 0.006
196 100 0.006
196 125 0.007
196 150 0.002
196 175 0.001
222 5 0.004
222 25 0.004
222 45 0.004
222 75 0.004
222 100 0.014
222 125 0.009
222 150 0.003
222 175 0.005
271 5 0.003
271 25 0.004
271 45 0.004
271 75 0.004
271 100 0.004
271 125 0.015
271 150 0.002
271 175 0.002
292 5.7 0.026
292 25.1 0.011
292 45.5 0.016
292 75.4 0.018
292 100.3 0.04
292 125.4 0.023
292 150 0.024
292 175.3 0.008
292 5 0.002
292 25 0.003
292 45 0.003
292 75 0.002
292 100 0.006
292 125 0.01
292 150 0.006
292 175 0.003
315 5 0.007
315 24.6 0.021
315 43.9 0.009
315 75.2 0.006
315 100.2 0.035
315 125.1 0.008
315 149.7 0.005
315 5 0.001
315 25 0.001
315 45 0.002
315 75 0.003
315 100 0.016
315 125 0.004
315 150 0.001
343 5 0.004
343 25 0.005
343 45 0.006
343 75 0.003
343 100 0.008
343 125 0.008
13 4.4 0.013
13 25.7 0.016
13 46.2 0.016
13 75.9 0.019
13 100.6 0.04
13 125.4 0.016
13 150.2 0.002
13 175.6 0.003
13 5 0.014
13 25 0.009
13 45 0.013
13 75 0.013
13 100 0.009
13 125 0.008
13 150 0.006
49 5 0.013
49 25 0.011
49 45 0.009
49 75 0.005
49 100 0.003
76 5 0.01
76 25 0.014
76 45 0.016
76 75 0.014
76 100 0.004
76 125 0.001
76 150 0.003
76 175 0.002
104 5 0.008
104 25 0.007
104 45 0.009
104 75 0.006
104 100 0.008
104 125 0.003
104 150 0.01
130 5 0.012
130 25 0.012
130 45 0.01
130 75 0.011
130 100 0.013
130 125 0.012
195 5 0.012
195 25 0.007
195 45 0.013
195 75 0.009
195 100 0.005
195 125 0.002
195 150 0.002
195 175 0.002
226 5 0.008
226 25 0.007
226 45 0.009
226 75 0.01
226 100 0.019
226 125 0.005
226 150 0.001
288 5 0.004
288 25 0.006
288 45 0.006
288 75 0.002
288 100 0.003
288 125 0.001
288 150 0.002
313 5 0.007
313 25 0.006
313 45 0.006
313 75 0.006
313 100 0.006
313 125 0.003
313 150 0.001
349 5 0.006
349 25 0.007
