"DOY" "Depth" "EUK"
69 45.6 0.009
69 75.3 0.012
69 101.3 0.015
69 125.4 0.011
69 150.8 0.003
69 172.8 0.001
96 4.7 0.006
96 25.3 0.007
96 44.1 0.007
96 77.4 0.008
96 98.5 0.008
96 123.3 0.011
96 150 0.003
96 174.2 0.001
138 5 0.011
138 23.1 0.011
138 44.4 0.012
138 74.4 0.009
138 100.4 0.023
138 125.1 0.006
138 150.2 0.007
138 176.4 0.003
159 5.5 0.007
159 25.1 0.006
159 44.6 0.01
159 75.4 0.008
159 100.1 0.007
159 127.3 0.017
159 147.8 0.014
159 180 0.004
189 5.8 0.004
189 25.7 0.005
189 46.2 0.006
189 75.4 0.008
189 100.5 0.005
189 125.7 0.011
189 150.6 0.009
189 175 0.003
219 6 0.005
219 24.9 0.007
219 45.1 0.007
219 75.4 0.004
219 100.2 0.005
219 125.1 0.008
219 151.2 0.011
219 176.2 0.005
246 6.6 0.005
246 25 0.005
246 45 0.006
246 75.3 0.01
246 100.3 0.015
246 124.5 0.011
246 149.9 0.006
246 176.9 0.001
276 5.7 0.007
276 24.5 0.01
276 45.5 0.011
276 76 0.008
276 100.8 0.015
276 126 0.008
276 150.2 0.003
276 175.3 0.001
325 5.7 0.007
325 25.2 0.007
325 45 0.007
325 75.2 0.005
325 100.3 0.013
325 125.6 0.014
325 150.2 0.003
325 175.3 0.002
9 6.7 0.009
9 26.6 0.011
9 46.2 0.01
9 76.6 0.01
9 101.6 0.015
9 125.5 0.009
9 149.6 0.002
9 175.1 0.001
29 6.7 0.012
29 24.9 0.011
29 45.8 0.011
29 74.9 0.012
29 100 0.013
29 124.5 0.011
29 150.4 0.003
59 6.8 0.008
59 24.8 0.01
59 46.3 0.009
59 100.7 0.018
59 125.7 0.022
59 150.4 0.004
59 175.1 0.001
101 4.6 0.008
101 25.4 0.01
101 45.5 0.008
101 75 0.008
101 102.5 0.007
101 125.1 0.008
101 150.3 0.004
101 175.9 0.002
129 5.9 0.006
129 24.1 0.006
129 44 0.008
129 74.2 0.006
129 99.4 0.003
129 123.9 0.003
129 149.6 0.006
129 175.5 0.002
200 5.7 0.011
200 24.5 0.011
200 44.6 0.009
200 74.7 0.011
200 99.8 0.008
200 124.1 0.014
200 149.5 0.014
200 174.7 0.003
243 5.6 0.008
243 25.7 0.006
243 45.6 0.005
243 74.8 0.006
243 99.7 0.016
243 124.9 0.007
243 149.6 0.003
243 173.7 0.001
270 5.8 0.006
270 25.7 0.006
270 45.3 0.008
270 75.9 0.008
270 100.9 0.008
270 125.5 0.016
270 150.4 0.006
270 175.9 0.002
308 5.7 0.009
308 26 0.01
308 47.1 0.01
308 78.5 0.029
308 99.9 0.025
308 126.7 0.007
308 152.8 0.004
308 181 0.001
333 5.6 0.019
333 24.8 0.017
333 45.5 0.017
333 74.2 0.018
333 99.6 0.016
333 124.1 0.01
333 149.4 0.006
333 175.6 0.001
354 5.6 0.014
354 24.9 0.017
354 44.8 0.014
354 73.8 0.011
354 99.4 0.009
354 124 0.004
354 149.8 0.003
18 5.6 0.009
18 25.8 0.011
18 44.4 0.009
18 75.7 0.01
18 100.2 0.007
18 127.5 0.011
18 151.8 0.002
18 175.2 0.001
122 5.7 0.011
122 23.9 0.01
122 46.1 0.01
122 78.2 0.008
122 101.1 0.011
122 125.5 0.012
122 148.8 0.008
122 172.8 0.005
151 4.5 0.008
151 24.4 0.009
151 45.6 0.012
151 73.8 0.008
151 100.9 0.009
151 123.9 0.01
151 148.9 0.021
151 177.2 0.004
178 5 0.012
178 24.8 0.012
178 45.4 0.011
178 75.1 0.01
178 99.5 0.02
178 125.2 0.013
178 149.6 0.007
178 174.7 0.005
213 6.7 0.007
213 24.4 0.007
213 45.4 0.007
213 75.7 0.009
213 100.3 0.008
213 124.6 0.012
213 150.3 0.005
213 175.8 0.001
230 5.2 0.014
230 24.7 0.01
230 45.4 0.011
230 75.3 0.009
230 100.3 0.009
230 126.3 0.015
230 150.4 0.005
230 175.7 0.003
258 5.5 0.01
258 24.6 0.011
258 45.5 0.009
258 75.3 0.008
258 100.5 0.012
258 124.5 0.012
258 149.9 0.008
258 174.9 0.004
281 5.6 0.005
281 25.2 0.005
281 45.3 0.007
281 75.4 0.008
281 100.2 0.008
281 125.5 0.01
281 150.1 0.005
281 174.6 0.001
338 5.9 0.006
338 25.5 0.006
338 44.3 0.008
338 75.4 0.006
338 100.1 0.022
338 124.8 0.009
338 150.9 0.001
338 176.2 0.001
43 7.9 0.02
43 25.4 0.017
43 45.6 0.017
43 75.1 0.011
43 100 0.012
43 124.3 0.023
43 150 0.01
43 175.2 0.002
65 6.4 0.02
65 25.2 0.02
65 45.2 0.017
65 76.4 0.012
65 99.5 0.011
65 124.9 0.014
65 176.5 0.005
95 5.3 0.017
95 25.4 0.013
95 45.9 0.014
95 75.7 0.014
95 100 0.016
95 125.2 0.016
95 149 0.009
95 174.2 0.003
137 7.3 0.014
137 25 0.017
137 45.3 0.017
137 75.5 0.012
137 100.4 0.01
137 124.8 0.016
137 149.8 0.006
137 175.6 0.005
176 8 0.007
176 25.9 0.01
176 45.1 0.014
176 76.1 0.009
176 101.8 0.03
176 125.7 0.008
176 149.9 0.005
176 175.5 0.002
254 6.8 0.005
254 25.4 0.006
254 45.2 0.005
254 75.6 0.006
254 101.3 0.014
254 125.8 0.013
254 151.2 0.002
300 7.7 0.012
300 25.4 0.013
300 45.7 0.012
300 75.5 0.014
300 100.2 0.025
300 124.8 0.011
300 151 0.003
300 175.6 0.002
330 7.6 0.01
330 25.2 0.008
330 45.7 0.011
330 74.3 0.011
330 100.7 0.014
330 126.3 0.013
330 150.6 0.004
330 175.6 0.001
354 7.5 0.009
354 25.2 0.008
354 45.6 0.008
354 74.8 0.01
354 100.5 0.027
354 125.6 0.008
354 149.5 0.001
15 6.3 0.01
15 23.8 0.011
15 45.9 0.011
15 75.9 0.011
15 101.1 0.01
15 126.2 0.03
15 150.8 0.004
45 7.8 0.013
45 26.2 0.013
45 44.2 0.014
45 74.9 0.013
45 100.4 0.021
45 125.4 0.01
45 151.1 0.005
45 174.7 0.001
64 7 0.015
64 24.8 0.016
64 46.4 0.018
64 75.5 0.015
64 100.5 0.025
64 124.2 0.008
64 150.7 0.003
64 174.5 0.001
100 4.5 0.008
100 23.9 0.008
100 45 0.009
100 72.8 0.007
100 99.2 0.007
100 124.8 0.011
100 149.1 0.007
100 175 0.011
152 5.4 0.009
152 24.7 0.009
152 44.8 0.007
152 75.4 0.006
152 100.2 0.032
152 125.6 0.016
152 149.4 0.005
152 174.4 0.001
181 5.1 0.01
181 24.9 0.011
181 45.2 0.013
181 75.7 0.014
181 100 0.011
181 124.4 0.022
181 150.1 0.006
181 175 0.002
257 7.7 0.008
257 25.6 0.008
257 45.1 0.007
257 75.3 0.01
257 100.2 0.032
257 125.1 0.011
257 150.1 0.005
257 174.5 0.001
286 8 0.007
286 24.9 0.006
286 45.8 0.008
286 74.1 0.011
286 100.3 0.016
286 124.6 0.007
286 150.8 0.002
286 175.5 0.001
325 6.9 0.012
325 25.4 0.012
325 44.7 0.012
325 74.4 0.011
325 100.4 0.023
325 125.4 0.009
325 150.3 0.004
325 175.9 0.002
350 7.4 0.006
350 25.1 0.007
350 44.5 0.007
350 75.3 0.006
350 100.6 0.01
350 125.5 0.005
350 149.2 0.001
350 175.5 0.001
