"DOY" "Depth" "SYN"
71 25 0.026
71 45 0.029
71 75 0.018
99 5 0.022
99 25 0.03
99 45 0.029
99 75 0.007
127 5 0.026
127 25 0.013
127 45 0.01
127 75 0.016
127 100 0.005
127 150 0.001
155 5 0.006
155 25 0.006
155 45 0.014
155 75 0.017
155 100 0.014
155 125 0.002
155 175 0.004
190 5 0.011
190 25 0.009
190 45 0.011
190 75 0.018
190 100 0.013
214 5 0.019
214 25 0.017
214 45 0.021
214 75 0.033
214 100 0.026
268 5 0.01
268 25 0.009
268 45 0.012
268 75 0.024
268 100 0.024
11 5 0.034
11 25 0.088
11 45 0.098
11 75 0.008
11 100 0.011
11 125 0.004
11 150 0.002
11 175 0.006
50 5 0.034
50 25 0.035
50 45 0.039
50 75 0.052
50 100 0.004
77 5 0.028
77 25 0.025
77 45 0.02
77 75 0.022
77 100 0.004
77 125 0.003
77 150 0.001
77 175 0.005
105 5 0.016
105 25 0.017
105 45 0.024
105 75 0.028
105 100 0.009
105 125 0.009
105 150 0.006
133 5 0.012
133 25 0.013
133 45 0.016
133 75 0.018
133 100 0.013
133 125 0.003
133 175 0.004
168 5 0.013
168 25 0.014
168 45 0.015
168 75 0.015
168 100 0.011
168 125 0.004
168 150 0.001
168 175 0.001
196 5 0.019
196 25 0.02
196 45 0.023
196 75 0.025
196 100 0.021
196 125 0.003
196 150 0.003
196 175 0.004
222 5 0.009
222 25 0.015
222 45 0.015
222 75 0.015
222 125 0.001
222 175 0.001
271 5 0.019
271 25 0.016
271 45 0.019
271 75 0.054
271 100 0.024
271 125 0.003
271 150 0.002
271 175 0.005
292 5.7 0.011
292 25.1 0.01
292 75.4 0.024
292 100.3 0.043
292 125.4 0.004
292 150 0.007
292 175.3 0.002
292 5 0.01
292 25 0.011
292 45 0.013
292 75 0.025
292 100 0.019
292 125 0.001
292 150 0.01
292 175 0.003
315 5 0.013
315 24.6 0.011
315 43.9 0.01
315 75.2 0.008
315 100.2 0.007
315 125.1 0.001
315 149.7 0.001
315 175.4 0.002
315 5 0.009
315 25 0.008
315 45 0.01
315 75 0.016
315 100 0.002
315 125 0.004
315 150 0.018
343 5 0.02
343 25 0.023
343 45 0.025
343 75 0.013
343 100 0.015
343 125 0.007
13 4.4 0.026
13 25.7 0.031
13 46.2 0.034
13 75.9 0.032
13 100.6 0.033
13 125.4 0.001
13 150.2 0.001
13 5 0.024
13 25 0.024
13 45 0.023
13 75 0.024
13 100 0.009
13 125 0.005
13 150 0.007
49 5 0.059
49 25 0.072
49 45 0.059
49 75 0.039
49 100 0.002
49 125 0.001
49 175 0.007
76 5 0.02
76 25 0.026
76 45 0.027
76 75 0.053
76 100 0.002
76 125 0.001
76 150 0.009
76 175 0.003
104 5 0.027
104 25 0.026
104 45 0.027
104 75 0.022
104 100 0.025
104 125 0.016
104 150 0.001
130 5 0.023
130 25 0.022
130 45 0.025
130 75 0.027
130 100 0.021
130 125 0.03
195 5 0.012
195 25 0.014
195 45 0.01
195 75 0.027
195 100 0.012
195 125 0.003
195 150 0.002
195 175 0.002
226 5 0.001
226 45 0.002
226 75 0.01
226 100 0.024
226 125 0.024
226 150 0.003
288 5 0.008
288 25 0.009
288 45 0.008
288 75 0.013
288 100 0.002
288 150 0.003
313 5 0.012
313 25 0.015
313 45 0.011
313 75 0.018
313 100 0.014
349 5 0.048
349 25 0.027
349 45 0.038
349 75 0.033
349 100 0.001
349 125 0.005
349 150 0.002
349 175 0.008
34 5 0.033
34 25 0.045
34 45 0.044
34 75 0.046
34 100 0.027
34 150 0.005
61 5 0.015
61 25 0.014
61 45 0.02
61 75 0.02
61 100 0.014
61 125 0.001
61 150 0.001
61 175 0.001
89 5 0.001
89 25 0.001
89 100 0.011
89 125 0.002
89 150 0.004
117 5 0.03
117 25 0.049
117 45 0.038
117 75 0.019
117 100 0.003
117 150 0.003
146 5.2 0.003
146 24.7 0.003
146 45 0.008
146 74.5 0.01
146 99.1 0.017
146 125.1 0.013
173 5 0.007
173 24.6 0.012
173 45.4 0.012
173 75.6 0.012
173 99.7 0.006
173 25 0.01
173 45 0.013
208 4.6 0.017
208 24.8 0.017
208 44.3 0.014
208 74.2 0.015
208 100 0.007
208 25 0.013
208 45 0.014
236 4.9 0.015
236 25 0.014
236 44.9 0.014
236 74.1 0.013
236 98.8 0.001
236 25 0.013
236 45 0.015
292 4.6 0.004
292 4.6 0.006
292 4.7 0.005
292 24.9 0.005
292 24.9 0.004
292 24.9 0.005
292 45 0.003
292 45 0.006
292 45 0.008
292 74.3 0.014
292 74.2 0.017
292 74.1 0.013
292 98.9 0.002
292 98.9 0.001
335 4.8 0.01
335 4.7 0.011
335 4.7 0.013
335 25.2 0.012
335 25.1 0.012
335 25.1 0.013
335 45 0.019
335 45 0.018
335 44.9 0.01
335 74.3 0.013
335 74.2 0.004
335 74.4 0.012
335 98.8 0.001
355 5.2 0.002
355 5.2 0.002
355 5 0.002
355 24.4 0.003
355 24.3 0.003
355 43.1 0.001
355 73.4 0.007
355 73.6 0.007
355 73.7 0.009
355 101.4 0.003
355 101 0.003
355 100.4 0.002
17 3.8 0.006
17 23.5 0.006
17 44 0.009
17 73.3 0.013
17 99.7 0.009
17 123.6 0.001
17 148 0.001
17 174.8 0.001
81 3.9 0.011
81 23.8 0.018
81 44 0.025
81 75.7 0.016
81 98.9 0.024
81 123.7 0.018
81 148.4 0.007
81 173.7 0.003
108 3.9 0.015
108 23.6 0.011
108 43.3 0.014
108 73.8 0.012
108 98.7 0.017
108 123.4 0.005
108 173 0.003
137 4.8 0.014
137 24.7 0.022
137 44.8 0.017
137 74.5 0.021
137 98.8 0.011
137 124.1 0.004
137 150.3 0.002
137 176.9 0.002
165 4 0.011
165 23.5 0.011
165 44.1 0.014
165 73.4 0.015
165 99.3 0.01
192 4.3 0.007
192 23.7 0.014
192 44.9 0.019
192 73.8 0.014
192 100.3 0.005
220 4.7 0.008
220 24.9 0.011
220 44.7 0.011
220 76 0.024
220 99.1 0.001
275 4.8 0.009
275 25.8 0.009
275 45.2 0.009
275 74.1 0.022
275 100.9 0.003
296 4.8 0.017
296 24.6 0.016
296 45.2 0.017
296 75.3 0.013
296 100.3 0.001
321 4.2 0.02
321 24.4 0.02
321 44.2 0.037
321 74.5 0.03
321 99.4 0.001
321 148.5 0.001
321 174 0.001
349 4.2 0.027
349 24.1 0.026
349 43.6 0.027
349 57.8 0.029
349 75.5 0.021
349 84.1 0.016
349 98.1 0.002
349 114.6 0.001
349 174.3 0.001
16 4.4 0.059
16 23.6 0.061
16 44.5 0.057
16 74.1 0.059
16 98.8 0.032
16 124.4 0.001
52 4 0.018
52 24.3 0.017
52 44.7 0.016
52 74 0.019
52 177.9 0.001
72 4.1 0.028
72 24.2 0.037
72 44 0.042
72 74.5 0.038
72 98.1 0.038
72 123.7 0.014
72 150.5 0.001
72 174.4 0.001
141 4.1 0.008
141 24 0.008
141 43.5 0.01
141 73.6 0.014
141 99 0.012
141 124.1 0.002
181 4 0.005
181 24.2 0.01
181 44.3 0.018
181 74.6 0.024
181 100.3 0.004
240 4.3 0.012
240 25.1 0.014
240 45 0.014
240 75.7 0.023
240 100.7 0.017
240 123.9 0.004
308 4.7 0.014
308 25 0.013
308 45.1 0.015
308 45.2 0.013
308 75.4 0.021
308 99.5 0.01
308 149.5 0.001
329 4.9 0.016
329 25.3 0.018
329 44.5 0.016
329 74.9 0.013
329 100.7 0.003
