"DOY" "Depth" "C2N"
110 143.2 5.74712643678161
110 152.8 5.4248366013072
110 177.2 5.75757575757575
139 8.2 6.16822429906543
139 28 6.24324324324325
139 48.8 6.80597014925371
139 79.6 6.35514018691587
139 105.3 6.26666666666668
139 130.7 6.2874251497006
139 155.6 6.63865546218488
139 181.6 5.81632653061223
170 11.5 7.46666666666669
170 27.3 7.67515923566881
170 47.4 7.33918128654972
170 78.1 7.29641693811077
170 104 7.2573839662447
170 129.4 6.51162790697673
170 154.7 6.66666666666667
170 180.2 6.51785714285712
200 6 5.33854166666666
200 27 5.45945945945946
200 46.3 6.30372492836675
200 102.3 5.83617747440273
200 130.5 5.88235294117647
200 154.7 5.97122302158274
200 185.6 5.61224489795919
353 6.6 6.66666666666667
353 28.5 6.31147540983608
353 45.7 6.37130801687764
353 76.5 6.03375527426159
353 102 6.60194174757282
353 128.3 5.46762589928058
353 154.1 5.61224489795919
353 177.3 5.71428571428571
50 6.9 8.42105263157895
50 26.6 9.57446808510642
50 26.6 8.17679558011052
50 46.5 8.05128205128205
50 76.2 8.08510638297871
50 105.7 7.18562874251495
50 105.7 7.52873563218391
50 129.7 6.96969696969698
50 157.4 7.40259740259738
50 179.3 7.2857142857143
78 14.9 6.27240143369177
78 30.8 6.64150943396226
78 48 6.2608695652174
78 77.9 6.10655737704918
78 106.7 6.13043478260868
78 127.4 6.95652173913044
78 155.2 6.43939393939393
78 175.6 6.28571428571429
109 7.6 6.77419354838708
109 28.8 6.95804195804196
109 47.9 7.16666666666668
109 77.3 6.22641509433961
109 101.6 6.58703071672354
109 111.4 7.65734265734266
109 118.7 4.8605577689243
109 129.2 6.75105485232067
109 156 5.54621848739497
109 182.4 4.73214285714286
109 13 6.03333333333334
109 13.1 7.0220588235294
109 13.1 6.8100358422939
109 12.9 6.83018867924526
140 79 4.59854014598541
140 105.2 5.55223880597016
140 129.9 6.17834394904458
140 156.7 6.18705035971224
140 182.4 6.63865546218488
140 182.4 5.54621848739497
171 26.2 8.79245283018869
171 48.5 8.97058823529408
171 78.5 5.07726269315674
171 103.3 8.70813397129185
171 119.1 6.13970588235294
171 128.7 14.1836734693877
171 140.9 11.7142857142857
171 155.2 9.14285714285714
171 182.3 8.90109890109887
200 6.1 6.09411764705883
200 27.1 5.5925155925156
200 49.1 6.02649006622516
200 78.1 4.28256070640177
200 106.1 5.99264705882352
200 128.9 6.46341463414636
200 155.4 4.9537037037037
200 181.5 4.77011494252875
231 8.3 8.64150943396228
231 24 6.75675675675676
231 44.6 8.88111888111891
231 62.7 6.41089108910891
231 80.1 7.96178343949045
231 102.6 9.80392156862745
231 144.4 7.84172661870501
231 156 11.4285714285714
231 179.6 8.68131868131865
262 27 8.01007556675066
292 6.7 16.7547169811321
292 26.2 7.07462686567165
292 46.2 5.36885245901639
292 76.9 6.38436482084693
292 101.5 5.25597269624574
292 122 4.82608695652174
292 127.1 4.47826086956523
292 150.8 5.71428571428571
