"DOY" "Depth" "SIZE_L1"
31 4.8 0.277777777777778
31 15.1 0.315789473684211
31 24.8 0.292682926829268
31 34.6 0.378378378378378
31 45 0.261904761904762
31 64.3 0.222222222222222
31 80.1 0.258064516129032
31 100.1 0.2
31 125 0.181818181818182
33 5 0.451612903225806
33 14.7 0.324324324324324
33 30.4 0.393939393939394
33 50.5 0.363636363636364
33 60.4 0.354838709677419
33 70.3 0.32258064516129
33 85.4 0.357142857142857
33 99 0.181818181818182
33 124 0.214285714285714
39 5.5 0.382978723404255
39 15.6 0.395833333333333
39 30.9 0.404255319148936
39 50.4 0.434782608695652
39 59.6 0.348837209302326
39 70.4 0.377777777777778
39 84.4 0.34375
39 100.4 0.2
39 125.9 0.5
40 5.1 0.34375
41 5.7 0.38
41 20.2 0.291666666666667
41 34.8 0.333333333333333
41 50.1 0.275
41 60 0.285714285714286
41 80 0.375
41 94.9 0.2
41 100.9 0.25
41 125.3 0
41 5.9 0.3
313 70 0.666666666666667
313 125.4 0.388888888888889
313 149.8 0.25
313 9.8 0.625
313 34.8 0.625
313 54.2 0.529411764705882
313 65.3 0.65
313 79 0.434782608695652
313 94.8 0.52
313 109.8 0.555555555555555
311 89.8 0.375
311 49.4 0.538461538461539
311 10 0.583333333333333
311 90.9 0.647058823529412
311 125.3 0.461538461538462
311 9.6 0.444444444444444
311 29.8 0.571428571428571
311 50.4 0.545454545454545
311 65.1 0.571428571428571
311 75.8 0.434782608695652
311 91.1 0.5
311 105.7 0.478260869565217
48 100.9 0.0921052631578947
48 125.4 0.128205128205128
48 150.3 0
48 5.2 0.178082191780822
48 15.5 0.132352941176471
48 30.4 0.133333333333333
48 40.2 0.121621621621622
48 54.7 0.125
48 69.7 0.09375
48 84.5 0.111111111111111
45 75.2 0.285714285714286
45 35.4 0.233333333333333
45 5.2 0.238095238095238
45 99.4 0.222222222222222
45 124.7 0.266666666666667
45 150.2 0.222222222222222
45 5.2 0.183098591549296
45 15.2 0.168539325842697
45 25.1 0.175
45 33.8 0.181818181818182
45 45.3 0.166666666666667
45 60.2 0.181818181818182
45 75.2 0.181818181818182
120 19.5 0.363636363636364
120 40.2 0.441860465116279
120 74.6 0.0833333333333333
120 100 0.181818181818182
120 124.5 0
120 4.7 0.421052631578947
120 9.5 0.380952380952381
120 24.5 0.409090909090909
120 29.6 0.387096774193548
120 34.5 0.423076923076923
120 44.9 0.295774647887324
120 54.6 0.205882352941176
118 54.8 0.153846153846154
118 29.9 0.418181818181818
118 5.1 0.5
118 20.2 0.333333333333333
118 69.1 0.230769230769231
118 84.8 0.225
118 100.9 0.107142857142857
118 125 0.1
118 5 0.41304347826087
118 9.7 0.347826086956522
118 25.3 0.30188679245283
118 29.9 0.36734693877551
118 35 0.291666666666667
118 39.8 0.3
118 55.1 0.285714285714286
208 70.1 0.388888888888889
208 45 0.266666666666667
208 6.1 0.444444444444444
208 15.3 0.4
208 36.5 0.333333333333333
208 80.7 0.434782608695652
208 100.8 0.405405405405405
208 130.4 0.357142857142857
208 150.3 0.166666666666667
208 5.9 0.6
208 20.3 0.428571428571428
208 44.6 0.454545454545455
208 55.9 0.5
208 65.4 0.5
208 70.5 0.447368421052632
208 85.4 0.39622641509434
205 19.6 0.333333333333333
205 41.4 0.444444444444444
205 85.5 0.474576271186441
205 105.6 0.451612903225806
205 124.9 0.35
205 139.9 0.25
205 6.4 0.5
205 24.6 0.571428571428571
205 47.6 0.583333333333333
205 60 0.533333333333333
205 70.1 0.533333333333333
205 77.9 0.583333333333333
205 94.1 0.45
179 26.8 0.727272727272727
179 48.1 0.625
179 76.2 0.510204081632653
179 90.5 0.421052631578947
179 107.5 0.166666666666667
179 3.8 0.444444444444444
179 11.8 0.5
179 33 0.454545454545455
179 40 0.5
179 53 0.75
179 57.2 0.555555555555555
179 66.6 0.519230769230769
182 31.1 0.583333333333333
182 50 0.470588235294118
182 84.7 0.379310344827586
182 99.9 0.2
182 120.1 0.333333333333333
182 7.1 0.5
182 17.8 0.571428571428571
182 36.2 0.571428571428571
182 43 0.5
182 55.6 0.526315789473684
182 60 0.552631578947368
182 73.8 0.447368421052632
182 84.7 0.434782608695652
182 59.5 0.516666666666667
182 6.6 0.666666666666667
