"DOY" "Depth" "DIP"
313 249.6 0.4705
31 0 0.0435
31 9.6 0.0395
31 20.1 0.037
31 29.8 0.0395
31 50 0.055
31 74.8 0.077
31 99.1 0.0875
31 124 0.087
31 148.3 0.183
31 173.8 0.2485
31 200 0.277
31 248.5 0.3615
31 0 0.0845
31 4.8 0.065
31 15.1 0.069
31 24.7 0.067
31 34.7 0.059
31 45 0.0635
31 49.9 0.0695
31 64.2 0.0775
31 69.8 0.0805
31 80.1 0.0875
31 90.4 0.088
31 100.1 0.0855
31 125 0.138
31 150.3 0.226
31 174.9 0.2635
31 200 0.3055
31 224.7 0.3325
31 249.9 0.395
33 0 0.0475
33 5 0.019
33 14.7 0.014
33 19.7 0.037
33 30.4 0.0085
33 39.3 0.002
33 50.5 0.016
33 60.4 0.0275
33 70.3 0.035
33 85.4 0.0455
33 91.2 0.0615
33 99 0.054
33 124 0.0545
33 150.9 0.0745
33 175.4 0.2115
33 200 0.245
33 226.4 0.256
33 250 0.2785
39 0 0.1195
39 5.6 0.087
39 15.6 0.0985
39 19.7 0.1005
39 30.9 0.078
39 40.7 0.0785
39 50.3 0.0855
39 59.7 0.085
39 70.4 0.0805
39 84.4 0.122
39 89.8 0.1215
39 100.4 0.2305
39 125.9 0.2405
39 149.9 0.2835
39 175.1 0.3
39 200 0.326
39 225.2 0.369
40 0 0.16
40 5.1 0.096
40 10.4 0.0895
40 19.9 0.098
40 30.3 0.098
40 39.9 0.0965
40 49.9 0.0945
40 60.5 0.0955
40 70.2 0.096
40 80.9 0.101
40 89.5 0.0935
40 100.3 0.0995
40 125.3 0.1005
40 150.3 0.114
40 175 0.25
40 200 0.296
40 224.3 0.3495
41 0 0.111
41 9.9 0.106
41 20 0.0845
41 30.1 0.078
41 49 0.0795
41 74.3 0.076
41 99 0.081
41 124.4 0.073
41 148.5 0.094
41 173.8 0.1465
41 200 0.273
41 248.3 0.3495
41 0 0.0985
41 5.7 0.0825
41 10.1 0.0645
41 20.2 0.076
41 34.8 0.0815
41 40 0.085
41 50 0.091
41 60.1 0.0875
41 70.8 0.1245
41 80 0.1805
41 94.9 0.2415
41 100.9 0.2325
41 125.3 0.285
41 150.3 0.308
41 175 0.3175
41 200 0.3285
41 225.6 0.3565
258 0 0.04
258 12 0.01
258 52 0.02
258 77 0.05
258 77 0.05
258 102 0.13
258 126 0.16
258 149 0.21
258 200 0.23
258 250 0.24
52 0 0.11
52 10 0.1
52 26 0.1
52 51 0.09
52 77 0.1
52 100 0.12
52 127 0.16
52 150 0.17
52 200 0.36
52 249 0.48
52 249 0.5
347 0 0.04
347 12 0.02
347 27 0.02
347 52 0.03
347 78 0.03
347 103 0.08
347 127 0.21
347 152 0.27
347 200 0.3
341 100 0.03
341 126 0.09
341 152 0.07
341 200 0.2
278 127 0.03
278 153 0.09
278 200 0.24
343 0 0.05
343 12 0.04
343 27 0.03
343 52 0.03
343 76 0.04
343 102 0.08
343 127 0.17
343 151 0.23
343 200 0.27
191 0 0.03
191 11 0.02
191 26 0.02
191 51 0.04
191 77 0.06
191 102 0.22
191 127 0.26
191 150 0.27
191 200 0.29
119 0 0.05
119 11 0.03
119 26 0.03
119 50 0.1
119 75 0.16
119 101 0.17
119 126 0.17
119 150 0.18
119 200 0.17
119 250 0.18
195 0 0.0535
195 10.1 0.0245
195 20.2 0.0225
195 29.8 0.023
195 49.6 0.0225
195 74.8 0.0315
195 99.3 0.041
195 123.8 0.0715
195 149.3 0.109
195 174.1 0.1275
195 200 0.1395
195 249.1 0.1535
195 0 0.046
195 7.9 0.0275
195 21 0.026
195 34.8 0.035
195 39.9 0.035
195 45.2 0.036
195 55.1 0.039
195 60.4 0.0405
195 64.8 0.0405
195 71 0.0435
195 81.2 0.0515
195 99.9 0.097
195 125 0.1235
195 150.9 0.0805
195 175.4 0.1125
195 200 0.17
195 224.5 0.1645
197 0 0.0815
197 6.3 0.025
197 10.7 0.0255
197 19.9 0.025
197 40.2 0.0265
197 59.7 0.034
197 79.5 0.043
197 99.6 0.0735
197 120.3 0.108
197 139.4 0.1205
197 159.8 0.129
197 179.7 0.137
197 200 0.14
197 248.2 0.158
71 0 0.08
71 11 0.08
71 26 0.07
71 50 0.07
71 76 0.13
71 101 0.16
71 125 0.17
71 149 0.17
71 200 0.17
71 250 0.18
119 0 0.04
119 12 0.02
119 27 0.02
119 52 0.02
119 77 0.06
119 102 0.15
119 124 0.17
119 151 0.18
119 200 0.2
104 4 0.05
104 24 0.04
104 50 0.06
104 73 0.08
104 99 0.16
104 148 0.2
104 200 0.19
104 248 0.21
15 1.25 0.063705581240356
15 5 0.057223211042583
15 10 0.0531851379200816
15 15 0.0583021705970168
15 20 0.0564874280244112
15 25 0.0588660771027207
15 30 0.0578866647556424
15 35 0.0567743601277471
15 40 0.0565897719934583
15 45 0.0561025338247418
15 50 0.0585557883605361
15 55 0.0580508671700954
15 60 0.0587696861475706
15 65 0.0542225418612361
15 70 0.0578340832144022
15 75 0.059952400624752
15 80 0.0658404305577278
15 85 0.0653066830709577
15 90 0.0664904704317451
15 95 0.0683421418070793
15 105 0.0710570709779859
15 125 0.0824788026511669
15 150 0.111226838082075
15 175 0.172589048743248
15 200 0.212031070142984
15 225 0.256377913057804
15 250 0.272661797702312
45 1.25 0.109963428229094
45 5 0.101684432476759
45 10 0.094801302999258
45 15 0.0971787367016077
45 20 0.0986522231251001
45 25 0.0980988200753927
45 30 0.100999105721712
45 35 0.105051660910249
45 40 0.105562346056104
45 45 0.10521543957293
45 50 0.109460325911641
45 55 0.106650060042739
45 60 0.105301616713405
45 65 0.105586824938655
45 70 0.1069076359272
45 75 0.10773779079318
45 80 0.107506943866611
45 85 0.105378180742264
45 90 0.106338554993272
45 95 0.106520663946867
45 105 0.109466329216957
45 125 0.139711853116751
45 150 0.151424050331116
