"DOY" "Depth" "DIP"
78 99 0.14
78 110 0.12
102 1.2 0.13
102 11.8 0.13
102 34.2 0.11
102 56.8 0.11
102 153.7 0.09
102 169.2 0.07
102 204.8 0.27
103 81.5 0.09
103 117.3 0.0915
103 128.7 0.07
103 137 0.1006
103 152.2 0.1048
103 162.4 0.11
103 178.8 0.1862
103 190.6 0.17
103 207 0.2053
103 214.8 0.11
103 231.2 0.23
103 6.3 0.09
103 16.6 0.0967
103 25.7 0.09
103 36.9 0.0801
103 45.9 0.07
103 61.8 0.07
103 61.8 0.0866
103 78 0.06
103 98.5 0.07
103 108.8 0.0859
128 33.1 0.06
128 72.3 0.06
128 149.5 0.18
128 219.2 0.46
129 6.2 0.09
129 26.9 0.08
129 36.8 0.06
129 46.4 0.05
129 62.7 0.04
129 77.4 0.05
129 87.4 0.05
129 97.9 0.06
129 106.8 0.06
129 118 0.08
129 129.9 0.09
129 137 0.11
129 154.4 0.18
129 182.3 0.25
129 209 0.32
129 228.5 0.44
130 6.5 0.1058
130 27.6 0.0784
130 47.4 0.1286
130 77.2 0.0749
130 102.1 0.0937
130 112.2 0.0823
130 135.2 0.1184
130 155.2 0.1975
130 204.4 0.3311
163 13 0.09
163 28.2 0.09
163 53.3 0.09
163 78.3 0.09
163 115.8 0.12
163 154 0.17
163 194.7 0.17
163 217.4 0.31
164 5.2 0.0879
164 26.2 0.0862
164 35.1 0.1
164 45.6 0.0759
164 60.7 0.09
164 76 0.0833
164 96.7 0.09
164 106.9 0.0856
164 117.2 0.12
164 127.1 0.15
164 137.2 0.15
164 154.2 0.1667
164 181.8 0.2402
164 207.5 0.3337
164 230.2 0.4
206 6.7 0.11
206 12.6 0.11
206 27.5 0.13
206 34.3 0.11
206 62.2 0.11
206 117.7 0.14
206 155.9 0.21
206 223.5 0.33
206 231.6 0.41
206 4.7 0.1
206 26.5 0.1
206 36.8 0.09
206 46.3 0.1
206 61.7 0.09
206 77.4 0.09
206 87.2 0.1
206 97.1 0.1
206 108.1 0.11
206 117.5 0.11
206 137.5 0.21
206 153.4 0.25
206 164.7 0.16
206 181.6 0.23
206 207.8 0.31
351 10.1 0.07
351 24.7 0.07
351 70.6 0.07
351 84.8 0.07
351 97.6 0.08
351 103.7 0.12
351 150.5 0.21
351 174.2 0.28
351 223.7 0.46
352 118.8 0.13
352 129.9 0.15
352 139.3 0.18
