"DOY" "Depth" "POP"
302 252.9 3.2
20 6.9 8.5
20 12.6 13.2
20 27.6 12.9
20 46.4 13.6
20 62.8 9.8
20 72.9 13.2
20 84.9 12.6
20 99.3 12.6
20 116.2 8.2
20 125.2 5.7
20 152.8 4.7
20 175.9 5
20 248.7 4.1
20 496.6 2.5
48 5.5 17.3
48 25.2 18.9
48 44.8 16.1
48 69.8 13.9
48 75.2 14.5
48 100.5 13.6
48 125.9 12.3
48 149.7 9.5
48 175.7 5.7
48 250.8 3.5
68 5.6 12.3
68 25.5 17
68 45.6 14.8
68 75.3 12.3
68 100.6 12
68 126.2 11
68 140.8 11
68 147.9 8.8
68 175.2 7.3
68 252.5 3.8
170 4.8 13.6
170 24.9 13.2
170 44.9 12.3
170 75.6 10.7
170 99.4 9.8
170 124.7 9.5
170 150 6
170 175.5 6
170 249.2 4.1
206 5.4 7.9
206 25.1 21.1
206 43.3 22.1
206 74.7 16.1
206 89.9 15.8
206 98.9 12.6
206 110.5 11.7
206 125.9 8.8
206 149.9 12.9
206 176.5 4.1
206 250.1 5
242 3.8 16.1
242 25.4 17
242 45 16.7
242 75 16.4
242 89.8 17.7
242 94.5 16.7
242 99.6 13.9
242 104.7 11.3
242 110 13.9
242 124.2 10.7
242 149.5 5.7
242 175 3.2
242 250.2 3.8
266 7.8 15.5
266 25.5 17
266 45.8 16.4
266 74.6 13.2
266 99.8 12.3
266 109.1 12.9
266 114.9 11.7
266 120 10.7
266 124.8 15.1
266 129.9 13.6
266 150.3 7.3
266 175.8 4.1
266 250.8 5.7
288 4.9 14.2
288 25.1 15.1
288 45 11
288 74.3 16.7
288 100.5 12.9
288 119.5 10.4
288 124.5 6.9
288 129.9 6.6
288 135 6.9
288 140.3 7.6
288 150.5 6
288 175 5.4
288 250.2 4.1
288 499.8 1.6
324 5.3 14.2
324 18.1 14.5
324 44.9 12.6
324 75.6 15.1
324 95.2 11.7
324 109.6 11
324 124.7 10.7
324 150 6.9
324 177.5 4.7
324 250.2 3.5
38 5.7 10.1
38 25 14.2
38 45.5 17
38 74.9 17.3
38 100.2 15.1
38 120.1 12.6
38 125.1 11.7
38 130.4 10.1
38 135.7 10.7
38 140.2 9.5
38 151.1 8.2
38 173.9 6.6
38 248.6 4.1
63 5.4 14.5
63 25 14.2
63 45.4 14.2
63 74.4 11
63 100.3 9.3
63 125.6 6
63 150.2 4.7
63 174.8 5
63 249.6 3.8
63 499.9 1.6
96 4.8 11.7
96 24.5 12.6
96 45.2 12.9
96 74.4 13.2
96 99.8 12
96 110.3 13.2
96 124.2 10.7
96 139.5 11
96 149.7 9.5
96 159.4 8.5
96 174.5 6.3
96 249.6 3.8
127 4.7 19.9
127 25.1 17.3
127 44.9 18.6
127 101.1 10.7
127 125.6 6.9
127 159.2 4.1
127 173.9 5.4
127 250.8 2.5
127 74.3 10.1
127 5.4 12.6
127 24.9 17
127 45.1 11.7
127 74.5 15.8
127 99.7 16.7
127 124.7 5.7
127 161.2 2.8
127 177.3 4.4
127 251.4 2.5
211 4.7 15.8
211 24.6 13.2
211 45 11
211 75.9 18.6
211 99.5 11
211 126.3 12
211 151.6 4.4
211 174.2 5.4
211 249.5 3.5
211 499.7 1.9
240 4.6 17.7
240 9.9 8.2
240 24.2 18.3
240 44.1 19.2
240 59.2 20.2
240 74.5 17.3
240 100.1 16.4
240 109.1 16.7
240 119.4 12
240 140.1 6
240 150.7 6.3
240 175.9 4.4
240 251.2 3.5
270 4.2 8.8
270 24.8 11.4
270 45.2 9.8
270 74 13.2
270 100 11
270 124.6 6.6
270 149.4 3.8
270 174.5 3.2
270 250.4 3.5
299 4.6 14.5
299 24.5 11.4
299 44.8 18.3
299 75.4 18.9
299 89.9 14.8
299 99.4 10.4
299 105.6 10.4
299 115.5 8.8
299 124.4 8.2
299 149.6 6
299 174.7 3.2
299 200.1 3.8
299 250.5 3.5
299 499.1 2.2
320 25.2 11.4
320 44.8 14.5
320 99.3 4.7
320 5.1 15.5
320 25.2 17.7
320 44.6 13.2
320 74.5 12.9
320 95.1 23.3
320 99.3 16.4
320 109.7 10.7
320 124.7 12.3
320 150.1 5.4
320 174.1 4.4
16 4.1 9.1
16 24.2 13.6
16 43.9 18
16 74.3 18
16 94 16.4
16 98.4 12
16 103.9 14.2
16 113.9 11.4
16 124.3 10.4
16 147.8 15.4
16 174.6 6
16 249.7 3.5
16 499.9 2.2
87 5.2 14.5
87 24.7 14.2
87 44.5 13.9
87 75 15.5
87 99 12.6
87 124.1 11
87 149.7 5.4
87 174.6 4.1
87 250.9 4.1
87 498.2 1.9
115 4.3 18.6
115 24.5 14.5
115 45.2 19.9
115 74.3 13.2
115 100 13.2
115 124 13.2
115 135.3 12
115 150.4 9.1
115 174.3 4.7
115 248.2 3.5
143 4.7 15.5
143 25.2 15.5
143 44.5 15.1
143 74.4 16.4
143 99.7 7.3
143 125 17
143 150.6 10.1
143 175.7 4.4
144 248.8 2.5
178 4.5 19.2
178 24.4 16.4
178 44.3 14.5
178 74.4 21.8
178 99 19.2
178 124.8 13.2
178 138.9 13.9
178 149.5 11.7
178 159.7 5.7
178 175.2 8.5
178 250.6 4.7
178 486.1 2.5
209 4.5 13.2
209 24.8 15.5
209 45.1 14.5
209 75.3 12.6
209 100 11.4
209 119.4 13.6
209 140 7.9
209 150.2 8.8
209 174.4 3.5
209 249.1 2.8
234 4.7 21.4
234 24.5 17.7
234 44.6 20.8
234 74.3 19.9
234 89.5 16.4
234 99.3 9.1
234 103.8 13.2
234 109.6 11.4
234 124.4 8.8
234 129.5 9.5
234 149.6 7.3
234 249.8 3.2
234 499.6 2.2
276 4.4 12.9
276 24.8 17.3
276 44.3 18.9
276 74.4 18.3
276 99.4 15.1
276 109 13.9
276 124.4 10.4
276 149.9 6
276 174.8 6.3
276 249 3.8
276 499.4 2.5
304 3.7 9.8
304 24.9 15.1
304 44 17.7
304 74.6 18.6
304 99.2 15.8
304 124.9 10.1
304 149.6 7.3
304 175.3 6.3
304 250.7 3.8
346 4.1 12.3
346 24.2 12.6
346 44.6 10.4
346 74.7 12.9
346 101.5 13.2
346 126.2 10.1
346 151.1 7.3
346 176 4.4
346 254.2 2.5
8 5.1 12.6
8 25.2 12.9
8 44.8 12.3
8 75.5 8.2
8 99.8 10.1
8 125.2 4.7
8 150.4 4.1
8 175.4 4.1
8 250.1 2.8
49 5.3 12.6
49 24.8 15.5
49 44.7 15.5
49 74.6 13.9
49 99.3 12.6
49 115 16.4
49 119.7 14.2
49 124.6 12.3
49 150.3 7.3
49 175.4 5.4
49 250 3.8
71 4.3 19.2
71 24.1 18.9
71 45.2 18
71 75.2 16.7
71 99.7 19.2
71 109.3 13.2
71 150 5.4
71 174.8 6.3
71 250.6 3.8
99 4.2 13.6
99 24.7 12.3
99 45.2 17
99 74.2 16.4
99 99.4 6.6
99 124.4 6.9
99 149.4 4.4
99 175.5 4.7
99 250.5 2.5
99 498.9 1.9
127 4.4 12
127 24.3 12.6
127 44.2 16.1
127 74.2 12.6
127 99.9 13.6
127 125.5 10.4
127 150.3 7.3
127 175.3 6.3
127 251.3 3.2
127 498.7 1.6
155 5 12.9
155 25.3 16.7
155 45.1 10.7
155 76 9.5
155 98.4 13.6
155 125.1 9.1
155 139 7.3
155 149.9 5
155 173.6 4.1
155 249.2 3.5
155 499.4 1.6
190 4.8 17.7
190 24 15.1
190 44.8 12.3
190 74.7 11.7
190 99.8 10.7
190 124.5 5.7
190 174.5 3.5
190 250.1 3.2
215 4.8 15.4
215 24.6 14.2
215 44.1 14.8
215 74.5 12.9
215 99.9 9.5
215 124.4 7.6
215 150.1 4.7
215 174.9 4.7
215 249.4 3.2
268 4.4 15.1
268 24.3 14.2
268 45.4 14.8
268 73.6 10.7
268 100.2 10.1
268 123.5 9.8
268 149.2 6.9
268 174.9 4.4
268 249.9 2.8
268 498.9 1.6
339 5.5 16.7
339 25.9 14.8
339 45.3 12.6
339 74.9 15.8
339 98.6 14.5
339 125.9 8.8
339 150.2 6.9
339 176 4.4
339 248.7 2.5
11 5.3 12.6
11 25.1 8.8
11 46 8.8
11 75.2 13.9
11 101.3 12.3
11 123.8 11.7
11 151.3 4.1
11 174.5 3.5
11 248.8 2.8
50 4.6 14.5
50 24.5 13.2
50 45.4 9.8
50 74.2 12.6
50 100 12.9
50 124.1 12
50 149.3 5.4
50 174.6 5
50 249.3 3.5
77 4.9 14.5
77 24.7 12.3
77 45.5 16.4
77 74.5 13.6
77 100.2 11
77 124.7 7.3
77 149.4 7.9
77 175 4.7
77 250.7 3.2
77 499.9 1.9
105 5.3 12
105 25 8.5
105 45.4 11.3
105 75 10.4
105 99.1 10.1
105 123.1 6.9
105 148.9 3.8
105 175.1 2.5
105 249.1 1.9
105 499.5 1.6
133 5.3 7.9
133 25.3 7.6
133 44.5 12.3
133 75.4 12.3
133 100.1 9.8
133 125.2 8.5
133 150.8 6
133 175.9 5.7
133 249 2.8
169 4.8 12.3
169 25 11.7
169 45.4 13.6
169 75.2 13.9
169 109.7 11.3
169 125 12
169 150.1 6
169 174.6 4.4
169 499.9 1.9
197 4.4 15.4
197 25.2 13.6
197 45.4 15.1
