"DOY" "Depth" "TIN"
175 821.3 42.07
175 1017.3 41.96
175 1218.7 41.63
175 1420.6 40.85
175 1623.2 40.51
175 1843 39.91
175 105.2 0.04
175 257.6 7.21
175 279.8 8.33
175 309.8 9.35
175 363.8 15.84
175 424.1 19.88
175 521.8 30.71
175 604.5 36.82
175 906.4 41.93
175 1004.5 41.93
209 54.3 0.02
209 98.5 0.02
209 148.5 1.34
209 206.8 4.3
209 288 10.63
209 403.5 21.77
209 483.8 30.41
209 564.3 36.16
209 635 39.19
209 765.2 41.68
209 855.6 41.99
209 1012.3 41.88
210 204.9 4.92
210 228 5.91
210 253.5 7.45
210 304.8 12.41
210 356 16.75
210 405.7 21.09
210 507.6 31.76
210 605.7 38.32
210 909.9 41.99
210 1012.5 41.79
210 5.6 0.02
210 27.4 0.02
210 46.8 0.02
210 61.7 0.02
210 77.3 0.02
210 87.8 0.02
210 98.5 0.04
210 109.3 0.04
210 119.2 0.06
210 130.5 0.12
210 156 1.99
210 181.1 3.66
235 779.3 41.13
235 911.2 41.34
235 1053.8 41.34
235 1198.1 41.24
235 1352.3 41.02
235 1499.7 40.7
235 1649.7 40.49
235 1802.7 40.28
235 1952.6 39.75
235 2100.3 39.43
235 2508.2 38.79
235 59.9 0.02
235 91.6 0.04
235 139.3 0.63
235 191.7 3.62
235 227.3 4.43
235 299.8 10.82
235 357.1 16.39
235 483.7 28.42
235 523.7 33.02
235 563.4 35.52
235 678.3 39.76
236 203.8 3.91
236 230.9 5.05
236 255.6 7.38
236 305.4 11.83
236 355.5 16.52
236 408.1 21.37
236 612.9 37.64
236 709.8 40.39
236 814.6 41.27
236 919.3 41.44
236 1022.2 41.44
236 4.8 0.01
236 25.8 0.02
236 45.8 0.02
236 61.6 0.02
236 76.1 0.02
236 97.4 0.01
236 109 0.02
236 118 0.04
236 130.5 0.13
236 157 0.91
236 181.8 2.75
265 803.6 41.8
265 903.7 42
265 1103.9 41.9
265 1404.6 41.59
265 1552.7 41.48
265 1699.4 41.06
265 1851.8 40.65
265 2002.5 40.23
265 2199.8 39.71
265 3189.4 37.32
265 3392.2 36.9
265 4397.2 36.22
265 4525.9 36.16
265 7.2 0.05
265 86.7 0.07
265 96.6 0.05
265 108.3 0.07
265 123.4 0.14
265 132.9 0.69
265 143.8 3.19
265 182.8 4.78
265 217.7 6.45
265 274.2 12.01
265 285.2 12.18
265 303.2 12.84
265 345 16.53
265 404.4 22.63
265 465.2 29.51
265 489.7 32.53
265 509.3 33.99
265 538.1 36.8
265 601.6 39.41
265 674.8 40.44
265 814.9 41.69
265 994.8 41.95
265 1023.5 41.9
266 6.3 0.07
266 26.5 0.05
266 47.4 0.03
266 63.2 0.03
266 79 0.03
266 98.6 0.04
266 111.2 0.07
266 119.9 0.38
266 131.7 0.93
266 157.5 5.29
266 182.1 5.53
266 206.7 5.95
266 231.7 5.86
266 257.6 8.16
266 282.5 11.34
266 307.4 13.57
266 330.9 15.55
266 356 17.01
266 384 20.33
266 461.3 28.58
266 511.9 33.37
266 610.8 38.68
266 709.5 40.66
266 810.7 41.38
266 910.8 41.8
266 1018.7 41.8
291 801 41.77
291 900.6 41.89
291 1099.7 41.88
291 1397.8 41.53
291 1548.1 41.29
291 1697.9 40.82
291 1849 40.57
291 2200.2 39.62
291 2401.2 39.03
291 2602.1 39.03
291 2796.7 38.31
291 2995.2 37.72
291 3198.3 37.24
291 3396.1 36.77
291 3590.9 36.52
291 3792.2 36.29
291 4204.5 35.93
291 4603.9 35.81
291 118.1 0.01
291 133.3 0.18
291 198.5 2.63
291 246.1 4.43
291 296.3 7.7
291 330.3 9.89
291 380.8 14.48
291 441.5 19.03
291 487.8 24.65
291 552.8 32.38
291 591.9 36.78
291 642.9 39.52
291 687 40.94
291 747.3 41.65
291 802.6 41.54
291 867 41.77
291 1012.4 41.88
292 4.8 0.01
292 25.5 0.04
292 45.4 0.01
292 61.7 0.01
292 76.4 0.01
292 86.7 0.01
292 96.5 0.04
292 106.4 0.16
292 116.8 0.27
292 129.7 0.42
292 153.9 0.84
292 181.7 1.6
292 207.3 2.57
292 258 5.48
293 301.2 8.7
293 330.9 9.89
293 358.2 11.15
293 383.2 13.24
293 412.9 15.91
293 460.2 22.93
293 508.3 27.5
293 612.1 37.14
293 705.8 40.35
293 814 41.41
293 903.6 41.77
293 1016.8 41.82
332 898.9 42.12
332 998.3 42
332 1098.2 41.88
332 1244.8 41.53
332 1550.8 40.93
332 1698.2 40.58
332 1850.9 40.23
332 2200.2 39.47
332 2401.9 39.06
332 2597.7 38.59
332 2796.5 38.23
332 2998.6 37.65
332 3200.2 37.29
332 3392.1 36.94
332 3595 36.58
332 3799.5 36.29
332 3993.2 36.11
332 4197.3 36
332 4390.6 36
332 4491.9 35.88
332 4694.5 35.76
332 30.6 0.04
332 56.4 0.01
332 80 0.04
332 99.3 0.06
332 121.6 0.41
332 147.2 1.35
332 226.9 4.7
332 299.8 11.72
332 342.7 15.91
332 407 21.9
332 437 23.55
332 467.1 26.38
332 505.2 30.61
332 569.9 36.83
332 598.9 38.02
332 621.4 38.84
332 689.9 40.59
332 763.1 41.83
332 825.6 42.24
332 905.9 42.24
332 1023 42.12
332 5.8 0.01
332 25.3 0.04
332 45.6 0.01
332 61.6 0.01
332 76.5 0.01
332 86.6 0.01
332 96.3 0.06
332 106.7 0.24
332 119.6 0.53
332 130.6 0.67
332 155.4 1.58
332 181.5 2.66
332 201.3 3.2
333 231.2 4.34
333 256.3 6.48
333 281.2 8.16
333 306.4 10.92
333 331.5 13.67
333 356.6 15.91
333 381.6 17.67
333 409.8 21.67
333 509.4 30.49
333 610.8 38.54
333 709 41.42
333 812.1 42.12
333 911.6 42.24
332 1019.4 42.12
4 899.8 41.75
4 899.8 41.75
4 1098.5 41.86
4 1249.3 41.63
4 1249.3 41.63
4 1395.2 41.63
4 1548.2 41.27
4 1701.2 40.79
4 1850.9 40.42
