"DOY" "Depth" "PON"
302 255.1 0.063
20 6.9 0.23
20 12.6 0.237
20 27.6 0.223
20 46.4 0.244
20 62.8 0.216
20 72.9 0.223
20 84.9 0.084
20 99.3 0.237
20 116.2 0.16
20 175.9 0.091
20 246.6 0.063
20 495.9 0.049
21 6.8 0.258
21 25.5 0.3
21 53.4 0.237
21 76.9 0.251
21 101.1 0.153
21 101.8 0.091
21 101.9 0.167
21 127.1 0.125
21 150.6 0.258
21 173.7 0.084
48 5.5 0.307
48 25.2 0.314
48 44.8 0.293
48 69.8 0.272
48 74.8 0.293
48 100.1 0.254
48 126.3 0.227
48 149.8 0.202
48 176.1 0.105
48 250.5 0.084
48 499.7 0.056
68 5.6 0.272
68 25.4 0.279
68 45.6 0.272
68 75.3 0.314
68 100.6 0.279
68 126.2 0.258
68 140.8 0.244
68 147.1 0.209
68 175.7 0.146
68 252 0.084
170 25.5 0.265
170 46.3 0.268
170 49.2 0.3
170 75 0.307
170 113.9 0.279
170 132.9 0.3
170 150.5 0.146
170 175.8 0.112
170 249.5 0.091
206 4.8 0.335
206 25.3 0.303
206 46 0.39
206 75.2 0.335
206 90.3 0.342
206 100.5 0.321
206 110.7 0.314
206 125.6 0.286
206 150.7 0.098
206 174.5 0.132
206 250.3 0.098
206 500 0.077
242 4.7 0.711
242 25.2 0.345
242 44.5 0.349
242 75.2 0.425
242 94.2 0.376
242 100.4 0.321
242 104.7 0.328
242 109.7 0.321
242 114.8 0.265
242 125 0.237
242 149.8 0.174
242 174.8 0.132
242 249.6 0.091
242 499.9 0.063
243 5.5 0.321
243 24.7 0.363
243 45.4 0.286
243 76.1 0.328
243 101.5 0.3
243 125.6 0.265
243 151.1 0.174
243 178.5 0.146
266 5.5 0.314
266 24.7 0.324
266 45.6 0.335
266 75.1 0.328
266 99.5 0.286
266 109.9 0.3
266 114.5 0.307
266 119.6 0.314
266 125 0.286
266 129.6 0.237
266 150.5 0.146
266 175.5 0.119
266 250.2 0.077
288 5 0.272
288 25.6 0.289
288 45.2 0.272
288 75.3 0.3
288 100.1 0.303
288 105.2 0.286
288 109.3 0.265
288 115.9 0.251
288 120.2 0.258
288 125.1 0.23
288 149.8 0.112
288 174.9 0.098
288 252.4 0.077
288 489.1 0.063
323 5.6 0.223
323 25.4 0.195
323 45.3 0.293
323 76.2 0.293
323 93.8 0.237
323 110.8 0.22
323 127.6 0.16
323 152.9 0.105
323 183 0.084
323 255 0.063
323 491.6 0.035
63 4.8 0.216
63 25.2 0.206
63 46 0.23
63 74.9 0.202
63 102.9 0.209
63 127.3 0.132
63 147.1 0.105
63 173.8 0.077
63 25 0.272
63 45.4 0.23
63 249.6 0.035
96 5.3 0.698
96 24.7 0.6
96 45.1 0.432
96 75.3 0.391
96 99.4 0.411
96 109.5 0.349
96 124.9 0.335
96 140.1 0.258
96 149.9 0.223
96 159.9 0.153
96 175.4 0.139
96 250.6 0.105
127 4.7 0.328
127 25 0.289
127 44.9 0.307
127 100.9 0.289
127 125.6 0.181
127 159.3 0.125
127 174.1 0.146
127 249.7 0.077
127 74.8 0.237
210 99.9 0.509
210 125.1 0.328
210 149.6 0.167
210 174.9 0.16
210 249.8 0.091
210 499.7 0.049
240 4.7 0.3
240 9.8 0.3
240 24.5 0.324
240 44.1 0.342
240 59.3 0.383
240 74.4 0.349
240 91.3 0.272
240 108.4 0.279
240 129.2 0.209
240 139.7 0.153
240 149.8 0.105
240 175.4 0.091
240 250.3 0.07
270 4.2 0.251
270 24.8 0.282
270 45.2 0.307
270 74 0.335
270 100 0.328
270 124.6 0.223
270 149.4 0.112
270 174.5 0.105
270 250.4 0.077
299 5.1 0.356
299 25 0.31
299 44.7 0.356
299 75.3 0.321
299 89.3 0.286
299 99.5 0.279
299 104.1 0.272
299 114.6 0.209
299 124.5 0.153
299 149.3 0.126
299 174.5 0.091
299 199.5 0.077
299 249.7 0.063
320 4.3 0.314
320 25.1 0.328
320 44.8 0.237
320 74.5 0.279
320 93.8 0.251
320 99.3 0.258
320 110.3 0.195
320 124.6 0.153
320 149.9 0.105
320 175.7 0.098
320 250.7 0.07
320 25.2 0.328
320 44.7 0.342
320 99.2 0.303
321 4.6 0.321
321 24.6 0.488
321 44.9 0.293
321 74.2 0.279
321 104.7 0.251
16 4.5 0.391
16 24 0.359
16 43.6 0.397
16 74.8 0.349
16 84.2 0.363
16 89.1 0.37
16 94.1 0.356
16 99.2 0.248
16 104.4 0.251
16 125.5 0.202
16 150 0.139
16 174.1 0.119
16 249.8 0.105
16 499.9 0.07
86 5.2 0.258
86 24.7 0.307
86 44.3 0.37
86 74.7 0.321
86 100.1 0.307
86 125.1 0.171
86 148.6 0.153
86 174.8 0.021
86 249.7 0.021
86 500 0.014
88 8.9 0.457
88 59.6 0.349
88 74.3 0.662
88 249.5 0.084
114 4.6 0.439
114 25 0.408
114 44.9 0.363
114 74.6 0.335
114 99.6 0.293
114 124.2 0.293
114 134.3 0.188
114 150.5 0.146
114 174.9 0.091
114 251.1 0.077
143 4.4 0.314
143 24.8 0.317
143 45 0.314
143 74.3 0.272
143 99.2 0.237
143 104.7 0.272
143 129.8 0.251
143 149.4 0.167
143 175.5 0.153
144 248.8 0.056
177 4.7 0.335
177 25.4 0.363
177 44.9 0.377
177 74.5 0.439
177 99.3 0.446
177 124.7 0.324
177 140.2 0.265
177 149.3 0.209
177 160.5 0.167
177 176.2 0.139
177 485.4 0.049
208 4.3 0.342
208 24.1 0.335
208 45.5 0.405
208 74.3 0.39
208 99.6 0.282
208 124.5 0.258
208 149.5 0.174
208 175.2 0.139
208 250.4 0.105
233 5 0.3
233 24.6 0.324
233 44.7 0.342
233 74.5 0.265
233 89.9 0.244
233 99.7 0.279
233 109.6 0.223
233 119.4 0.185
233 130.1 0.16
233 149.2 0.112
233 175 0.091
233 250.1 0.063
275 3.9 0.328
275 23.7 0.331
275 43.4 0.335
275 74.5 0.307
275 99.6 0.265
275 109.1 0.199
275 124 0.174
275 149.4 0.112
275 175 0.091
275 249 0.077
304 4.1 0.3
304 24.7 0.282
304 44.6 0.307
304 73.6 0.342
304 98.4 0.338
304 124.5 0.237
304 150.1 0.153
304 175.1 0.126
304 251.5 0.084
345 4.1 0.167
345 23.9 0.192
345 44.3 0.167
345 74.7 0.195
345 100 0.178
345 124.1 0.091
7 5 0.241
7 24.8 0.251
7 44.6 0.23
7 74.4 0.279
7 101.2 0.195
7 125.1 0.132
7 149.7 0.098
7 174 0.084
7 249.8 0.063
48 5.2 0.265
48 25.3 0.268
48 44.1 0.314
48 74.5 0.23
48 99.8 0.279
