"DOY" "Depth" "SIZE10" "SIZE3" "SIZE1" "SIZE_L1"
188 27.9 0.340909090909091 0.121212121212121 0.303030303030303 0.234848484848485
188 35.7 0.402985074626866 0.126865671641791 0.358208955223881 0.111940298507463
185 25.2 0.503759398496241 0.105263157894737 0.308270676691729 0.0827067669172932
185 3 0.421052631578947 0.203007518796992 0.210526315789474 0.165413533834586
185 12.4 0.372881355932203 0.144067796610169 0.347457627118644 0.135593220338983
185 50 0.44 0.24 0.2 0.12
185 75.3 0.333333333333333 0.25 0.333333333333333 0.0833333333333333
185 100.6 0.333333333333333 0.333333333333333 0.333333333333333 0
185 125.7 0.5 0.5 0 0
185 3.2 0.365384615384615 0.182692307692308 0.317307692307692 0.134615384615385
185 7 0.390476190476191 0.180952380952381 0.314285714285714 0.114285714285714
185 15 0.430769230769231 0.123076923076923 0.315384615384615 0.130769230769231
185 20.2 0.432624113475177 0.127659574468085 0.361702127659574 0.0780141843971631
185 25.2 0.387096774193548 0.185483870967742 0.338709677419355 0.0887096774193548
185 27.9 0.504424778761062 0.141592920353982 0.265486725663717 0.0884955752212389
185 38 0.479166666666667 0.239583333333333 0.145833333333333 0.135416666666667
181 55.6 0.325581395348837 0.302325581395349 0.232558139534884 0.13953488372093
181 70.6 0.214285714285714 0.214285714285714 0.428571428571429 0.142857142857143
181 85.7 0.25 0.25 0.5 0
181 5.6 0.368932038834951 0.116504854368932 0.407766990291262 0.106796116504854
181 9.6 0.401960784313725 0.127450980392157 0.382352941176471 0.0882352941176471
181 14.8 0.349514563106796 0.213592233009709 0.359223300970874 0.0776699029126214
181 19.9 0.425 0.133333333333333 0.358333333333333 0.0833333333333333
181 25.2 0.384615384615385 0.105769230769231 0.307692307692308 0.201923076923077
181 30.1 0.420560747663551 0.121495327102804 0.280373831775701 0.177570093457944
181 40.2 0.407766990291262 0.16504854368932 0.271844660194175 0.155339805825243
162 13.1 0.112244897959184 0.204081632653061 0.510204081632653 0.173469387755102
162 50.4 0.1 0.2 0.38 0.32
162 75 0.1 0.3 0.3 0.3
162 2.9 0.0857142857142857 0.238095238095238 0.6 0.0761904761904762
162 6.9 0.10752688172043 0.268817204301075 0.32258064516129 0.301075268817204
162 15.6 0.148148148148148 0.271604938271605 0.493827160493827 0.0864197530864198
162 22.5 0.103448275862069 0.229885057471264 0.436781609195402 0.229885057471264
162 26.7 0.0810810810810811 0.225225225225225 0.45945945945946 0.234234234234234
162 30.3 0.105263157894737 0.280701754385965 0.245614035087719 0.368421052631579
162 40.2 0.136986301369863 0.219178082191781 0.465753424657534 0.178082191780822
165 16 0.0576923076923077 0.153846153846154 0.538461538461539 0.25
165 55.2 0.0789473684210526 0.236842105263158 0.342105263157895 0.342105263157895
165 80.2 0.0769230769230769 0.307692307692308 0.384615384615385 0.230769230769231
165 4.1 0.0566037735849057 0.132075471698113 0.490566037735849 0.320754716981132
165 7.3 0.0784313725490196 0.156862745098039 0.588235294117647 0.176470588235294
165 20.3 0.0677966101694915 0.152542372881356 0.440677966101695 0.338983050847458
165 26.1 0.0645161290322581 0.145161290322581 0.483870967741935 0.306451612903226
165 30.8 0.09375 0.21875 0.40625 0.28125
165 35.2 0.0923076923076923 0.230769230769231 0.507692307692308 0.169230769230769
165 45.1 0.0943396226415094 0.226415094339623 0.377358490566038 0.30188679245283
165 45.2 0.0465116279069767 0.186046511627907 0.372093023255814 0.395348837209302
165 31 0.0350877192982456 0.140350877192982 0.43859649122807 0.385964912280702
165 4.4 0.0422535211267606 0.169014084507042 0.450704225352113 0.338028169014085
