"Depth" "PHY"
186.261907268652 0.501636916059535
162.095390281006 0.828318630590362
141.007612968064 1.43790439098452
122.625557420782 1.98810278460544
106.614383092196 1.76807988110941
92.6754602512414 1.93174462858629
80.5439372176177 0.292765555356171
69.9859732029126 0.214415276413002
60.7959212822578 0.204842386880946
52.7935202575845 0.197038731656769
45.8212082944328 0.186354928710557
39.741612260415 0.174033577781992
34.4352106395529 0.161932120200089
29.7982374807758 0.151208194674215
25.7407508374215 0.142211842740076
22.1849447538441 0.134935625397895
19.0636274825377 0.129875403765691
16.3188861308706 0.126027739315354
13.9009126093562 0.123194975021144
11.7669826667266 0.121130835143047
9.88056249729557 0.119700922521916
8.2105410360046 0.118769261481412
6.73056924025938 0.118208311885276
5.4184956066991 0.11791377208293
4.25588898315421 0.117804157263289
3.2276383830429 0.117830691710117
2.32162629281158 0.117953235145856
1.5284621140689 0.118136987358778
0.841277733828891 0.118353982514867
0.255576481093328 0.118581257650284
