"DOY" "Depth" "PON"
50 126.3 0.227
50 149.8 0.202
50 176.1 0.105
78 5.6 0.272
78 25.4 0.279
78 45.6 0.272
78 75.3 0.314
78 100.6 0.279
78 126.2 0.258
78 140.8 0.244
78 147.1 0.209
78 175.7 0.146
170 25.5 0.265
170 46.3 0.268
170 49.2 0.3
170 75 0.307
170 113.9 0.279
170 132.9 0.3
170 150.5 0.146
170 175.8 0.112
170 249.5 0.091
200 4.8 0.335
200 25.3 0.303
200 46 0.39
200 75.2 0.335
200 90.3 0.342
200 100.5 0.321
200 110.7 0.314
200 125.6 0.286
200 150.7 0.098
200 174.5 0.132
231 4.7 0.711
231 25.2 0.345
231 44.5 0.349
231 75.2 0.425
231 94.2 0.376
231 100.4 0.321
231 104.7 0.328
231 109.7 0.321
231 114.8 0.265
231 125 0.237
231 149.8 0.174
231 174.8 0.132
231 249.6 0.091
231 5.5 0.321
231 24.7 0.363
231 45.4 0.286
231 76.1 0.328
231 101.5 0.3
231 125.6 0.265
231 151.1 0.174
231 178.5 0.146
262 5.5 0.314
262 24.7 0.324
262 45.6 0.335
262 75.1 0.328
262 99.5 0.286
262 109.9 0.3
262 114.5 0.307
262 119.6 0.314
262 125 0.286
262 129.6 0.237
262 150.5 0.146
262 175.5 0.119
292 5 0.272
292 25.6 0.289
292 45.2 0.272
292 75.3 0.3
292 100.1 0.303
292 105.2 0.286
292 109.3 0.265
292 115.9 0.251
292 120.2 0.258
292 125.1 0.23
292 149.8 0.112
292 174.9 0.098
323 5.6 0.223
323 25.4 0.195
323 45.3 0.293
323 76.2 0.293
323 93.8 0.237
323 110.8 0.22
323 127.6 0.16
323 152.9 0.105
323 183 0.084
79 4.8 0.216
79 25.2 0.206
79 46 0.23
79 74.9 0.202
79 102.9 0.209
79 127.3 0.132
79 147.1 0.105
79 173.8 0.077
79 25 0.272
79 45.4 0.23
79 249.6 0.035
109 5.3 0.698
109 24.7 0.6
109 45.1 0.432
109 75.3 0.391
109 99.4 0.411
109 109.5 0.349
109 124.9 0.335
109 140.1 0.258
109 149.9 0.223
109 159.9 0.153
109 175.4 0.139
139 4.7 0.328
139 25 0.289
139 44.9 0.307
139 100.9 0.289
139 125.6 0.181
139 159.3 0.125
139 174.1 0.146
139 249.7 0.077
139 74.8 0.237
200 99.9 0.509
200 125.1 0.328
200 149.6 0.167
200 174.9 0.16
200 249.8 0.091
232 4.7 0.3
232 9.8 0.3
232 24.5 0.324
232 44.1 0.342
232 59.3 0.383
232 74.4 0.349
232 91.3 0.272
232 108.4 0.279
232 129.2 0.209
232 139.7 0.153
232 149.8 0.105
232 175.4 0.091
262 4.2 0.251
262 24.8 0.282
262 45.2 0.307
262 74 0.335
262 100 0.328
262 124.6 0.223
262 149.4 0.112
262 174.5 0.105
292 5.1 0.356
292 25 0.31
292 44.7 0.356
292 75.3 0.321
292 89.3 0.286
292 99.5 0.279
292 104.1 0.272
292 114.6 0.209
292 124.5 0.153
292 149.3 0.126
292 174.5 0.091
292 199.5 0.077
292 249.7 0.063
324 4.3 0.314
324 25.1 0.328
324 44.8 0.237
324 74.5 0.279
324 93.8 0.251
324 99.3 0.258
324 110.3 0.195
324 124.6 0.153
324 149.9 0.105
324 175.7 0.098
324 25.2 0.328
324 44.7 0.342
324 99.2 0.303
323 4.6 0.321
323 24.6 0.488
323 44.9 0.293
323 74.2 0.279
323 104.7 0.251
19 4.5 0.391
19 24 0.359
19 43.6 0.397
19 74.8 0.349
19 84.2 0.363
19 89.1 0.37
19 94.1 0.356
19 99.2 0.248
19 104.4 0.251
19 125.5 0.202
19 150 0.139
19 174.1 0.119
19 249.8 0.105
78 5.2 0.258
78 24.7 0.307
78 44.3 0.37
78 74.7 0.321
78 100.1 0.307
78 125.1 0.171
78 148.6 0.153
78 174.8 0.021
78 249.7 0.021
79 8.9 0.457
79 59.6 0.349
79 74.3 0.662
79 249.5 0.084
109 4.6 0.439
109 25 0.408
109 44.9 0.363
109 74.6 0.335
109 99.6 0.293
109 124.2 0.293
109 134.3 0.188
109 150.5 0.146
109 174.9 0.091
139 4.4 0.314
139 24.8 0.317
139 45 0.314
139 74.3 0.272
139 99.2 0.237
139 104.7 0.272
139 129.8 0.251
139 149.4 0.167
139 175.5 0.153
139 248.8 0.056
170 4.7 0.335
170 25.4 0.363
170 44.9 0.377
170 74.5 0.439
170 99.3 0.446
170 124.7 0.324
170 140.2 0.265
170 149.3 0.209
170 160.5 0.167
170 176.2 0.139
200 4.3 0.342
200 24.1 0.335
200 45.5 0.405
200 74.3 0.39
200 99.6 0.282
200 124.5 0.258
200 149.5 0.174
200 175.2 0.139
232 5 0.3
232 24.6 0.324
232 44.7 0.342
232 74.5 0.265
232 89.9 0.244
232 99.7 0.279
232 109.6 0.223
232 119.4 0.185
232 130.1 0.16
232 149.2 0.112
232 175 0.091
292 3.9 0.328
292 23.7 0.331
292 43.4 0.335
292 74.5 0.307
292 99.6 0.265
292 109.1 0.199
292 124 0.174
292 149.4 0.112
292 175 0.091
292 249 0.077
292 4.1 0.3
292 24.7 0.282
292 44.6 0.307
292 73.6 0.342
292 98.4 0.338
292 124.5 0.237
292 150.1 0.153
292 175.1 0.126
353 4.1 0.167
353 23.9 0.192
353 44.3 0.167
353 74.7 0.195
353 100 0.178
353 124.1 0.091
19 5 0.241
19 24.8 0.251
19 44.6 0.23
19 74.4 0.279
19 101.2 0.195
19 125.1 0.132
19 149.7 0.098
19 174 0.084
19 249.8 0.063
50 5.2 0.265
50 25.3 0.268
50 44.1 0.314
50 74.5 0.23
50 99.8 0.279
50 115.3 0.286
50 119.6 0.258
50 124.1 0.23
50 150.1 0.16
50 174.6 0.153
78 4.5 0.237
78 24.4 0.3
78 44.7 0.31
78 74.7 0.272
78 99.5 0.244
78 119.6 0.153
78 149.5 0.112
78 174.8 0.084
78 249.7 0.056
110 25.4 0.303
110 75.3 0.335
110 99.6 0.356
110 125.3 0.237
110 150.7 0.126
110 176.2 0.112
139 4.2 0.209
139 24.2 0.307
139 44.9 0.279
139 74.5 0.223
139 99.3 0.282
139 124.9 0.216
139 150.2 0.112
139 174.7 0.098
170 4.7 0.279
170 25 0.328
170 45 0.293
170 75 0.321
170 100 0.317
170 139.4 0.209
170 148.8 0.091
170 175.8 0.112
170 249.3 0.07
171 125.1 0.314
201 24.5 0.258
201 44.4 0.237
201 74.2 0.272
201 99.8 0.265
201 150 0.244
201 174.2 0.202
201 249.4 0.112
231 4.1 0.363
231 25.2 0.373
231 45.6 0.383
231 74.9 0.342
231 100.2 0.261
231 125.3 0.132
231 150.3 0.112
231 175.1 0.077
231 249.4 0.056
262 5 0.356
262 24.3 0.349
262 44 0.39
262 74.8 0.411
262 99.6 0.383
262 126.5 0.328
262 151.5 0.195
262 175 0.126
353 4.9 0.39
353 25.5 0.394
353 43.6 0.349
353 75.3 0.37
353 100.2 0.383
353 125.2 0.244
353 149.4 0.139
353 176 0.126
353 250 0.098
19 5.4 0.279
19 25 0.241
19 47.1 0.272
19 101 0.265
19 125.3 0.181
19 151.8 0.119
19 174.6 0.077
19 75.2 0.237
50 5.1 0.23
