"DOY" "Depth" "DFe"
15 500 0.946303829550743
15 400 0.836945298942737
15 300 0.619926533545367
15 250 0.474356747872662
15 200 0.328979898768011
15 150 0.209156001801603
15 125 0.167614776728442
15 100 0.147304876009002
15 75 0.14087312592892
15 50 0.140872125484748
15 30 0.140871872645221
15 20 0.140871821713517
15 10 0.140871821713517
15 0 0.140871821713517
45 500 0.944803527090698
45 400 0.836088787764311
45 300 0.622965380898677
45 250 0.440827752754558
45 200 0.248277552600484
45 150 0.191377650480717
45 125 0.186121702427045
45 100 0.185776174475905
45 75 0.185775723366532
45 50 0.185775450518122
45 30 0.185775275895139
45 20 0.185775250429288
45 10 0.185775250429288
45 0 0.185775224963436
75 500 0.942815953749232
75 400 0.833354017231613
75 300 0.617972895270213
75 250 0.414626687415875
75 200 0.213607072510058
75 150 0.383789681974907
75 125 0.342837219559977
75 100 0.300605972250198
75 75 0.257093803806026
75 50 0.189546673937002
75 30 0.188533798791468
75 20 0.188057299965294
75 10 0.187873472896172
75 0 0.187827899935655
105 500 0.941858321311884
105 400 0.83128409460187
105 300 0.608363712672144
105 250 0.405130333092529
105 200 0.21410632689367
105 150 0.200181075342698
105 125 0.194351829122752
105 100 0.187309498869581
105 75 0.177251524291933
105 50 0.155011872266186
105 30 0.119791433462524
105 20 0.104659899079707
105 10 0.0979661999735981
105 0 0.0962703361437889
135 500 0.945589432376437
135 400 0.835968763567507
135 300 0.605271285166964
135 250 0.415101283579133
135 200 0.242725498537766
135 150 0.216004875255749
135 125 0.205554002604913
135 100 0.192776875337586
135 75 0.168821850820677
135 50 0.0932005805225344
135 30 0.0287318298433092
135 20 0.0219858252421545
135 10 0.0232816773859668
135 0 0.0271307544608135
165 500 0.950723959249444
165 400 0.843485278892331
165 300 0.609854498179629
165 250 0.429479179729242
165 200 0.268665397015866
165 150 0.230147823458537
165 125 0.214993349800352
165 100 0.193447325727902
165 75 0.141652824822813
165 50 0.0369665231119143
165 30 0.0151564195220999
165 20 0.0240545127780933
165 10 0.0364140196325025
165 0 0.0462359676021151
195 500 0.952755624894053
195 400 0.846216731588356
195 300 0.612345727859065
195 250 0.439574578194879
195 200 0.288252005702816
195 150 0.242918969888706
195 125 0.22206960056792
195 100 0.187214274774306
195 75 0.102911961221253
195 50 0.01600949258318
195 30 0.0344061922987748
195 20 0.0627050421826425
195 10 0.0797095872258069
195 0 0.0883183911355445
225 500 0.953435723204166
225 400 0.847084331326187
225 300 0.615014025242999
225 250 0.4486742473091
225 200 0.30405112192966
225 150 0.252797632128932
225 125 0.226561747695087
225 100 0.181629198777955
225 75 0.184438316591574
225 50 0.0154619722252392
225 30 0.0884235796547728
225 20 0.121635655887076
225 10 0.13545437650464
225 0 0.140809223012184
255 500 0.95262224203907
255 400 0.84572151536122
255 300 0.616100587649271
255 250 0.554925796135206
255 200 0.313718199322466
255 150 0.40840806881414
255 125 0.368621471699739
255 100 0.327582082330085
255 75 0.285294937634378
255 50 0.241765074541819
255 30 0.20604981163846
255 20 0.187895942543217
255 10 0.173728149093222
255 0 0.17366222164128
285 500 0.952175250859
285 400 0.846931827254593
285 300 0.623866464593448
285 250 0.4659855258069
285 200 0.324758773786016
285 150 0.26320439792471
285 125 0.23032887474983
285 100 0.173880147485761
285 75 0.0652746948617278
285 50 0.0484296069771517
285 30 0.182678595592733
285 20 0.19274172882433
285 10 0.19270632401458
285 0 0.19270632401458
315 500 0.950268440647051
315 400 0.844317037262954
315 300 0.624519219854847
315 250 0.470680075522978
315 200 0.332495001202915
315 150 0.267652409092989
315 125 0.232669397519203
315 100 0.174504024471389
315 75 0.0740750674594892
315 50 0.101887111668475
315 30 0.156504225742538
315 20 0.156644975504605
315 10 0.156644975504605
315 0 0.156645000970457
345 500 0.947649503359571
345 400 0.839445507153869
345 300 0.620243430603296
345 250 0.470875995233655
345 200 0.339516402164008
345 150 0.272932826192118
345 125 0.227159325731918
345 100 0.161248175572837
345 75 0.102317393611884
345 50 0.106280065665487
345 30 0.108179126982577
345 20 0.1081790887838
345 10 0.108179090602789
345 0 0.108179090602789
