"DOY" "Depth" "DFe"
15 500 1.11359075526707
15 400 1.11982625094242
15 300 1.10940702143125
15 250 1.08078925404698
15 200 1.01541099138558
15 150 0.908532223547809
15 125 0.838145439047366
15 100 0.750340201193467
15 75 0.616457298747264
15 50 0.276700880931458
15 30 0.0918647237995174
15 20 0.0879328290466219
15 10 0.087932789028855
15 0 0.0879327872098656
45 500 1.10952675458975
45 400 1.11703123548068
45 300 1.10783474519849
45 250 1.08283100416884
45 200 1.02588150184602
45 150 0.926898617763072
45 125 0.859972395119257
45 100 0.779465743107721
45 75 0.664099934510887
45 50 0.354301271727309
45 30 0.107831512650591
45 20 0.103706664958736
45 10 0.103580085124122
45 0 0.103569422208238
75 500 1.10673127346672
75 400 1.1139937560074
75 300 1.10404976294376
75 250 1.07987673254684
75 200 1.02683424483985
75 150 0.933891860768199
75 125 0.870095173013397
75 100 0.792228936916217
75 75 0.682320998748764
75 50 0.396094299503602
75 30 0.09768184281711
75 20 0.0851919066917617
75 10 0.0850908145366702
75 0 0.0851054101076443
105 500 1.10536074498668
105 400 1.11117050983012
105 300 1.10022348235361
105 250 1.0763147729449
105 200 1.02531001903117
105 150 0.93656315584667
105 125 0.873632438015193
105 100 0.795025945990346
105 75 0.68895478034392
105 50 0.394861730455887
105 30 0.0874409925017972
105 20 0.0700099371897522
105 10 0.0716883951099589
105 0 0.0733762317395303
135 500 1.10492049134336
135 400 1.10852051875554
135 300 1.09633800457232
135 250 1.07201249920763
135 200 1.02048524422571
135 150 0.930233436520211
135 125 0.864092406118289
135 100 0.781355309300125
135 75 0.673942879075184
135 50 0.357841774530243
135 30 0.0593456843489548
135 20 0.0479266973343329
135 10 0.0629048172413604
135 0 0.0831641827971907
165 500 1.10495049739257
165 400 1.10611275886185
165 300 1.09186823829077
165 250 1.06550173950382
165 200 1.00985402241349
165 150 0.913151656277478
165 125 0.842948793433607
165 100 0.757745059672743
165 75 0.648710556561127
165 50 0.276913102425169
165 30 0.0353432196789072
165 20 0.0332127901856438
165 10 0.0445114019385073
165 0 0.0583217752136989
195 500 1.10669477726333
195 400 1.10657574259676
195 300 1.09114474616945
195 250 1.06267773662694
195 200 1.0024200018961
195 150 0.899650956853293
195 125 0.826852818136103
195 100 0.740704403142445
195 75 0.629521688097157
195 50 0.21843692229595
195 30 0.0244952302637103
195 20 0.0221944278564479
195 10 0.0262542398559162
195 0 0.0318598999911046
225 500 1.10923350439407
225 400 1.10891624353826
225 300 1.09228122164495
225 250 1.0609874734655
225 200 0.995045149466023
225 150 0.886303168954328
225 125 0.811108388006687
225 100 0.724284778698348
225 75 0.602315019932576
225 50 0.152864326082636
225 30 0.0187169152923161
225 20 0.0183321099029854
225 10 0.0215068694160436
225 0 0.0251032402047713
255 500 1.11201850813814
255 400 1.11222796840593
255 300 1.09518526005559
255 250 1.0616795043461
255 200 0.991044682450593
255 150 0.878515522344969
255 125 0.802050490165129
255 100 0.714622874511406
255 75 0.578304388909601
255 50 0.121519426102168
255 30 0.0184124373845407
255 20 0.0215750696952455
255 10 0.0282449950645969
255 0 0.0345597277373599
285 500 1.1143512383569
285 400 1.11572747118771
285 300 1.0994549957104
285 250 1.0651332559064
285 200 0.992037530522794
285 150 0.878282808116637
285 125 0.801566013251431
285 100 0.713547473424114
285 75 0.568860079511069
285 50 0.129051677504322
285 30 0.0293498601422471
285 20 0.0385750727218692
285 10 0.0432569922850234
285 0 0.0435475503763882
315 500 1.11643952550367
315 400 1.11933652078733
315 300 1.10477648559026
315 250 1.06997301918454
315 200 0.994693604297936
315 150 0.880686784512363
315 125 0.804308278020471
315 100 0.714803682058118
315 75 0.556341532501392
315 50 0.145927726407535
315 30 0.0555212964172824
315 20 0.058171673117613
315 10 0.0581716885790229
315 0 0.0581717122258851
345 500 1.11682523856871
345 400 1.12127600004897
345 300 1.10846874304116
345 250 1.07456825207919
345 200 0.999725365545601
345 150 0.886821304447949
345 125 0.811256177257746
345 100 0.719002040568739
345 75 0.546662471606396
345 50 0.178210320882499
345 30 0.0670469753458747
345 20 0.0670461186018656
345 10 0.0670461186018656
345 0 0.0670461231493391
