Ref,Species,Strain,ID,Temp,LD,Light,Unit,QN,Carbon_pmol,Chl_pg,theta,mu
Terry et al. (1983),Phaeodactylum tricornutum,BB,7,25,0.5,559,uE m-2 s-1,0.1171,,,0.2555,
Terry et al. (1983),Phaeodactylum tricornutum,TFX-1,8,25,0.5,27,uE m-2 s-1,0.1456,,,0.7542,
Terry et al. (1983),Phaeodactylum tricornutum,TFX-1,8,25,0.5,40,uE m-2 s-1,0.1513,,,0.6887,
Terry et al. (1983),Phaeodactylum tricornutum,TFX-1,8,25,0.5,64,uE m-2 s-1,0.1608,,,0.6465,
Terry et al. (1983),Phaeodactylum tricornutum,TFX-1,8,25,0.5,71,uE m-2 s-1,0.1475,,,0.5558,
Terry et al. (1983),Phaeodactylum tricornutum,TFX-1,8,25,0.5,118,uE m-2 s-1,0.1608,,,0.5657,
Terry et al. (1983),Phaeodactylum tricornutum,TFX-1,8,25,0.5,111,uE m-2 s-1,0.157,,,0.5462,
Terry et al. (1983),Phaeodactylum tricornutum,TFX-1,8,25,0.5,176,uE m-2 s-1,0.1399,,,0.4462,
Terry et al. (1983),Phaeodactylum tricornutum,TFX-1,8,25,0.5,182,uE m-2 s-1,0.1456,,,0.3911,
Terry et al. (1983),Phaeodactylum tricornutum,TFX-1,8,25,0.5,172,uE m-2 s-1,0.1532,,,0.4340,
Terry et al. (1983),Phaeodactylum tricornutum,TFX-1,8,25,0.5,274,uE m-2 s-1,0.138,,,,
Terry et al. (1983),Phaeodactylum tricornutum,TFX-1,8,25,0.5,254,uE m-2 s-1,0.1418,,,0.3863,
Terry et al. (1983),Phaeodactylum tricornutum,TFX-1,8,25,0.5,267,uE m-2 s-1,0.1171,,,0.3233,
Terry et al. (1983),Phaeodactylum tricornutum,TFX-1,8,25,0.5,376,uE m-2 s-1,0.138,,,0.3046,
Laws and Bannister (1980),Thalassiosira fluviatilis,,9,20,0.5,4.4,uE m-2 s-1,0.189,7.33,4.780,0.652,
Laws and Bannister (1980),Thalassiosira fluviatilis,,9,20,0.5,7.7,uE m-2 s-1,0.183,8.33,4.410,0.529,
Laws and Bannister (1980),Thalassiosira fluviatilis,,9,20,0.5,12.1,uE m-2 s-1,0.196,7.67,4.980,0.650,
Laws and Bannister (1980),Thalassiosira fluviatilis,,9,20,0.5,13.5,uE m-2 s-1,0.168,9.75,5.800,0.595,
Laws and Bannister (1980),Thalassiosira fluviatilis,,9,20,0.5,71.9,uE m-2 s-1,0.142,11.75,5.500,0.468,
Laws and Bannister (1980),Thalassiosira fluviatilis,,9,20,0.5,209.0,uE m-2 s-1,0.132,14.67,3.600,0.245,
