species,mu_max,alpha,I_opt,I_max,temperature,daylength,volume,taxon,environment,Chl:C
Fragilariopsis cylindrus,1.07E-01,2.02E-02,4.25E+01,1.25E+02,2.00E+00,2.40E+01,na,diatom,O,4.00E-02
Phaeocystis antarctica,3.66E-01,1.52E-02,4.50E+01,1.25E+02,2.00E+00,2.40E+01,na,phaeocystis,C,1.52E-02
Phaeocystis antarctica,2.48E-01,5.74E-03,7.99E+01,1.25E+02,2.00E+00,2.40E+01,1.20E+02,phaeocystis,C,2.44E-02
Thalassiosira allenii,7.22E-01,9.74E-02,7.23E+01,1.94E+02,4.00E+00,2.40E+01,na,diatom,C,na
Thalassiosira allenii,1.08E+00,5.98E-01,7.56E+11,1.94E+02,1.10E+01,2.40E+01,na,diatom,C,na
Thalassiosira allenii,1.08E+00,1.60E-01,1.01E+04,1.94E+02,1.60E+01,2.40E+01,1.20E+03,diatom,C,na
Thalassiosira allenii,1.17E+00,3.44E-02,9.97E+01,1.94E+02,2.00E+01,2.40E+01,na,diatom,C,na
Ceratium furca,3.44E-01,1.43E-03,3.17E+02,7.96E+02,3.00E+01,1.20E+01,na,dinoflagellate,C,na
Ceratium furca,5.66E-01,6.69E-03,3.96E+02,7.96E+02,2.80E+01,1.20E+01,na,dinoflagellate,C,na
Ceratium furca,6.12E-01,3.55E-03,4.40E+02,7.96E+02,2.60E+01,1.20E+01,na,dinoflagellate,C,na
Ceratium furca,6.30E-01,8.40E-03,7.75E+02,7.96E+02,2.40E+01,1.20E+01,na,dinoflagellate,C,na
Ceratium furca,5.60E-01,3.64E-03,5.92E+02,7.96E+02,2.20E+01,1.20E+01,na,dinoflagellate,C,na
Ceratium furca,4.79E-01,5.26E-03,5.00E+02,7.96E+02,2.00E+01,1.20E+01,na,dinoflagellate,C,na
Ceratium furca,4.88E-01,3.71E-03,4.91E+02,7.96E+02,1.80E+01,1.20E+01,na,dinoflagellate,C,na
Ceratium furca,2.64E-01,1.11E-03,5.26E+02,7.96E+02,1.60E+01,1.20E+01,na,dinoflagellate,C,na
Ceratium furca,2.46E-01,1.31E-03,9.04E+02,7.96E+02,1.40E+01,1.20E+01,na,dinoflagellate,C,na
Ceratium furca,4.01E-02,4.81E-05,5.21E+02,7.96E+02,1.20E+01,1.20E+01,na,dinoflagellate,C,na
Ceratium fusus,2.87E-01,3.26E-03,1.85E+02,7.96E+02,3.00E+01,1.20E+01,na,dinoflagellate,C,na
Ceratium fusus,5.82E-01,7.19E-03,7.40E+04,7.96E+02,2.80E+01,1.20E+01,na,dinoflagellate,C,na
Ceratium fusus,5.72E-01,6.19E-03,4.24E+02,7.96E+02,2.60E+01,1.20E+01,na,dinoflagellate,C,na
Ceratium fusus,4.08E-01,1.50E-02,8.31E+04,7.96E+02,2.40E+01,1.20E+01,na,dinoflagellate,C,na
Ceratium fusus,4.54E-01,1.56E-03,4.48E+02,7.96E+02,2.20E+01,1.20E+01,na,dinoflagellate,C,na
Ceratium fusus,4.52E-01,4.88E-03,3.46E+04,7.96E+02,2.00E+01,1.20E+01,na,dinoflagellate,C,na
Ceratium fusus,3.42E-01,1.70E-03,4.93E+02,7.96E+02,1.80E+01,1.20E+01,na,dinoflagellate,C,na
Ceratium fusus,2.53E-01,1.30E-03,2.15E+03,7.96E+02,1.60E+01,1.20E+01,na,dinoflagellate,C,na
Ceratium fusus,2.40E-01,1.58E-03,6.21E+02,7.96E+02,1.40E+01,1.20E+01,na,dinoflagellate,C,na
Ceratium fusus,1.54E-02,3.18E-04,1.46E+02,7.96E+02,1.20E+01,1.20E+01,na,dinoflagellate,C,na
Phaeocystis antarctica,1.03E+00,3.81E-02,2.19E+04,3.50E+02,-1.60E+00,2.40E+01,1.20E+02,phaeocystis,O,na
Phaeocystis antarctica,1.39E+00,2.85E-01,1.59E+04,3.50E+02,1.00E+00,2.40E+01,1.20E+02,phaeocystis,O,na
Nitzschia curta,2.77E-01,8.50E-04,9.04E+01,3.50E+02,-1.60E+00,2.40E+01,1.05E+03,diatom,O,na
Nitzschia curta,1.13E+00,5.30E-02,1.83E+02,3.50E+02,1.00E+00,2.40E+01,1.05E+03,diatom,O,na
Chaetoceros socialis,2.99E-01,5.22E-03,5.18E+01,3.50E+02,-1.60E+00,2.40E+01,9.20E+01,diatom,O,na
Chaetoceros socialis,8.25E-01,9.54E-02,2.30E+05,3.50E+02,1.00E+00,2.40E+01,9.20E+01,diatom,O,na
Thalassiosira tumida,3.01E-01,5.40E-03,1.33E+02,3.50E+02,-1.60E+00,2.40E+01,3.30E+04,diatom,O,na
Thalassiosira tumida,8.87E-01,3.38E-02,1.39E+02,3.50E+02,1.00E+00,2.40E+01,3.30E+04,diatom,O,na
Biddulphia sp.,1.75E+00,2.90E-02,4.21E+02,7.30E+02,2.40E+01,1.40E+01,na,diatom,O,na
Corethron criophilum,2.14E+00,2.89E-02,3.12E+02,7.30E+02,2.40E+01,1.40E+01,na,diatom,O,na
Hemiaulus hauckii,2.73E+00,2.41E-02,3.84E+02,7.30E+02,2.40E+01,1.40E+01,na,diatom,O,na
Ditylum brightwellii,1.29E+00,2.35E-02,2.55E+02,7.30E+02,2.40E+01,1.40E+01,1.55E+04,diatom,C,na
Bacteriastrum delicatulum,2.85E+00,2.59E-02,3.28E+04,7.30E+02,2.40E+01,1.40E+01,na,diatom,O,na
Streptotheca tamesis,1.58E+00,2.68E-02,4.95E+02,7.30E+02,2.40E+01,1.40E+01,na,diatom,O,na
Prorocentrum micans,9.07E-01,1.32E-02,1.22E+05,7.30E+02,2.40E+01,1.40E+01,2.13E+04,dinoflagellate,C,na
Thoracosphaera heimi,6.91E-01,2.75E-02,7.66E+04,7.30E+02,2.40E+01,1.40E+01,na,dinoflagellate,O,na
Cyclococcolithina leptopora,6.05E-01,6.84E-02,3.17E+04,7.30E+02,2.40E+01,1.40E+01,na,coccolithophore,O,na
Emiliania huxleyi,2.00E+00,4.22E-02,2.15E+04,7.30E+02,2.40E+01,1.40E+01,4.66E+01,coccolithophore,O,na
Gephyrocapsa oceanica,1.69E+00,3.77E-02,3.28E+02,7.30E+02,2.40E+01,1.40E+01,na,coccolithophore,O,na
Hymenomonas carterae,1.69E+00,2.88E-02,5.12E+02,7.30E+02,2.40E+01,1.40E+01,na,coccolithophore,C,na
Asterionella glacialis,2.97E+00,4.06E-02,1.46E+03,7.30E+02,2.40E+01,1.40E+01,9.78E+01,diatom,C,na
Coscinodiscus sp.,1.13E+00,2.02E-02,2.90E+02,7.30E+02,2.40E+01,1.40E+01,na,diatom,C,na
Thalassiosira pseudonana,2.73E+00,3.57E-02,9.81E+04,7.30E+02,2.40E+01,1.40E+01,6.09E+01,diatom,C,na
Thalassiosira sp.,2.04E+00,4.25E-02,1.11E+12,7.30E+02,2.40E+01,1.40E+01,na,diatom,O,na
Skeletonema costatum,1.77E+00,1.79E-01,8.22E+01,2.56E+02,2.10E+01,2.40E+01,3.50E+02,diatom,C,na
Cylindrotheca fusiformis,1.95E+00,2.20E-01,3.74E+03,2.56E+02,2.10E+01,2.40E+01,3.20E+02,diatom,C,na
Thalassiosira eccentrica,1.70E+00,1.00E-01,1.17E+01,2.56E+02,2.10E+01,2.40E+01,2.50E+04,diatom,C,na
Chaetoceros sp. ,1.94E+00,2.78E-01,6.53E+02,2.56E+02,2.10E+01,2.40E+01,3.50E+01,diatom,C,na
Thalassiosira floridana,2.09E+00,8.58E-02,1.73E+02,2.56E+02,4.80E-01,2.40E+01,4.00E+02,diatom,C,na
Gymnodinium simplex,8.59E-01,4.50E-02,1.04E+02,2.56E+02,2.10E+01,2.40E+01,4.00E+02,dinoflagellate,C,na
Amphidinium carterae,6.83E-01,2.37E-01,6.95E+01,2.56E+02,2.10E+01,2.40E+01,8.00E+02,dinoflagellate,na,na
Ceratium lineatum,2.32E-01,1.21E-01,2.19E+01,2.56E+02,2.10E+01,2.40E+01,9.00E+03,dinoflagellate,O,na
Prorocentrum micans,5.62E-01,5.53E-02,4.50E+01,2.56E+02,2.10E+01,2.40E+01,1.00E+04,dinoflagellate,na,na
Thalassiosira nordenski_ldii,4.39E-01,4.43E-02,1.21E+02,3.21E+02,0.00E+00,1.20E+01,na,diatom,C,na
Thalassiosira nordenski_ldii,8.87E-01,5.97E-02,7.23E+03,3.21E+02,5.00E+00,1.20E+01,8.63E+03,diatom,C,na
Thalassiosira nordenski_ldii,1.07E+00,4.69E-02,1.61E+02,3.21E+02,1.00E+01,1.20E+01,8.63E+03,diatom,C,na
Skeletonema costatum,9.80E-01,1.06E-01,7.26E+03,1.30E+02,1.50E+01,1.40E+01,8.00E+01,diatom,C,2.20E-02
Dunaliella tertiolecta,1.68E+00,7.67E-03,1.99E+03,4.00E+02,1.50E+01,1.40E+01,9.00E+01,chlorophyte,na,3.20E-02
Isochrysis galbana,1.26E+00,1.37E-02,3.62E+02,6.08E+02,1.80E+01,2.40E+01,5.02E+01,haptophyte,C,4.20E-02
